अफ़्रीका	África
गिटहब	GitHub
कोलोन	Colônia (Alemanha)
भ्रष्टाचार (आचरण)	Corrupção
विकिउद्धरण	Wikiquote
विकियात्रा	Wikivoyage
वोदका	Vodca
उबण्टू	Ubuntu
लिनक्स	Linux
श्टेटीन	Estetino
माप विद्या	Metrologia
गणित	Matemática
लातिन भाषा	Língua latina
बहरीन	Bahrein
आर्मीनिया	Arménia
जेन्ना जेम्सन	Jenna Jameson
अंकन (लिपि)	Escrita cuneiforme
हिग्स बोसॉन	Bóson de Higgs
सर्बिया	Sérvia
चन्द्रमा	Lua
इस्तांबुल	Istambul
ऑस्ट्रेलिया	Austrália
बॉब मार्ले	Bob Marley
कार्ल सेगन	Carl Sagan
खगोलजीव विज्ञान	Exobiologia
भौतिक शास्त्र	Física
अर्जेण्टीना	Argentina
दूरसंचार	Telecomunicações
पेरू	Peru
जीव विज्ञान	Biologia
उड़न तश्तरी (अन्तरिक्ष)	Objeto voador não identificado
उत्तर कोरिया	Coreia do Norte
कम्बोडिया	Camboja
काइपर घेरा	Cintura de Kuiper
क़ुरआन	Alcorão
डायनासोर	Dinossauros
प्राणी विज्ञान	Zoologia
इस्लाम	Islão
नाशपाती	Pera
वनस्पति विज्ञान	Botânica
लेक वालेसा	Lech Wałęsa
चक्र	Roda
इनसाइक्लोपीदी	Encyclopédie
मन	Mente
ब्रिटैनिका विश्वकोष	Encyclopædia Britannica
ल्यों	Lyon
यूरोपीय संघ	União Europeia
स्टार वॉर्स	Star Wars
विश्व व्यापी वेब	World Wide Web
नारी	Mulher
सोफिया	Sófia
जलवाही सेतु	Aqueduto
काव्य	Poesia
कम्प्यूटर वायरस	Vírus de computador
हिरोशिमा और नागासाकी परमाणु बमबारी	Bombardeamentos de Hiroshima e Nagasaki
मिलानो	Milão
स्मृति (मनोविज्ञान)	Memória
टोरीनो	Turim
मल	Fezes
गुदा	Ânus
नीबू	Limão
केला	Banana
एमिल जोला	Émile Zola
666	666
पुष्प	Flor
मेरियाना गर्त	Fossa das Marianas
व्लदीमिर विसोत्स्की	Vladimir Vysotsky
एवरेस्ट पर्वत	Monte Everest
शरीररचना-विज्ञान	Anatomia
शहर	Cidade
नेपोलियन बोनापार्ट	Napoleão Bonaparte
ओलम्पस मोन्स	Monte Olimpo (Marte)
शरीर क्रिया विज्ञान	Fisiologia
तारा	Estrela
वेसुवियस पर्वत	Vesúvio
सूर्य	Sol
आकाश	Céu
पी॰ऍस॰आर॰ बी1257+12	PSR B1257+12
लुई पास्चर	Louis Pasteur
प्रकाश-वर्ष	Ano-luz
गाँव	Aldeia
विक्टर ह्यूगो	Victor Hugo
ओशिआनिया	Oceania
जुज़ॅप्पे गारिबाल्दि	Giuseppe Garibaldi
एथलेटिक्स (खेल)	Atletismo
सौर मण्डल	Sistema Solar
बाल्टिक सागर	Mar Báltico
ट्रिएस्ट	Trieste
विस्चुला नदी	Rio Vístula
शॉन्ज़-एलिसीज़	Champs-Élysées
दाँत	Dente
हाइड्रोजन	Hidrogénio
हिलियम	Hélio
विकिमीडिया कॉमन्स	Wikimedia Commons
एंजेला मर्केल	Angela Merkel
लिथियम	Lítio
बेरिलियम	Berílio
लाउडस्पीकर	Altifalante
पुस्तक	Livro
दिन	Dia
पूर्वी तिमोर	Timor-Leste
वर्ष	Ano
शताब्दी	Século
राइन नदी	Reno
ओस्लो	Oslo
बॉन	Bona
आंल सेंटस डे	Dia de Todos-os-Santos
ब्लैक होल (काला छिद्र)	Buraco negro
सीरीस (बौना ग्रह)	Ceres (planeta anão)
लिस्बन	Lisboa
इचिरो सुजुकी	Ichiro Suzuki
हउमेया (बौना ग्रह)	Haumea
माकेमाके (बौना ग्रह)	Makemake
ऍरिस (बौना ग्रह)	Éris (planeta anão)
दुबई	Dubai
लियोनेल मेस्सी	Lionel Messi
बोरॉन	Boro
निकोलस कोपरनिकस	Nicolau Copérnico
वर्साइ	Versalhes
कार्बन	Carbono
वोल्गा नदी	Rio Volga
नाइट्रोजन	Azoto
बेर्गमो	Bérgamo
ऑक्सीजन	Oxigénio
इंटर मिलान	Football Club Internazionale Milano
ग्रह	Planeta
क्लियोपाट्रा ७	Cleópatra
संगीत	Música
वेनिस	Veneza
नारुतो	Naruto
तापमापी	Termômetro
लील	Lille
मास्को	Moscovo
फ्लोरीन	Flúor
इतालवी भाषा	Língua italiana
चिहुआहुआ (कुत्ता)	Chihuahua (cão)
नियोन	Néon
सेंट पीटर्सबर्ग	São Petersburgo
चाड	Chade
सोडियम	Sódio
उत्तर	Norte
मैग्नेशियम तत्त्व	Magnésio
एल्युमिनियम	Alumínio
न्यूज़ीलैण्ड	Nova Zelândia
दक्षिण	Sul
भारत	Índia
सिलिकॉन	Silício
तुवालू	Tuvalu
फास्फोरस	Fósforo
आन्द्रे मैरी एम्पीयर	André-Marie Ampère
गद्य	Prosa
लोहा	Ferro
टोंगा	Tonga
पश्चिम	Oeste
वोल्टा	Alessandro Volta
गंधक	Enxofre
समोआ	Samoa
पूर्व	Leste
सोलोमन द्वीपसमूह	Ilhas Salomão
वानूअतु	Vanuatu
मॅलिएर	Molière
क्लोरीन	Cloro
पापुआ न्यू गिनी	Papua-Nova Guiné
विलियम शेक्सपीयर	William Shakespeare
पलाउ	Palau
आर्गन	Árgon
नौरु	Nauru
मोज़िला फायरफॉक्स	Mozilla Firefox
परी कथा	Contos de fadas
माइक्रोनेशिया के संघीकृत राज्य	Estados Federados da Micronésia
पोटैशियम	Potássio
ओलिम्पिक ल्यों	Olympique Lyonnais
कैल्शियम	Cálcio
सीसा	Chumbo
मार्शल द्वीपसमूह	Ilhas Marshall
किरिबाती	Kiribati
मंगोलिया	Mongólia
फ़िजी	Fiji
स्काण्डियम	Escândio
टाइटानियम	Titânio
वेनेज़ुएला	Venezuela
शतरंज	Xadrez
चंगेज़ ख़ान	Gengis Khan
वनडियम	Vanádio
रुकी ब्लू	Rookie Blue
मेन	Maine
क्रोमियम	Crômio
घोड़ा	Equus ferus caballus
ऐम्स्टर्डैम	Amesterdão
शस्त्र	Arma
प्राणी	Animalia
सूरीनाम	Suriname
मैंगनीज़	Manganês
पैराग्वे	Paraguai
गयाना	Guiana
कला	Arte
ईक्वाडोर	Equador
कोलम्बिया	Colômbia
कोबाल्ट	Cobalto
टंग्स्टन	Tungstênio
निकल	Níquel
बौद्ध धर्म	Budismo
बोलिविया	Bolívia
ताम्र	Cobre
त्रिनिदाद और टोबैगो	Trinidad e Tobago
पादप	Plantae
सन्त विन्सेण्ट और ग्रेनाडाइन्स	São Vicente e Granadinas
जस्ता	Zinco
नया हेम्पशायर	Nova Hampshire
सन्त लूसिया	Santa Lúcia
लिओनार्दो दा विंची	Leonardo da Vinci
सन्त किट्स और नेविस	São Cristóvão e Nevis
फफूंद	Fungi
डारियो फो	Dario Fo
जमैका	Jamaica
ग्रेनाडा	Granada (país)
मासेचुसेट्स	Massachusetts
ग्वाटेमाला	Guatemala
गूगल क्रोम	Google Chrome
बहामास	Bahamas
कनेक्टिकट	Connecticut
मुर्गी	Gallus gallus domesticus
अण्टीगुआ और बारबूडा	Antígua e Barbuda
हवाई	Havaí
हौण्डुरस	Honduras
डोमिनिका	Dominica
डोमिनिकन गणराज्य	República Dominicana
उत्तरध्रुवीय महासागर	Oceano Ártico
हैती	Haiti
अल साल्वाडोर	El Salvador
ईरान	Irão
इराक़	Iraque
अलास्का	Alasca
ज्ञान	Sapiência
कोस्टा रीका	Costa Rica
इज़राइल	Israel
पनामा	Panamá
यमन	Iémen
विषाणु	Vírus
पोलिश भाषा	Língua polaca
जॉर्डन	Jordânia
निकारागुआ	Nicarágua
फ़्लोरिडा	Flórida
किर्गिज़स्तान	Quirguistão
एरीजोना	Arizona
कुवैत	Kuwait
लाओस	Laos
लेबनान	Líbano
औरिगन	Oregon
मालदीव	Maldivas
महाअमेरिका	América
यूटाह	Utah
मलेशिया	Malásia
वाले कैन्टन	Valais (cantão)
म्यान्मार	Myanmar
नेपाल	Nepal
ओमान	Omã
पाकिस्तान	Paquistão
जेम्स बॉण्ड	James Bond
क़तर	Catar
टेनिस	Ténis
माई एसक्यूल	MySQL
सउदी अरब	Arábia Saudita
श्रीलंका	Sri Lanka
जोसेफ स्टालिन	Josef Stalin
बारकूट	Código de barras
सीरिया	Síria
प्लेटो	Platão
गैलिअम	Gálio
जोसेफ ब्रोड्स्की	Joseph Brodsky
ताजिकिस्तान	Tajiquistão
पॉकेमॉन	Pokémon
चीनी गणराज्य	República da China
यूट्यूब	YouTube
जर्मेनियम	Germânio
अरस्तु	Aristóteles
थाईलैण्ड	Tailândia
रेलगाड़ी	Trem
आर्सेनिक	Arsênio
रेडियो	Rádio (telecomunicações)
मेरिल स्ट्रीप	Meryl Streep
तुर्कमेनिस्तान	Turquemenistão
सेलेनियम	Selênio
संयुक्त अरब अमीरात	Emirados Árabes Unidos
ब्रोमीन	Bromo
प्लैटिनम	Platina
वियतनाम	Vietname
चार्ली चैप्लिन	Charlie Chaplin
दक्षिण कोरिया	Coreia do Sul
द सिम्पसन्स	Os Simpsons
क्रिप्टॉन	Crípton
अफ़ग़ानिस्तान	Afeganistão
गंगनम स्टाइल	Gangnam Style
जे॰आर॰आर॰ टोल्किन	J. R. R. Tolkien
रुबिडियम	Rubídio
सोना	Ouro
स्वेज़ नहर	Canal de Suez
काज़ान	Cazã
वैज्ञानिक	Cientista
बांग्लादेश	Bangladesh
फ्रैंज काफ्का	Franz Kafka
चेल्याबिंस्क	Cheliabinsk
ऊफ़ा	Ufa
माली	Mali
सुकरात	Sócrates
वोल्गोग्राद	Volgogrado
अंगोला	Angola
भूटान	Butão
ट्विटर	Twitter
ब्रुनेई	Brunei
तंज़ानिया	Tanzânia
पारा	Mercúrio (elemento químico)
रुआल आमुन्सन	Roald Amundsen
हैरी मुलिश	Harry Mulisch
फ़िलीपीन्स	Filipinas
मध्य अफ़्रीकी गणराज्य	República Centro-Africana
थैलियम	Tálio
दक्षिणी ध्रुव	Polo Sul
उत्तरी ध्रुव	Polo Norte
आइज़क न्यूटन	Isaac Newton
अल्बर्ट आइंस्टीन	Albert Einstein
स्ट्रोन्सियम	Estrôncio
इत्रियम	Ítrio
पीला	Amarelo
प्रमात्रा यान्त्रिकी	Mecânica quântica
टोगो	Togo
ट्यूनिशिया	Tunísia
जॉन बर्दीन	John Bardeen
ज़ाम्बिया	Zâmbia
ज़िम्बाब्वे	Zimbabwe
बीजिंग	Pequim
दक्षिण सूडान	Sudão do Sul
व्लादिवोस्तोक	Vladivostok
तूवा	Tuva
बेनिन	Benim
बोत्सवाना	Botswana
विकिसमाचार	Wikinotícias
बुर्किना फासो	Burkina Faso
बुरुण्डी	Burundi
कोमोरोस	Comores
कांगो गणराज्य	República do Congo
ओब नदी	Rio Ob
कांगो लोकतान्त्रिक गणराज्य	República Democrática do Congo
सैन एन्टोनियो	San Antonio
जिबूती	Djibouti
मीम	Meme
बायर्न	Baviera
भूमध्यरेखीय गिनी	Guiné Equatorial
इरित्रिया	Eritreia
नई दिल्ली	Nova Deli
फ़्योद्र दोस्तोयेव्स्की	Fiódor Dostoiévski
कमचातका प्रायद्वीप	Península de Kamchatka
थ्बिलिसि	Tbilisi
एस्टाटिन	Ástato
गबॉन	Gabão
महात्मा गांधी	Mahatma Gandhi
चुकची प्रायद्वीप	Península de Chukotka
कॉमिक्स	Banda desenhada
गाम्बिया	Gâmbia
गिनी	Guiné
गिनी-बिसाऊ	Guiné-Bissau
कोत द'ईवोआर	Costa do Marfim
कैमरुन	Camarões
केप वर्दे	Cabo Verde
लेसोथो	Lesoto
लाइबेरिया	Libéria
लीबिया	Líbia
आखन	Aquisgrano
मेडागास्कर	Madagáscar
मलावी	Malawi
श्टुटगार्ट	Estugarda
मॉरीतानिया	Mauritânia
मॉरिशस	Maurícia
मोरक्को	Marrocos
मोज़ाम्बीक	Moçambique
नामीबिया	Namíbia
नाइजर	Níger
नाईजीरिया	Nigéria
चार्ल्स डार्विन	Charles Darwin
युगाण्डा	Uganda
रवाण्डा	Ruanda
जर्कोनियम	Zircônio
साओ तोमे और प्रिन्सिपी	São Tomé e Príncipe
कार्ल्सरुहे	Karlsruhe
सेनेगल	Senegal
सेशेल्स	Seicheles
कार्ल लीनियस	Carolus Linnaeus
सिएरा लियोन	Serra Leoa
सोमालिया	Somália
नायोबियम	Nióbio
जवाहरलाल नेहरू	Jawaharlal Nehru
जुलियस सीसर	Júlio César
सूडान	Sudão
स्वाज़ीलैण्ड	Suazilândia
इन्द्रधनुष	Arco-íris
मोलिब्डेनम	Molibdênio
टेक्निशियम	Tecnécio
हैम्बर्ग	Hamburgo
चयापचय	Metabolismo
नरेन्द्र मोदी	Narendra Modi
प्रतिरक्षा प्रणाली	Sistema imunitário
गुजरात	Gujarate
ओण्टारियो झील	Lago Ontário
क्रम-विकास	Evolução
संयुक्त राष्ट्र	Organização das Nações Unidas
सुपीरियर झील	Lago Superior
दांते एलीगियरी	Dante Alighieri
भूविज्ञान	Geologia
अहमदाबाद	Ahmedabad
भूगोल	Geografia
हृदय	Coração
मस्तिष्क	Cérebro
त्वचा	Pele
रंग	Cor
संज्ञा	Substantivo
प्राग	Praga
रुथेनियम	Rutênio
रोडियम	Ródio
नीला	Azul
पलाडियम	Paládio
चाँदी	Prata
कैडमियम	Cádmio
स्टार ट्रेक	Star Trek
इण्डियम	Índio (elemento químico)
टिन	Estanho
एन्टिमोनी	Antimônio
टेलुरियम	Telúrio
प्लूटोनियम	Plutónio
आयोडिन	Iodo
नेप्टूनियम	Neptúnio
ज़ेनान	Xenônio
ऐनिमे	Anime
सीज़ियम	Césio
प्रोटैक्टीनियम	Protactínio
विद्युत आवेश	Carga elétrica
बेरियम	Bário
थोरियम	Tório
एजातु	Actínio
टैंटेलम	Tântalo (elemento químico)
विलियम क्लिंटन	Bill Clinton
तेजातु	Rádio (elemento químico)
तैजसाति	Rádon
इन्दिरा गांधी	Indira Gandhi
मरक्युरी	Mercúrio (mitologia)
आवर्न	Auvérnia
जामनगर	Jamnagar
मुम्बई	Bombaim
आन्ध्र प्रदेश	Andra Pradexe
अरुणाचल प्रदेश	Arunachal Pradesh
असम	Assam
बिहार	Bihar
मिशिगन	Michigan
छत्तीसगढ़	Chhattisgarh
मिशिगन झील	Lago Michigan
गोवा	Goa
बरगंडी	Borgonha
हरियाणा	Haryana
हिमाचल प्रदेश	Himachal Pradesh
ऐक्विटेन	Aquitânia
जम्मू और कश्मीर	Jammu e Caxemira
पोर्टो रीको	Porto Rico
झारखण्ड	Jharkhand
कर्नाटक	Karnataka
केरल	Querala
मध्य प्रदेश	Madhya Pradesh
उसैन बोल्ट	Usain Bolt
महाराष्ट्र	Maharashtra
मणिपुर	Manipur
श्लेसविग-होल्सटीन	Schleswig-Holstein
मेघालय	Meghalaya
मेक्लेनबर्ग-वोर्पोमेर्न	Mecklemburgo-Pomerânia Ocidental
निचला सैक्सोनी	Baixa Saxônia
उत्तरी राइन	Renânia do Norte-Vestfália
हेसे	Hesse
राइनलैन्ड	Renânia-Palatinado
सारलैंड	Sarre
सैक्सोनी	Saxônia
इलिनॉय	Illinois
ठुरुंगिया	Turíngia
सैक्सोनी-एन्हाल्ट	Saxônia-Anhalt
उत्तर डेकोटा	Dakota do Norte
ब्रैंडेनबर्ग	Brandemburgo
ब्रेमेन (राज्य)	Bremen (estado)
दक्षिण डकोटा	Dakota do Sul
मोन्टाना	Montana
वायोमिंग	Wyoming
यरुशलम	Jerusalém
आयडाहो	Idaho
आओस्ता घाटी	Vale de Aosta
वॉशिंगटन राज्य	Washington
ब्रूस स्प्रिंगस्टीन	Bruce Springsteen
रदरफोर्डियम	Rutherfórdio
नेवाडा	Nevada
दोन नदी	Rio Don
सीबोर्गियम	Seabórgio
हिन्द महासागर	Oceano Índico
कोसोवो गणराज्य	Kosovo
कैरेबियाई सागर	Mar do Caribe
बोरियम	Bóhrio
हैशियम	Hássio
बान की मून	Ban Ki-moon
कोफ़ी अन्नान	Kofi Annan
लिगुरिया	Ligúria
बुतरस घाली	Boutros Boutros-Ghali
मेइट्नेरियम	Meitnério
ज़ेवियर पेरिज डी कुईयार	Javier Pérez de Cuéllar
कुर्त वॉल्डहाइम	Kurt Waldheim
कॉलराडो	Colorado
एमीलिया-रोमाञा	Emília-Romanha
यू॰ थांट	U Thant
कोलोरेडो नदी	Rio Colorado
डैग हैमरस्क्जोंल्ड	Dag Hammarskjöld
मुरब्बा	Doce (alimento)
ट्रीगवी ली	Trygve Lie
ग्लेडविन जेब	Gladwyn Jebb
श्रेणी:समग्र विषय	Categoria:Conteúdo
लात्सियो	Lácio
आब्रुत्सो	Abruzos
ऐल्प्स	Alpes
कारपैथी पर्वत	Cárpatos
ग्रेनोब्ल	Grenoble
ब्लेज़ पास्कल	Blaise Pascal
खेंट	Gante
शिकागो	Chicago
द बीटल्स	The Beatles
शीत ऋतु	Inverno
वसंत	Primavera
ग्रीष्म ऋतु	Verão
पतझड़	Outono
विषुव	Equinócio
सद्दाम हुसैन	Saddam Hussein
ओसामा बिन लादेन	Osama bin Laden
स्पेनिश भाषा	Língua castelhana
मोण्टेवीडियो	Montevidéu
योहान सेबास्तियन बाख़	Johann Sebastian Bach
पिट्सबर्ग, पेन्सिलवेनिया	Pittsburgh
ओपेरा (गीतिनाटक)	Ópera
फिलाडेल्फिया	Filadélfia
कोलकाता	Calcutá
चेन्नई	Chennai
दिल्ली	Deli
ढाका	Daca
बंगलौर	Bangalore
पश्चिम बंगाल	Bengala Ocidental
मकड़ी	Aranha
सन्धिपाद	Artrópode
हैदराबाद, भारत	Hyderabad (Andhra Pradesh)
इस्लामाबाद	Islamabad
त्रिपुरा	Tripura
फल	Fruto
बंदर	Macaco
वर्जीनिया	Virgínia
पश्चिमी वर्जीनिया	Virgínia Ocidental
ह्यूरॉन झील	Lago Huron
न्यूयॉर्क	Nova Iorque (estado)
सीरियम	Cério
प्रासियोडाइमियम	Praseodímio
रोड आइलैंड	Rhode Island
नियोडाइमियम	Neodímio
कीट	Insetos
मेरिलैंड	Maryland
डेलावेयर	Delaware
व्लादिमीर लेनिन	Lenin
युरोपियम	Európio
ओहायो	Ohio
वर्जिल	Virgílio
निकोलो मैकियावेली	Nicolau Maquiavel
पेन्सिलवेनिया	Pensilvânia
लुइगि पिरण्डेलो	Luigi Pirandello
ऊएतेर्सेन्	Uetersen
आगस्टस कैसर	Augusto
माइक्रोसॉफ्ट विंडोज़	Microsoft Windows
टैबीरियस	Tibério
न्यू जर्सी	Nova Jérsia
जिब्राल्टर	Gibraltar
फिनिश भाषा	Língua finlandesa
नीरो	Nero
इंडियाना	Indiana
नोकिया	Nokia
वैस्पाज़िअन्	Vespasiano
मोटरवाहन	Automóvel
जुवेंटस एफ सी	Juventus Football Club
त्राजान	Trajano
रोजर फ़ेडरर	Roger Federer
जॉर्जिया (अमरीकी राज्य)	Geórgia (Estados Unidos)
केडीई	KDE
राजस्थान	Rajastão
कांपानिया	Campânia
टेक्सस	Texas
तमिल नाडु	Tamil Nadu
पुलिया	Apúlia
जेनोआ	Génova
ब्रूनो मार्स	Bruno Mars
माउण्टपिनाटुबो	Pinatubo
बाज़िलीकाता	Basilicata
उत्तरी केरोलिना	Carolina do Norte
मैदानी हॉकी	Hóquei em campo
दक्षिणी केरोलाइना	Carolina do Sul
यू.सी. साँपडोरिया	Unione Calcio Sampdoria
कालाब्रिया	Calábria
सिसिली	Sicília
मनीला	Manila
सारडीनिया	Sardenha
लोवा नदी	Rio Loire
बोर्दो	Bordéus
ब्यूनस आयर्स	Buenos Aires
मेक्सिको नगर	Cidade do México
टोक्यो	Tóquio
ला पास	La Paz
बार्सिलोना	Barcelona
अनानास	Ananás
मिसिसिप्पी	Mississippi
फ़र्दिनान्द मैगलन	Fernão de Magalhães
मिसिसिप्पी नदी	Rio Mississippi
उत्तर प्रदेश	Uttar Pradesh
उत्तराखण्ड	Uttarakhand
होसे रिसाल	José Rizal
तरण ताल	Piscina
मिज़ोरम	Mizoram
सिक्किम	Siquim
टेनेसी	Tennessee
रिशार्द वाग्नर	Richard Wagner
नागपुर	Nagpur
