अफ़्रीका	África
जापान	Japão
दक्षिण अमेरिका	América do Sul
नॉर्वे	Noruega
इंग्लैण्ड	Inglaterra
स्कॉटलैण्ड	Escócia
वेल्स	País de Gales
उत्तरी आयरलैंड	Irlanda do Norte
आयरलैण्ड गणतंत्र	República da Irlanda
हंगरी	Hungria
स्पेन	Espanha
संयुक्त राज्य अमेरिका	Estados Unidos
बेल्जियम	Bélgica
लक्ज़मबर्ग	Luxemburgo
ब्रह्माण्ड	Universo
पृथ्वी	Terra
जीवन	Vida
मृत्यु	Morte
मनुष्य	Homo sapiens
जॉर्ज वॉशिंगटन	George Washington
टिम बर्नर्स ली	Tim Berners-Lee
फ़िनलैण्ड	Finlândia
स्वीडन	Suécia
डेनमार्क	Dinamarca
पोलैंड	Polónia
लिथुआनिया	Lituânia
इटली	Itália
स्विट्ज़रलैण्ड	Suíça
ऑस्ट्रिया	Áustria
यूनान	Grécia
तुर्की	Turquia
बियर	Cerveja
पुर्तगाल	Portugal
यूरोप	Europa
एशिया	Ásia
उत्तर अमेरिका	América do Norte
अंटार्कटिका	Antártida
विकिपीडिया	Wikipédia
ऑल योर बेस आर बिलॉन्ग टू अस	All your base are belong to us
नीदरलैण्ड	Países Baixos
शिश्न	Pênis
पीएचपी	PHP
न्यूयॉर्क नगर	Nova Iorque
वॉशिंगटन डी॰ सी॰	Washington, D.C.
सैन फ्रांसिस्को	São Francisco (Califórnia)
बर्लिन	Berlim
लॉस एंजेलिस	Los Angeles
बोइंग	Boeing
एयरबस	Airbus
अभिकलित्र	Computador
बर्न	Berna
जिनेवा	Genebra
ज़्यूरिख़	Zurique
आइआरसी	Internet Relay Chat
अंतरजाल	Internet
बराक ओबामा	Barack Obama
उरुग्वे	Uruguai
प्रिण्टर	Impressora
मीडियाविकि	MediaWiki
लंदन	Londres
काहिरा	Cairo
सिरदर्द	Cefaleia
सिकन्दरिया	Alexandria
सेब	Maçã
पेरिस	Paris
अब्राहम लिंकन	Abraham Lincoln
एंड्रॉइड (प्रचालन तंत्र)	Android
गूगल	Google
मेक्सिको	México
अन्ध महासागर	Oceano Atlântico
प्रशान्त महासागर	Oceano Pacífico
कैलिफ़ोर्निया	Califórnia
बोस्टन	Boston
सोमवार	Segunda-feira
दिक्	Espaço físico
जनवरी	Janeiro
फ़रवरी	Fevereiro
मार्च	Março
मंगल ग्रह	Marte (planeta)
मार्स	Marte (mitologia)
कीनिया	Quénia
इथियोपिया	Etiópia
घाना	Gana
अप्रैल	Abril
मई	Maio
जून	Junho
जुलाई	Julho
अगस्त	Agosto
सितम्बर	Setembro
अक्टूबर	Outubro
नवम्बर	Novembro
दिसम्बर	Dezembro
मंगलवार	Terça-feira
बुधवार	Quarta-feira
गुरुवार	Quinta-feira
शुक्रवार	Sexta-feira
शनिश्चरवार	Sábado
रविवार	Domingo
सिंह (पशु)	Leão
फ़्रान्स	França
एस्पेरांतो	Esperanto
कुत्ता	Canis lupus familiaris
यूनाइटेड किंगडम	Reino Unido
बिल्ली	Gato
चीनी जनवादी गणराज्य	República Popular da China
फ़्रान्सीसी भाषा	Língua francesa
विक्षनरी	Wikcionário
मछली	Peixe
इथेनॉल	Etanol
मादक पेय	Bebida alcoólica
ब्राज़ील	Brasil
सुषव	Álcool
रूस	Rússia
तिमिगण	Cetáceos
प्रकाशीय तन्तु	Fibra óptica
वर्गाकार	Quadrado
सागर (जलनिकाय)	Mar
कृष्ण सागर	Mar Negro
पाई	Pi
लंगड़ा आम	Manga (fruta)
विकि	Wiki
टोरंटो	Toronto
अलाबामा	Alabama
साओ पाउलो	São Paulo (cidade)
क्यूबेक	Quebec
पिज़्ज़ा	Pizza
पास्ता	Massa alimentícia
बोइंग 747	Boeing 747
विकिमीडिया फाउंडेशन	Wikimedia
जिमी वेल्स	Jimmy Wales
जर्मनी	Alemanha
बेलारूस	Bielorrússia
जर्मन भाषा	Língua alemã
आइसलैण्ड	Islândia
ईश्वर	Deus
एस्टोनिया	Estónia
डेविड कैमरून	David Cameron
शनि (ग्रह)	Saturno (planeta)
शनि के छल्ले	Anéis de Saturno
चॉकलेट	Chocolate
वायुयान	Avião
युद्ध	Guerra
एक	Um
शून्य	0 (número)
अनंत	Infinito
स्टीफन हार्पर	Stephen Harper
जॉर्ज वॉकर बुश	George W. Bush
आयत	Retângulo
लातविया	Letónia
युक्रेन	Ucrânia
चेक गणराज्य	República Checa
स्लोवाकिया	Eslováquia
स्लोवेनिया	Eslovénia
विल्नुस	Vilnius
मॉल्डोवा	Moldávia
रोमानिया	Roménia
बुल्गारिया	Bulgária
रोम	Roma
मैसिडोनिया	República da Macedónia
अल्बानिया	Albânia
ग्रीनलैण्ड	Gronelândia
क्रोएशिया	Croácia
बॉस्निया और हर्ज़ेगोविना	Bósnia e Herzegovina
अज़रबैजान	Azerbaijão
अण्डोरा	Andorra
साइप्रस	Chipre
जॉर्जिया	Geórgia
कज़ाख़िस्तान	Cazaquistão
माल्टा	Malta
मोनैको	Mónaco
वैटिकन सिटी	Vaticano
सान मारिनो	San Marino
ब्रुसेल्स	Bruxelas
क्यूबा	Cuba
बेलीज़	Belize
एफिल टॉवर	Torre Eiffel
बारबाडोस	Barbados
रास्पबेरी पाई	Raspberry Pi
इंटेल	Intel Corporation
कुञ्जीपटल	Teclado (informática)
जावा प्रोग्रामिंग भाषा	Java (linguagem de programação)
इंडोनेशिया	Indonésia
क्वर्टी	QWERTY
वोल्फ़गांक आमडेयुस मोत्सार्ट	Wolfgang Amadeus Mozart
तुर्कीयाई भाषा	Língua turca
दक्षिण अफ़्रीका	África do Sul
लिंकिन पार्क	Linkin Park
अल्जीरिया	Argélia
सैण्डी (चक्रवात)	Furacão Sandy (2012)
उज़्बेकिस्तान	Uzbequistão
ताशकन्द	Tashkent
वारसॉ	Varsóvia
फोर्त ब्रिड्ज	Ponte do Forth
यूरोविज़न संगीत प्रतियोगिता	Festival Eurovisão da Canção
व्हिस्की	Uísque
शराब	Vinho
जल	Água
चमड़ा	Couro
लकड़ी	Madeira
टुर	Tours
दूरदर्शन	Televisão
मैथुन	Sexo
आइसलैण्डिक भाषा	Língua islandesa
क्लाद मोने	Claude Monet
चिली	Chile
ईसा मसीह	Jesus
एल्विस प्रेस्ली	Elvis Presley
शारीरिक दण्ड	Castigo corporal
गैलीलियो गैलिली	Galileu Galilei
बुध (ग्रह)	Mercúrio (planeta)
इतिहास	História
एप्पल इंक॰	Apple
शुक्र	Vénus (planeta)
भाषा	Linguagem
प्यार	Amor
तानाशाही	Ditadura
गैलेक्सी	Galáxia
बृहस्पति (ग्रह)	Júpiter (planeta)
मिशेल बाचेलेत	Michelle Bachelet
आकाशगंगा	Via Láctea
बिग बैंग सिद्धांत	Big Bang
अरुण (ग्रह)	Urano (planeta)
ब्रतान्य	Bretanha
अंग्रेज़ी विकिपीडिया	Wikipédia em inglês
निकोलस सर्कोजी	Nicolas Sarkozy
वरुण (ग्रह)	Netuno (planeta)
खगोल शास्त्र	Astronomia
सिंगापुर	Singapura
विज्ञान	Ciência
ब्रह्माण्डविद्या	Cosmologia
यम (बौना ग्रह)	Plutão
मॉन्ट्रियल	Montreal
मुफ्त सॉफ्टवेयर	Software livre
मरियम (ईसा मसीह की माँ)	Maria (mãe de Jesus)
लिख्टेंश्टाइन	Liechtenstein
खेल	Desporto
एडोल्फ हिटलर	Adolf Hitler
फेसबुक	Facebook
गूगल+	Google+
विकिलीक्स	WikiLeaks
प्रथम विश्वयुद्ध	Primeira Guerra Mundial
दूसरा विश्वयुद्ध	Segunda Guerra Mundial
तृतीय विश्व युद्ध	Terceira Guerra Mundial
