Afrika	África
Japan	Japão
Suid-Amerika	América do Sul
Noorweë	Noruega
Engeland	Inglaterra
Skotland	Escócia
Wallis	País de Gales
Noord-Ierland	Irlanda do Norte
Republiek van Ierland	República da Irlanda
Hongarye	Hungria
Spanje	Espanha
Verenigde State van Amerika	Estados Unidos
België	Bélgica
Luxemburg	Luxemburgo
Heelal	Universo
Aarde	Terra
Lewe	Vida
Dood	Morte
Mens	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Finland	Finlândia
Swede	Suécia
Denemarke	Dinamarca
Pole	Polónia
Litaue	Lituânia
Italië	Itália
Switserland	Suíça
Oostenryk	Áustria
Griekeland	Grécia
Turkye	Turquia
Bier	Cerveja
Portugal	Portugal
Europa	Europa
Asië	Ásia
Noord-Amerika	América do Norte
Antarktika	Antártida
Wikipedia	Wikipédia
Nederland	Países Baixos
Penis	Pênis
PHP	PHP
New York Stad	Nova Iorque
Washington, D.C.	Washington, D.C.
San Francisco	São Francisco (Califórnia)
Berlyn	Berlim
Los Angeles	Los Angeles
Boeing	Boeing
Airbus	Airbus
Rekenaar	Computador
Bern	Berna
Genève	Genebra
Zürich	Zurique
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguai
Basel	Basileia
Rekenaardrukker	Impressora
MediaWiki	MediaWiki
Londen	Londres
Kaïro	Cairo
Alexandrië	Alexandria
Appel	Maçã
Parys	Paris
Abraham Lincoln	Abraham Lincoln
Google Android	Android
Google	Google
Meksiko	México
Atlantiese Oseaan	Oceano Atlântico
Stille Oseaan	Oceano Pacífico
Kalifornië	Califórnia
Boston	Boston
Maandag	Segunda-feira
Januarie	Janeiro
Februarie	Fevereiro
Maart	Março
Mars (planeet)	Marte (planeta)
Kenia	Quénia
Ethiopië	Etiópia
Ghana	Gana
April	Abril
Mei	Maio
Junie	Junho
Julie	Julho
Augustus	Agosto
September	Setembro
Oktober	Outubro
November	Novembro
Desember	Dezembro
Dinsdag	Terça-feira
Woensdag	Quarta-feira
Donderdag	Quinta-feira
Vrydag	Sexta-feira
Saterdag	Sábado
Sondag	Domingo
Loper (skaak)	Bispo (xadrez)
Pion (skaak)	Peão (xadrez)
Ruiter (skaak)	Cavalo (xadrez)
Toring (skaak)	Torre (xadrez)
Koning (skaak)	Rei (xadrez)
Dame (skaak)	Dama (xadrez)
Leeu	Leão
Frankryk	França
Esperanto	Esperanto
Hond	Canis lupus familiaris
Verenigde Koninkryk	Reino Unido
Kat	Gato
Volksrepubliek van Sjina	República Popular da China
Frans	Língua francesa
WikiWoordeboek	Wikcionário
Vis	Peixe
Etanol	Etanol
Brasilië	Brasil
Alkohol	Álcool
François Hollande	François Hollande
Rusland	Rússia
Walvisagtiges	Cetáceos
Optiese vesel	Fibra óptica
Yorkshire	Yorkshire (Inglaterra)
Vierkant	Quadrado
See	Mar
Swartsee	Mar Negro
Pi	Pi
Pi (letter)	Π
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo (cidade)
São Paulo (deelstaat)	São Paulo
Quebec	Quebec
Pizza	Pizza
Wikimedia-stigting	Wikimedia
Jimmy Wales	Jimmy Wales
Duitsland	Alemanha
Wit-Rusland	Bielorrússia
Duits	Língua alemã
Ysland	Islândia
God	Deus
Estland	Estónia
