Աֆրիկա	África
Ճապոնիա	Japão
Հարավային Ամերիկա	América do Sul
Նորվեգիա	Noruega
Անգլիա	Inglaterra
Շոտլանդիա	Escócia
Ուելս	País de Gales
Հյուսիսային Իռլանդիա	Irlanda do Norte
Իռլանդիա	República da Irlanda
Հունգարիա	Hungria
Իսպանիա	Espanha
Ամերիկայի Միացյալ Նահանգներ	Estados Unidos
Բելգիա	Bélgica
Լյուքսեմբուրգ	Luxemburgo
Տիեզերք	Universo
Երկիր	Terra
Կյանք	Vida
Մահ	Morte
Մարդ բանական	Homo sapiens
Երջանկություն	Felicidade
Ջորջ Վաշինգտոն	George Washington
Դուգլաս Ադամս	Douglas Adams
Imagine (երգ)	Imagine (canção de John Lennon)
Սթենլի Կուբրիկ	Stanley Kubrick
Վիքիշտեմարան	Wikidata
Ֆինլանդիա	Finlândia
Շվեդիա	Suécia
Դանիա	Dinamarca
Լեհաստան	Polónia
Լիտվա	Lituânia
Իտալիա	Itália
Շվեյցարիա	Suíça
Ավստրիա	Áustria
Հունաստան	Grécia
Թուրքիա	Turquia
Գարեջուր	Cerveja
Պորտուգալիա	Portugal
Եվրոպա	Europa
Ասիա	Ásia
Հյուսիսային Ամերիկա	América do Norte
Անտարկտիդա	Antártida
Վիքիպեդիա	Wikipédia
Նիդեռլանդներ	Países Baixos
PHP	PHP
Նյու Յորք	Nova Iorque
Վաշինգտոն ԿՇ	Washington, D.C.
Սան Ֆրանցիսկո	São Francisco (Califórnia)
Բեռլին	Berlim
Լոս Անջելես	Los Angeles
Բոինգ	Boeing
Airbus	Airbus
Համակարգիչ	Computador
Բեռն	Berna
Ժնև	Genebra
Ցյուրիխ	Zurique
Համացանց	Internet
Բարաք Օբամա	Barack Obama
Ուրուգվայ	Uruguai
Բազել	Basileia
Տպիչ	Impressora
ՄեդիաՎիքի	MediaWiki
Լոնդոն	Londres
Կահիրե	Cairo
Ալեքսանդրիա	Alexandria
Ալեքսանդրիա (Վիրջինիա)	Alexandria (Virgínia)
Խնձոր	Maçã
Փարիզ	Paris
Աբրահամ Լինքոլն	Abraham Lincoln
Անդրոիդ	Android
Մեքսիկա	México
Ատլանտյան օվկիանոս	Oceano Atlântico
Խաղաղ օվկիանոս	Oceano Pacífico
Կալիֆորնիա	Califórnia
Բոստոն	Boston
Երկուշաբթի	Segunda-feira
Տարածություն	Espaço físico
Հունվար	Janeiro
Փետրվար	Fevereiro
Մարտ	Março
Մարս (մոլորակ)	Marte (planeta)
Քենիա	Quénia
Եթովպիա	Etiópia
Գանա	Gana
Ապրիլ	Abril
Մայիս	Maio
Հունիս	Junho
Հուլիս	Julho
Օգոստոս	Agosto
Սեպտեմբեր	Setembro
Հոկտեմբեր	Outubro
Նոյեմբեր	Novembro
Դեկտեմբեր	Dezembro
Երեքշաբթի	Terça-feira
Չորեքշաբթի	Quarta-feira
Հինգշաբթի	Quinta-feira
Ուրբաթ	Sexta-feira
Շաբաթ (օր)	Sábado
Կիրակի	Domingo
Փիղ (շախմատ)	Bispo (xadrez)
Զինվոր (շախմատ)	Peão (xadrez)
Ձի (շախմատ)	Cavalo (xadrez)
Նավակ (շախմատ)	Torre (xadrez)
Արքա (շախմատ)	Rei (xadrez)
Թագուհի (շախմատ)	Dama (xadrez)
Առյուծ	Leão
Ֆրանսիա	França
Էսպերանտո	Esperanto
Շուն	Canis lupus familiaris
Միացյալ Թագավորություն	Reino Unido
Կատուներ	Gato
Չինաստանի Ժողովրդական Հանրապետություն	República Popular da China
Ֆրանսերեն	Língua francesa
Վիքիբառարան	Wikcionário
Ձկներ	Peixe
Էթիլ սպիրտ	Etanol
Բրազիլիա	Brasil
Սպիրտ	Álcool
Ֆրանսուա Օլանդ	François Hollande
Ռուսաստան	Rússia
Կետանմաններ	Cetáceos
Մանրաթելեր	Fibra
Օպտիկամանրաթելային մալուխ	Fibra óptica
Քառակուսի	Quadrado
Ծով	Mar
Սև ծով	Mar Negro
Պի թիվ	Pi
Պի (տառ)	Π
Վիքի	Wiki
Տորոնտո	Toronto
Ալաբամա (նահանգ)	Alabama
Սան Պաուլո	São Paulo (cidade)
Սան Պաուլու (նահանգ)	São Paulo
Քվեբեկ	Quebec
Պիցցա	Pizza
Մակարոնեղեն	Massa alimentícia
Բոինգ 747	Boeing 747
Վիքիմեդիա Հիմնադրամ	Wikimedia
Ջիմմի Ուելս	Jimmy Wales
Գերմանիա	Alemanha
