Afrik	África
Japon	Japão
Amerik disid	América do Sul
Nòvèj	Noruega
Angletè	Inglaterra
Ekòs	Escócia
Gal	País de Gales
Ilann dinò	Irlanda do Norte
Ilann	República da Irlanda
Ongri	Hungria
Espay	Espanha
Etazini	Estados Unidos
Bèljik	Bélgica
Liksanbou (peyi)	Luxemburgo
Linivè	Universo
Latè	Terra
Lavi	Vida
Lanmò	Morte
Homo sapiens	Homo sapiens
George Washington	George Washington
Fenlann	Finlândia
Syèd	Suécia
Danmak	Dinamarca
Polòy	Polónia
Lityani	Lituânia
Itali	Itália
Swis	Suíça
Otrich	Áustria
Grès	Grécia
Tiki	Turquia
Byè	Cerveja
Pòtigal	Portugal
Ewòp	Europa
Azi	Ásia
Amerik dinò	América do Norte
Antatik (kontinan)	Antártida
Wikipedya	Wikipédia
Peyiba	Países Baixos
Nouyòk	Nova Iorque
Wachintòn	Washington, D.C.
San Francisco, Kalifòni	São Francisco (Califórnia)
Bèlen	Berlim
Los Angeles, Kalifòni	Los Angeles
Òdinatè	Computador
Bèn	Berna
Zirik	Zurique
Entènet	Internet
Barack Obama	Barack Obama
Irigwe	Uruguai
Lonn	Londres
Li Kè	Cairo
Alexandria, Vijini	Alexandria (Virgínia)
Pòm	Maçã
Pari	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Meksik	México
Atlantik	Oceano Atlântico
Pasifik	Oceano Pacífico
Kalifòni	Califórnia
Boston, Massachusetts	Boston
Lendi	Segunda-feira
Janvye	Janeiro
Fevriye	Fevereiro
Mas (mwa)	Março
Mas (planèt)	Marte (planeta)
Kenya	Quénia
Etyopi	Etiópia
Gana	Gana
Avril	Abril
Me	Maio
Jen	Junho
Jiyè	Julho
Out	Agosto
Septanm	Setembro
Oktòb	Outubro
Novanm	Novembro
Desanm	Dezembro
Madi	Terça-feira
Mèkredi	Quarta-feira
Jedi	Quinta-feira
Vandredi	Sexta-feira
Samdi	Sábado
Dimanch	Domingo
Lyon	Leão
Frans	França
Chen	Canis lupus familiaris
Wayòm Ini	Reino Unido
Chat	Gato
Lang franse	Língua francesa
Pwason	Peixe
Brezil	Brasil
Alkòl	Álcool
Risi	Rússia
Balèn	Cetáceos
Kare	Quadrado
Lanmè	Mar
Pi (matematik)	Pi
Π	Π
Mango	Manga (fruta)
Alabama	Alabama
São Paolo	São Paulo (cidade)
Kebèk	Quebec
Almay	Alemanha
Byelorisi	Bielorrússia
Alman	Língua alemã
Islann	Islândia
Bondye	Deus
Estoni	Estónia
Satin	Saturno (planeta)
Avyon	Avião
Lagè	Guerra
1 (nonm)	Um
2 (nonm)	Dois
3 (nonm)	Três
4 (nonm)	Quatro
5 (nonm)	Cinco
0 (nonm)	0 (número)
Rektang	Retângulo
Letoni	Letónia
Ikrèn	Ucrânia
Tchèki	República Checa
Slovaki	Eslováquia
Sloveni	Eslovénia
Vilnis	Vilnius
Moldavi	Moldávia
Woumani	Roménia
Bilgari	Bulgária
Ròm	Roma
Repiblik d Masedoni	República da Macedónia
Albani	Albânia
Kroasi	Croácia
Bosni ak Erzegovin	Bósnia e Herzegovina
Azerbaydjan	Azerbaijão
Andora	Andorra
Chip	Chipre
Jeoji	Geórgia
Kazakstan	Cazaquistão
Malt	Malta
Monako (kapital)	Mónaco
Montenegwo	Montenegro
Vatikan	Vaticano
Sen Maren (peyi)	San Marino
Briksèl	Bruxelas
Kiba	Cuba
Beliz	Belize
Lababad	Barbados
Java	Java (linguagem de programação)
Endonezi	Indonésia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrik disid (peyi)	África do Sul
Aljeri	Argélia
Ouzbekistan	Uzbequistão
Tachkènt	Tashkent
Vasovi	Varsóvia
Diven	Vinho
Dlo	Água
Kwi	Couro
Bwa	Madeira
Chili	Chile
Jezi	Jesus
Galileo Galilei	Galileu Galilei
Mèki (planèt)	Mercúrio (planeta)
Istwa	História
Apple	Apple
Venis (planèt)	Vénus (planeta)
Lang (pawòl)	Linguagem
Galaksi	Galáxia
Jipitè (planèt)	Júpiter (planeta)
Teyori big-bang	Big Bang
Iranis	Urano (planeta)
Neptin (planèt)	Netuno (planeta)
Astwonomi	Astronomia
Sengapou (peyi)	Singapura
Syans	Ciência
Pliton	Plutão
Monreyal (komin)	Montreal
Avni	Futuro
Lichtènstayn	Liechtenstein
Espò (divètisman)	Desporto
Adolf Hitler	Adolf Hitler
Ubuntu	Ubuntu
Skopje	Escópia
Linux	Linux
Matematik	Matemática
Barayn	Bahrein
Ameni	Arménia
Sèbi	Sérvia
Lalin	Lua
Istanboul	Istambul
Ostrali	Austrália
