Afrika	África
Astronomija	Astronomia
Singapur	Singapura
Nauka	Ciência
Kosmologija	Cosmologia
Pluton	Plutão
Montréal	Montreal
Slobodni softver	Software livre
Budućnost	Futuro
Luj IX, kralj Francuske	Luís IX de França
Lihtenštajn	Liechtenstein
Sport	Desporto
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
Julian Assange	Julian Assange
Prvi svjetski rat	Primeira Guerra Mundial
Drugi svjetski rat	Segunda Guerra Mundial
Köln	Colônia (Alemanha)
Korupcija	Corrupção
Augusto Pinochet	Augusto Pinochet
Vodka	Vodca
Sat (instrument)	Relógio
Ubuntu (operativni sistem)	Ubuntu
Skoplje	Escópia
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Estetino
Metrologija	Metrologia
Matematika	Matemática
U2 (grupa)	U2
Latinski jezik	Língua latina
Bahrein	Bahrein
Ermenija	Arménia
Klinasto pismo	Escrita cuneiforme
Higgsov bozon	Bóson de Higgs
Srbija	Sérvia
Mjesec (satelit)	Lua
Istanbul	Istambul
Australija	Austrália
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiologija	Exobiologia
Fizika	Física
Argentina	Argentina
Telekomunikacije	Telecomunicações
Peru	Peru
Biologija	Biologia
NLO	Objeto voador não identificado
Sjeverna Koreja	Coreia do Norte
Kambodža	Camboja
Kuiperov pojas	Cintura de Kuiper
Kur'an	Alcorão
Dinosaurusi	Dinossauros
Zoologija	Zoologia
Islam	Islão
Kruška	Pera
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Botanika	Botânica
Lech Wałęsa	Lech Wałęsa
Točak	Roda
Denis Diderot	Denis Diderot
Um	Mente
Mir (stanje)	Paz
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Evropska unija	União Europeia
Ratovi zvijezda	Star Wars
World Wide Web	World Wide Web
Žena	Mulher
Sofija	Sófia
Akvadukt	Aqueduto
Don Quijote	Dom Quixote
Poezija	Poesia
Računarski virus	Vírus de computador
Černobilska katastrofa	Acidente nuclear de Chernobil
Atomski napad na Hiroshimu i Nagasaki	Bombardeamentos de Hiroshima e Nagasaki
Milano	Milão
Memorija (biologija)	Memória
Arthur Rimbaud	Arthur Rimbaud
Torino	Turim
Izmet	Fezes
Anus	Ânus
Limun	Limão
Charles Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Banana	Banana
Émile Zola	Émile Zola
666.	666
Cvijet	Flor
Gugol	Googol
Googolplex	Googolplex
Marijanska brazda	Fossa das Marianas
Vladimir Visocki	Vladimir Vysotsky
Mount Everest	Monte Everest
Anatomija	Anatomia
Grad (naseljeno mjesto)	Cidade
Napoléon Bonaparte	Napoleão Bonaparte
Fiziologija	Fisiologia
Zvijezda	Estrela
Vezuv	Vesúvio
Sunce	Sol
Nebo	Céu
Louis Pasteur	Louis Pasteur
Ingemar Stenmark	Ingemar Stenmark
Svjetlosna godina	Ano-luz
Selo	Aldeia
Victor Hugo	Victor Hugo
Okeanija	Oceania
Giuseppe Garibaldi	Giuseppe Garibaldi
Atletika	Atletismo
Cenzura	Censura
Sunčev sistem	Sistema Solar
Baltičko more	Mar Báltico
Trst	Trieste
Visla	Rio Vístula
Sijamski borac	Betta splendens
Elizejske poljane (Pariz)	Champs-Élysées
Odra	Rio Oder
Zub	Dente
Vodik	Hidrogénio
Patti Smith	Patti Smith
Helij	Hélio
Pakao	Inferno
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Litij	Lítio
Berilij	Berílio
Knjiga	Livro
Dan	Dia
Istočni Timor	Timor-Leste
Godina	Ano
Vijek	Século
Mont Blanc	Monte Branco
Rajna	Reno
Oslo	Oslo
Bonn	Bona
Svi Sveti	Dia de Todos-os-Santos
Katowice	Katowice
Crna rupa	Buraco negro
Luís de Camões	Luís de Camões
Cerera (patuljasta planeta)	Ceres (planeta anão)
Lisabon	Lisboa
Rona	Rio Ródano
Seks	Comportamento sexual humano
Erida (patuljasta planeta)	Éris (planeta anão)
Dubai (emirat)	Dubai
Lionel Messi	Lionel Messi
Padova	Pádua
Bor (element)	Boro
Nikola Kopernik	Nicolau Copérnico
Versailles	Versalhes
Ugljik	Carbono
Alessandro Del Piero	Alessandro Del Piero
Volga	Rio Volga
Dušik	Azoto
Kisik	Oxigénio
FC Inter Milano	Football Club Internazionale Milano
Planeta	Planeta
Kleopatra VII	Cleópatra
Muzika	Música
Venecija	Veneza
Po	Rio Pó
Moskva	Moscovo
Fluor	Flúor
Italijanski jezik	Língua italiana
Neon	Néon
Sankt Peterburg	São Petersburgo
Čad	Chade
Natrij	Sódio
Sjever	Norte
Magnezij	Magnésio
