आफ्रिकाखण्डः	África
जपान्	Japão
दक्षिणामेरिका	América do Sul
नार्वे	Noruega
इङ्ग्लेण्डदेशः	Inglaterra
ऐर्लेण्ड्देशः	República da Irlanda
हंगरी	Hungria
स्पेन्	Espanha
अमेरिकासंयुक्तराज्यम्	Estados Unidos
बेल्जियम्	Bélgica
लक्सम्बर्ग	Luxemburgo
पृथ्वी	Terra
मनुष्यः	Homo sapiens
जार्ज वाशिंगटन	George Washington
फिन्लैंड	Finlândia
स्वीडन	Suécia
डेनमार्क	Dinamarca
पोलॅण्ड्	Polónia
लेतुवा	Lituânia
इटली	Itália
स्विट्झर्ल्याण्ड्	Suíça
आस्ट्रिया	Áustria
यवनदेशः	Grécia
तुर्की	Turquia
पुर्तगाल	Portugal
यूरोपखण्डः	Europa
जम्बूद्वीपः	Ásia
उत्तर-अमेरिकाखण्डः	América do Norte
अण्टार्क्टिका	Antártida
विकिपीडिया	Wikipédia
नेदर्लेण्ड्देशः	Países Baixos
शिश्	Pênis
न्‍यू यॉर्क्	Nova Iorque
वाशिङ्ग्टन् डि सि	Washington, D.C.
लास एंजलस	Los Angeles
सङ्गणकम्	Computador
जिनीवा	Genebra
अन्तरजालम्	Internet
बराक् ओबामा	Barack Obama
उरुग्वाय	Uruguai
लन्डन्	Londres
शिरोवेदना	Cefaleia
सेवफलम्	Maçã
अट्लाण्टिक्-महासागरः	Oceano Atlântico
प्रशान्तमहासागरः	Oceano Pacífico
कालिफ़ोर्निया	Califórnia
बास्टन्	Boston
सोमवासरः	Segunda-feira
जनवरी	Janeiro
फरवरी	Fevereiro
मार्च	Março
मङ्गलः	Marte (planeta)
केन्या	Quénia
ईथ्योपिया	Etiópia
घाना	Gana
अप्रैल	Abril
मई	Maio
जून	Junho
जुलाई	Julho
अगस्त	Agosto
सितम्बर	Setembro
अक्तूबर	Outubro
नवम्बर	Novembro
दिसम्बर	Dezembro
मङ्गलवासरः	Terça-feira
बुधवासरः	Quarta-feira
गुरुवासरः	Quinta-feira
शुक्रवासरः	Sexta-feira
शनिवासरः	Sábado
रविवासरः	Domingo
फ्रान्सदेशः	França
एस्पेरान्तो	Esperanto
शुनकः	Canis lupus familiaris
संयुक्त अधिराज्य	Reino Unido
मार्जालः	Gato
फ्रांसीसी भाषा	Língua francesa
मत्स्याः	Peixe
ब्रासील	Brasil
रशिया	Rússia
अलाबामा	Alabama
साओ पाओलो	São Paulo (cidade)
विकिमीडिया	Wikimedia
जर्मनी	Alemanha
बेलारूस	Bielorrússia
जर्मन् भाषा	Língua alemã
आइसलैंड	Islândia
एस्टोनिया	Estónia
शनिः	Saturno (planeta)
युद्धम्	Guerra
शून्यम् (सङ्ख्या)	0 (número)
जार्ज डबल्यु बुश	George W. Bush
लाट्विया	Letónia
ज़ेक् रिपब्लिक	República Checa
स्लोवाकिया	Eslováquia
स्लोवीनिया	Eslovénia
मोल्दोवा	Moldávia
बुल्गारिया	Bulgária
रोमा	Roma
मेसेडोनिया	República da Macedónia
अल्बेनिया	Albânia
क्रोएशिया	Croácia
बास्निया	Bósnia e Herzegovina
अजर्बैजान	Azerbaijão
अण्डोरा	Andorra
जार्जिया (देशः)	Geórgia
कजाकस्थान	Cazaquistão
माल्टा	Malta
