ཨ་ཧྥེ་རི་ཁ།	África
ལྷག་པ།	Mercúrio (planeta)
ལོ་རྒྱུས།	História
པ་སངས།	Vénus (planeta)
སྐད་རིགས།	Linguagem
བརྩེ་དུང་།	Amor
ཕུར་བུ།	Júpiter (planeta)
སྐར་མ་གནམ་རྒྱལ།	Urano (planeta)
ནི་ཀོ་ལ་ས་ར་ཀོ་ཟི།	Nicolas Sarkozy
སྐར་མ་མཚོ་རྒྱལ།	Netuno (planeta)
སེང་ག་ཕོར།	Singapura
ཚན་རིག	Ciência
མིར་ཡམ །	Maria (mãe de Jesus)
ལི་ཆེ་ཏན་སཏིན།	Liechtenstein
ལུས་རྩལ།	Desporto
ཨྰ་སྦྲོལ་ཧྥུ་ཧི་ཐུ་ལུར།	Adolf Hitler
འཛམ་གླིང་འཁྲུག་ཆེན་དང་པོ།	Primeira Guerra Mundial
འཛམ་གླིང་འཁྲུག་ཆེན་གཉིས་པ་	Segunda Guerra Mundial
ཧྥུ་ཐ་ཅ་ཨ་རག	Vodca
སི་ཀོཔ་ཇི།	Escópia
རྩིས་རིག	Matemática
ལ་ཏིན་སྐད།	Língua latina
བྷཧ་རཡིན།	Bahrein
ཨར་མེ་ནི་ཡ།	Arménia
སེར་བྷི་ཡ།	Sérvia
ཟླ་བ།	Lua
ཨོ་སེ་ཐེ་ལི་ཡ།	Austrália
དངོས་ཁམས་རིག་པ་	Física
ཨར་ཇེན་ཊི་ན།	Argentina
པེ་རུ།	Peru
སྐྱེ་དངོས་རིག་པ།	Biologia
བྱང་ཀོ་རི་ཡ།	Coreia do Norte
ཁམ་པོ་ཛ།	Camboja
ཁུ་རན་གསུང་རབ།	Alcorão
དབྱི་སི་ལམ་ཆོས་ལུགས།	Islão
ལི་པོ་ཡ་ན།	Liubliana
རྩི་ཤིང་རིག་པ།	Botânica
ལིས་ཆི་ཝེ་ལིས་ས།	Lech Wałęsa
འཁོར་ལོ།	Roda
༄༅།། རིག་གནས་ཤེས་བྱ་ཀུན་ཁྱབ།	Encyclopédie
ཏེའུ་ཏེ་རོ།	Denis Diderot
ཞི་བདེ།	Paz
ལི་ཡོང་།	Lyon
བུད་མེད།	Mulher
སོ་ཧྥི་ཡ།	Sófia
ཐང་རྗི་ཁོཏ།	Dom Quixote
སྙན་ངག	Poesia
མི་ལཱན།	Milão
ཁྱིམ་དྲན་སེམས་ནད།	Memória
ཊུ་རིན།	Turim
ལེ་མོན།	Limão
ངང་ལག	Banana
མེ་ཏོག	Flor
ཇོ་མོ་གླང་མ།	Monte Everest
གཤག་བཅོས་རིག་པ།	Anatomia
གྲོང་ཁྱེར།	Cidade
ཝེ་སུའུ་ཝེའོ་མེ་རི།	Vesúvio
ཉི་མ།	Sol
གྲོང་ཚོ།	Aldeia
རྒྱ་མཚོ་ཆེན་པོའི་གླིང་ཆེན།	Oceania
ཉི་མའི་ཁྱིམ་རྒྱུད།	Sistema Solar
ཨན་ཇེ་ལ་མེར་ཁེལ།	Angela Merkel
ཉིན་མོ།	Dia
ཤར་ཏིམོར།	Timor-Leste
དགོང་མོ།	Noite
ལོ་	Ano
རེན་གཙང་པོ།	Reno
ཨོ་སི་ལོ།	Oslo
བྷོ་ཨིན།	Bona
ནག་ཁུང་།	Buraco negro
ལི་སི་བཱོན།	Lisboa
ལུའོ་ནེའུ་གཙང་པོ།	Rio Ródano
མིའི་རིགས་ཀྱི་ཆགས་སྦྱོར་གྱི་བྱ་སྤྱོད།	Comportamento sexual humano
ཧྥོར་ཅཱ་གཙང་པོ།	Rio Volga
གསོ་རླུང་།	Oxigénio
གཡོ་སྐར།	Planeta
རོལ་དབྱངས།	Música
ཝེ་ནེ་ཟི་ཡ།	Veneza
པོ་གཙང་པོ།	Rio Pó
མོ་སི་ཁོ།	Moscovo
ཨི་ཏ་ལིའི་སྐད།	Língua italiana
སན་པི་ཏི་པོག	São Petersburgo
ཆཱ་ཌ།	Chade
བྱང་ཕྱོགས།	Norte
ནིའུ་ཛི་ལེན་ཌི།	Nova Zelândia
རྒྱ་གར།	Índia
ཏུ་ཝ་ལུ།	Tuvalu
ཚིག་ལྷུག	Prosa
ཊོང་ག	Tonga
ནུབ་ཕྱོགས།	Oeste
ས་མོའ།	Samoa
ཤར་ཕྱོགས།	Leste
སོ་ལོ་མོན་གླིང་ཕྲན་ཚོ་ཁག	Ilhas Salomão
ཝ་ནུའ་ཏུ།	Vanuatu
མོའོ་ལིས་ཨེར།	Molière
པ་པུ་འ་ནིའུ་གི་ནེ།	Papua-Nova Guiné
ཞེ་ཁུ་སི་པེར།	William Shakespeare
པ་ལའུ།	Palau
ནའུ་རུ།	Nauru
མའི་ཀོ་རོ་ནེ་ཤི་ཡ། (རྒྱལ་ཁབ།)	Estados Federados da Micronésia
མར་ཤལ་གླིང་ཕྲན་རྒྱལ་ཁབ།	Ilhas Marshall
ཀི་རི་བ་ཏི།	Kiribati
སོག་ཡུལ།	Mongólia
ཧྥི་ཇི།	Fiji
ཝེ་ནེ་ཟུའེ་ལ།	Venezuela
རྒྱལ་སྤྱིའི་མིག་མངས།	Xadrez
རྟ།	Equus ferus caballus
ཨེམ་སི་ཊར་ཌམ།	Amesterdão
མཚོན་ཆ།	Arma
སུ་རི་ནེམ།	Suriname
པ་ར་གུ་ཡེ།	Paraguai
གུ་ཡ་ན།	Guiana
སྒྱུ་རྩལ།	Arte
ཨེ་ཁོའོ་ཌོར།	Equador
ཁོ་ལོམ་བི་ཡ།	Colômbia
ནང་བསྟན།	Budismo
བྷོ་ལི་ཝི་ཡ།	Bolívia
ཏྲི་ནི་ཌད་དང་ཏྲོ་བེ་གོ	Trinidad e Tobago
སེན་ཊི་བིན་སེན་ཊི་དང་གི་རི་ན་ཌིན་སི།	São Vicente e Granadinas
ནེའུ་ཧམ་ཕུ་ཤར།	Nova Hampshire
སེན་ཊ་ལུ་ཤི་ཡ།	Santa Lúcia
ལེ་ཨོ་ན་ཏོ་ཏ་ཧྥིན་ཆི།	Leonardo da Vinci
སེན་ཊི་ཀི་ཊི་སི་དང་ནེ་བི་སི།	São Cristóvão e Nevis
ཇ་མའི་ཀ	Jamaica
གི་རི་ན་ཌ། (རྒྱལ་ཁབ།)	Granada (país)
གུ་ཝེ་ཐི་མ་ལ།	Guatemala
བ་ཧ་མཱ་སི།	Bahamas
བྱ་ཏེ་	Gallus gallus domesticus
