ཨ་ཧྥེ་རི་ཁ།	África
པོར་ཊོ་-ནོ་བོ།	Porto Novo (Benim)
ཨམ་མན།	Amã
ཡོན་དྷི།	Yaoundé
མ་ལ་བོ།	Malabo
པེ་རུ་ཐེ།	Beirute
ལིབ་རེ་ཝིལ།	Libreville
མི་སི་ཁ་ཁྲི།	Mascate
བང་གུའི།	Bangui
ཀིན་ཤ་ས།	Kinshasa
བ་ར་ཛ་བི་ལི།	Brazzaville
བུ་ཇུམ་བུ་ར།	Bujumbura
ནེ་ཁོ་ཤི་ཡ།	Nicósia
ཀི་ག་ལི།	Kigali
དྷོ་ཧ།	Doha
ནའི་རོ་བི།	Nairóbi
ལི་ལོང་ཀུའེ།	Lilongwe
ལུ་ས་ཀ།	Lusaka
མ་ན་མ།	Manama
མ་པུ་ཊོ།	Maputo
ཀམ་པ་ལ།	Kampala
ལའུན་ཌ།	Luanda
མོ་རོ་ནི། (ཁོ་མོ་རོ་སུ།)	Moroni
མ་པ་པན།	Mbabane
མ་སི་རུ།	Maseru
སློབ་གྲྭ།	Escola
ཨེན་ཊ་ན་ན་རི་བོ།	Antananarivo
སློབ་གྲྭ་ཆེན་མོ།	Universidade
ག་བོ་རོ་ནི།	Gaborone
ཧ་ར་རི།	Harare
ཕི་རི་ཐོ་རི་ཡ།	Pretória
ལོ་ཡི་སི་གྲུ་ཁ།	Port Louis
ཕིན་ཕང་སྤོ་ལོ།	Tênis de mesa
སའོ་ཊོ་མེ།	São Tomé (São Tomé e Príncipe)
ཝིན་ཌི་ཧོཡིཀ།	Windhoek
Wikipedia:Sandbox	Wikipédia:Página de testes
ཝིག་ཐོ་རི་ཡ། (སེ་ཞེལ།)	Victoria (Seychelles)
ནང་།	Casa
ཉི་ཕུའུ་ཏུན།	Neptuno (mitologia)
གྲོང་རྡལ།	Vila
ཆུ་རྒྱུན།	Rio
གཟི་རྩ་སྡེ་དགུ་	Vale Jiuzhaigou
གི་ཉོལ།	Guinhol
ཝུའུ་ལིན་ཡོན།	Wulingyuan
ལུ་ཛེར་ན།	Lucerna
Category:ཉི་ཧུང་གི་ལོ་རྒྱུས།	Categoria:História do Japão
ཨེ་མི་ལིས་ཏིས་ཁེན་སིན།	Emily Dickinson
ཁུང་ཙི།	Confúcio
Category:རྩིས་རིག	Categoria:Matemática
Category:རྒྱ་གར་གི་ལོ་རྒྱུས།	Categoria:História da Índia
ཀྲུའུ་པི་ཐེ།	Júpiter (mitologia)
ཏི་ཀྲུང་ཧའེ་རྒྱ་མཚོ།	Mar Mediterrâneo
ཧང་ཀྲོའུ།	Hangzhou
ཡེ་ཤུའི་ཆོས་ལུགས།	Cristianismo
པེར་ལིན་ལྕགས་རི།	Muro de Berlim
གླང་ཆེན་ཁ་བབས།	Rio Ganges
འབྲས།	Arroz
བྷལ་ཏྲི་མོར།	Baltimore
བྱ།	Aves
པོ་ཅུ་གྷལ་གྱི་སྐད།	Língua portuguesa
ཟླ།	Mês
ཉི་ཧོང་སྐད།	Língua japonesa
གཙོ་ངོས།	Wikipédia:Página principal
Cpu	Unidade central de processamento
དེ་སྦེལ།	Decibel
འབྲི་ཆུ	Rio Yangtzé
སེ་པོ་རི་ཡ།	Sibéria
ཧྥུ་རོན་སི་སི་ཀོ་ཀོའོ་ཡ།	Francisco de Goya
ཧི་མ་ལ་ཡ	Himalaia
མཚོ་མོ་ཝེ་ཁེ་ཐོ་རི་ཡ།	Lago Vitória
པེ་གལ་མཚེའུ།	Lago Baikal
སལ་ཝ་ཌོར་དཱ་ལི།	Salvador Dalí
ཝི་ཏོ་རེ་ཁར་པ་ཅིའོ།	Vittore Carpaccio
ཝིན་སན་ཝན་ཀའོ།	Vincent van Gogh
ཧོ་ཀུ་སའི།	Katsushika Hokusai
ཧྥ་རིས་ད་ཀ་ལོ།	Frida Kahlo
མེ་ཀེ་ལན་ཇུ་ལོ།	Michelangelo
པ་བུ་ལོ་པི་ཀ་སོ།	Pablo Picasso
ཨན་ཏོ་ནེལ་ལོ་ད་མེ་སི་ན།	Antonello da Messina
ར་ཧྥ་ཨེལ་ལོ་སན་ཛིའོ།	Rafael Sanzio
ཧྥ་ར་ཨན་ཇེ་ལི་ཁོ།	Fra Angelico
སན་ཌོ་པའོ་ཊི་ཅེ་ལི།	Sandro Botticelli
མ་ཏི་སུའོ་བ་ཤོ།	Matsuo Bashō
པི་ཨེར་ཇོ་སེ་ཧྥེ་པུ་རུ་དོང་།	Pierre-Joseph Proudhon
མ་ཁ།	Meca
མྰ་སྰ་ཅིའོ།	Masaccio
མའོ་ཙེ་ཏུང་།	Mao Tsé-Tung
ཤེ་ཨན།	Xian
པེ་རུ་ཇི་ནོ།	Pietro Perugino
ཇང་ལུག་མེ་ལང་ཅོང་།	Jean-Luc Mélenchon
ཁ་པུལ།	Cabul
ལྷ་ས།	Lassa
ཆགས་སྦྱོར་བྱེད་པ།	Relação sexual
ཆགས་པ་མཐོ་རུ་འཕེལ་བ།	Orgasmo
མཚན་ཉིད་རིག་པ།	Filosofia
Category:Candidates for speedy deletion	Categoria:!Páginas para eliminação rápida
རྣོ་སྦྲེང་།	Piano
ཇ།	Chá
མཱར་ཁོ་ཕོ་ལོ།	Marco Polo
གཞུང་མེད་ལམ་སྲོལ།	Anarquismo
ཧྥ་ཤི་སིའི་རིང་ལུགས།	Fascismo
མི་རིགས་རིང་ལུགས།	Nacionalismo
ནུབ་ས་ཧ་ར།	Saara Ocidental
ཅ་ཐའེ་ཅི།	Cartago
ཨ་ཝི་ཉོང་།	Avinhão
Category:གཟའ་སྐར་རིག་པ།	Categoria:Astronomia
ཏ་ཏ་ནེར་མཚོ་འགག	Dardanelos
གདང་ཡ་ཙེ།	Pato Donald
ས་ཧ་ར་བྱེ་ཐང་ཆེན་པོ།	Deserto do Saara
སི་ཐི་རཱ་སི་བུར།	Estrasburgo
རྒྱུད་དྲུག	Guitarra
མཚན་མཐུན་དགའ་རོགས་སྒྲིག་པ།	Homossexualidade
ཧོ་མུར།	Homero
དི་ཇཱོན།	Dijon
ལུ་ག་ནོ།	Lugano
སངས་རྒྱས། (ཐ་སྙད།)	Buda
ལྷ་མེད་སྨྲ་བ་པོ།	Ateísmo
ལི་པའེ།	Li Bai
དཔེ་མཛོད་ཁང་།	Biblioteca
ཁོ་སི་མོ་ཏུ་ར།	Cosimo Tura
ཆབ་སྲིད་ཀྱི།	Política
ཆིན་རྒྱལ་རབས།	Dinastia Chin
ཆིན་ཧྲི་ཧོང་།	Qin Shihuang
ཨོ་བི་རྡི།	Ovídio
ཧན་རྒྱལ་རབས།	Dinastia Han
ལིའུ་པང་།	Imperador Gaozu de Han
ཧན་ཝུའུ་ཏི།	Wu de Han
ཐོར་སི་ཐའེ།	Liev Tolstói
མར་ཁེ་སེ་རིང་ལུགས།	Marxismo
ཧན་གྱི་བརྒྱད་པ་གླེའུ་གོང་བུ་	Guang Wudi
རྒྱལ་སྲིད།	Monarquia
འཁྲབ་སྒྲགས།	Propaganda
བྱ་སྒྲོ་སྤོ་ལོ།	Badminton
རི་བོ་ཆི་ལི་མ་ཀྲ་ལུའོ།	Kilimanjaro
ཁ་སྐྱེལ་པ།	Beijo
ཡོན་རྒྱལ་རབས།	Dinastia Yuan
ཁ་རི་སི་ཐོའོ་ཧྥུ་ཀོ་ལུན་སྤུ་སི།	Cristóvão Colombo
སེང་གེ་ཁ་འབབ	Rio Indo
ཅིན་རྒྱལ་རབས།	Dinastia Jin (265-420)
རྨ་ཆུ།	Rio Amarelo
སྣ།	Nariz
མིག	Olho
ལུག	Ovis aries
མཚོ་ཕག	Golfinho
གཏུམ་ཉ།	Tubarão
རྔ་མོང་།	Camelo
འུ་འཐུང་སྲོག་ཆགས།	Mamíferos
གླང་ཆེན།	Elefante
འབུ་གྲོག་མ།	Formiga
མར་ག་རེ་ཐ་ཁྲ་ཆེའར།	Margaret Thatcher
སུང་ཐའེ་ཙུའུ།	Song Taizu
མེ་ཚལ་དཀར་པོ།	Couve-flor
རྡོ་ལུ་མ།	Beringela
བྱ་གག	Anatidae
ཨ་མ།	Mãe
ཨ་ཕ།	Pai
ཕྲུ་གུ	Criança
ཇང་མར་ཀི་ཨེ་རོ།	Jean-Marc Ayrault
ཨུ་རུ་སུའི་སྐད།	Língua russa
ཁྲིམས།	Direito
ཡོ་རོབ་གི་ལོ་རྒྱུས།	História da Europa
ཧོའོ་མར་སིམ་བུ་སན།	Homer Simpson
༄༅༎ ཡོངས་ཁྱབ་གསལ་བསྒྲགས་འགྲོ་བ་མིའི་ཐོབ་ཐང༌།	Declaração Universal dos Direitos Humanos
ཆའོ་ཐོ།	Giotto di Bondone
ཨན་ནི་བ་ལེ་ཁས་ར་ཅི།	Annibale Carracci
རྒྱ་སྐད།	Língua chinesa
ཁྲག	Sangue
ཊོའུ་ལོའུ་སེ།	Toulouse
ཆར་པ།	Chuva
ཟེན།	Zen
རང་བྱུང་གི་ཚན་རིག	Ciências naturais
འགྲིམ་འགྲུལ་བརྡ་སྒྲོན།	Semáforo
འཕྲེད་བརྒལ་ལམ།	Faixa de segurança
ཝིན་སུ་ཏོན་ཆུར་ཆེལ།	Winston Churchill
སན་ཏོ་ཨོའོ་ཀོའོ་སེ་ཐིང་།	Agostinho de Hipona
ནེལ་སོན་མཱན་ཌེ་ལ།	Nelson Mandela
མར་ཏིན་ལུ་ཏར་ཁིན།	Martin Luther King Jr.
མེ་རི།	Vulcão
སྤྲིན།	Nuvem
དབྱིབས་རྩིས་རིག་པ།	Geometria
བརྡ་སྤྲོད་ཀྱི་གཞུང་།	Gramática
རླུང་།	Vento
དཔལ་འབྱོར་རིག་པ།	Economia
སྐད་བརྡ་རིག་པ།	Linguística
སྒྲ་ཚན།	Fonema
ཀེ་རི་སིའི་དབྱངས་གསལ་རེའུ་མིག	Alfabeto grego
Category:པུ་ར་ག་རི་ཡ།	Categoria:Bulgária
རྩོམ་རིག་ཡི་གེའི་རིག་པ།	Literatura
Category:ཧྥ་རན་སི།	Categoria:França
Category:རོལ་དབྱངས།	Categoria:Música
Category:རྩོམ་རིག	Categoria:Literatura
ཁང་ཆེན་དམར་པོའི་རྨི་ལམ།	O Sonho da Câmara Vermelha
མན་གྷ།	Mangá
ཨེ་ལི་ཡེ་ཏེ།	Ilíada
༼མ་ཧ་བ་ར་ཏ།༽	Mahabharata
ཝ་མོ།	Raposa
ཝ་དམར།	Raposa-vermelha
འཁྱིལ་ཆུང་།	Trompete
ཨོག་ལེན།	Violino
ཆགས་སྦྱོར་བྱེད་སྟངས་ཀྱི་ཐོ།	Lista de posições sexuais
ལག་གཡེམ།	Masturbação
བཤང་སྒོའི་ཆགས་སྦྱོར།	Sexo anal
སློབ་གསོ།	Educação
ཁྱིམ་ཚང་།	Família
ཕོ་གཞོན།	Homem
ཆང་ས།	Casamento
བྲན་གཡོག་རིང་ལུགས།	Escravidão
དམག་དོན།	Militar
ཁོ་ཧྥེ།	Café
སིལ་ཁུ།	Suco
སུན་ཀྲུང་ཧྲན།	Sun Yat-sen
ཧོང་ཀོང་།	Hong Kong
ཀ་ར་ཆི	Carachi
རིའོ་ཌེ་ཇ་ནེའུ་རའོ།	Rio de Janeiro (cidade)
སེ་ཨུལ།	Seul
ཧྲང་ཧའེ་གྲོང་ཁྱེར།	Xangai
རིག་གནས་གསར་བརྗེ་ཆེན་པོ	Revolução Cultural Chinesa
ཆིང་རྒྱལ་རབས།	Dinastia Qing
ཨར་ཁི་མེའུ་ཏེ་སི།	Arquimedes
ཡོའུ་ཁེ་ལེ་ཏེ།	Euclides
ཨུཀ་རཡི་ནི་སྐད།	Língua ucraniana
ནམ་ཆོམ་སི་ཀེ།	Noam Chomsky
པུ་ཏིང་།	Pudim
ཁཱར་ལ་མར་ཁེ་སི།	Karl Marx
མོ་ཤི།	Moisés
ཧིན་ཏུའི་ཆོས་ལུགས།	Hinduísmo
ནུ་མ།	Mama
འོད་རིག་པ་	Luz
ཀེ་རི་སིའི་སྐད།	Língua grega
ཐེ་ཇི་བང་སོ།	Taj Mahal
བྱ་ཁྱིའུ།	Pinguim
གློག་རྡུལ་འཕྲིན་སྒམ།	E-mail
ལྷ་གཅིག་ཆོས་ལུགས།	Monoteísmo
ལྷ་མང་ཆོས་ལུགས།	Politeísmo
ཏ་ཟིག་གི་སྐད།	Língua persa
ཆོས་ལུགས།	Religião
ཨབ་ར་ཧམ།	Abraão
རོས་ནེ་དེ་ཁར་ཏེ།	René Descartes
རང་དབང་ལྷ་མོའི་འདྲ་བརྙན།	Estátua da Liberdade
ལུམ་བི་ནི་	Lumbini
འབར་མའི་སྐད།	Língua birmanesa
གཅེར་བུ་བའི་ཆོས་ལུགས།	Jainismo
སོག་པོའི་སྐད།	Língua mongol
པཱ་ཁི།	Baku
ཡིའུ་ཐའེ་ཆོས་ལུགས།	Judaísmo
ཐིམ་ཕུ།	Thimbu
སི་རི་པེ་ཀ་མཚོ་ཁུགས་གྲོང་ཁྱེར།	Bandar Seri Begawan
དྷི་ལི།	Díli
སིག་གི་ཆོས་ལུགས།	Sikhismo
ཏིན་ཏོ་རེ་ཏོ།	Tintoretto
ཝིན་ཆིའང་	Vienciana
ལོའོ་ཙེ།	Lao Zi
མ་ལེ།	Malé
ཡོ་ག	Ioga
པི་སི་ཁེག	Bisqueque
དུ་ཤང་པེ།	Duchambe
སི་མ་ཆན།	Sima Qian
ལུད་ཝིག་ཝིཏ་གེན་སི་ཏེ་ཡིན།	Ludwig Wittgenstein
ཀྲུའུ་ཞི།	Zhu Xi
འདུ་ཤེས།	Emoção
སེམས་ཁམས་རིག་པ།	Psicologia
ཐོ་མཱ་སི་ཨ་ཁི་ཝི་ནཱ་སི།	Tomás de Aquino
ཕའོ་ལོ་ཝེ་རོ་ནེ་ཟེ།	Paolo Veronese
བཅོམ་ལྡན་འདས།	Sidarta Gautama
མུ་ཧ་མད།	Maomé
ནགས་བྱི།	Esquilo
བྱ་མ་བྱི།	Esquilo-voador
ཁུང་ཙིའི་གཞུང་ལུགས།	Confucionismo
ཏོའོ་ཅོའོ་ཆོས་ལུགས།	Taoismo
ཛོ་ར་སིའི་ཆོས་ལུགས།	Zoroastrismo
མིའི་ཀ་ལི།	Crânio humano
སྐེ།	Pescoço
ཁ།	Boca
བྲང་ཁོག	Peito
ཐང་རྒྱལ་རབས།	Dinastia Tang
ཐང་ཀའོ་ཙུང་།	Imperador Gaozong de Tang
གནའ་གཞུང་རོལ་དབྱངས།	Música clássica
ཝུའུ་ཙེ་ཐེན།	Wu Zetian
ཨལ་ཧྥ།	Α
ཨོ་མེ་ག	Ω
མིའུ།	Μ
མིང་རྒྱལ་རབས།	Dinastia Ming
ཀྲུའུ་ཡོན་ཀྲང་།	Zhū Yuánzhāng
ཧྥའེ།	Φ
ཙོ་ལུའུའི་སྐད།	Língua zulu
ཕའེ་ཐ་གྷོ་ར་ཟི།	Pitágoras
ཕཱར་ཧྥེ་ནན།	Partenon
དབུལ་ཕོངས།	Pobreza
རྩ་རྫས་ཀྱི་དུས་འཁོར་རེའུ་མིག།	Tabela periódica
ཅོར་ཅི་ཐོན། (གུ་ཡ་ན།)	Georgetown (Guiana)
རང་ཤི་རྒྱབ་པ།	Suicídio
ཆགས་སྦྱོར་གྱི་མཁོ་ཆས།	Brinquedo sexual
ཆགས་སྦྱོར་གྱི་ཨ་ལས་པད་གོག	Boneca inflável
ཤིང་།	Árvore
ལེམ་ད།	Λ
ཆུར་བ།	Queijo
རྒུནའབྲུམ།	Uva
ཞོ་ཁོག	Batata
སྲན་སེར།	Soja
འཕྲུལ་འཁོར།	Máquina
གཅུ་འཛེར།	Parafuso
གསར་འགོད།	Jornalismo
ཚགས་པར།	Jornal
རིག་གནས།	Cultura
ལེགས་སྦྱར་སྐད།	Sânscrito
སྨན།	Medicina
ས་ར་ཇི་བོ།	Sarajevo
ཚྭ།	Sal de cozinha
Category:པུ་རུ་ཟིལ།	Categoria:Brasil
Category:རོ་མ་ནི་ཡ།	Categoria:Roménia
དབང་ཕྱུག	Shiva
ཁྱབ་​འཇུག	Vixnu
ཚངས་པ།	Brama
རྔ།	Tambor
གླིང་བུ།	Flauta
རོལ་རྩེད།	Jogo
མིག་མངས་སྒོར་སྒོར།	Go
ཁ་ར་ཏེ།	Caratê
འབོལ་འཇུ།	Judô
རྩེད་ཆས།	Brinquedo
གློག་བརྙན།	Filme
འགུལ་རིས་གློག་བརྙན།	Animação
སོ་ནམ།	Agricultura
སྒྲ་	Som
དྲོད་ཚད་	Temperatura
དུས་ཚོད།	Tempo
ཤོག་བུ།	Papel
གྲངས་ཀ།	Número
སྟོང་ཁེའུ།	Quilograma
སྨི།	Metro
སྐར་ཆ།	Segundo
ཨ་ཤོམ།	Milho
ནས།	Cevada
ཁེལ།	Kelvin
སྤྱི་ཧྲན།	Litro
རི་མོ།	Pintura
འོད་པར་རྒྱབ་ཐབས།	Fotografia
ཟློས་གར།	Teatro
ཞབས་བྲོ།	Dança
ཁྲུང་ཆིན་གྲོང་ཁྱེར།	Chongqing
ཐན་ཅིན ་གྲོང་ཁྱེར།	Tianjin
ཝུའུ་ཧན་གྲོང་ཁྱེར།	Wuhan
རྒྱལ་ཁབ་དག་གི་མིང་།	Lista de Estados soberanos
ལོ་རྒྱུས་བྱུང་གོང་གི་དུས་མཚམས།	Pré-história
རྡོ་ཆས་སྤྱོད་པའི་དུས་རབས།	Idade da Pedra
ཟངས་ཆས་སྤྱོད་པའི་དུས་རབས།	Idade do Bronze
ལྕགས་ཆས་སྤྱོད་པའི་དུས་རབས།	Idade do Ferro
གནའ་རབས་ཀེ་རི་སི།	Grécia Antiga
དོམ།	Ursidae
༄༅།། གངས་དཀར་སྲས་མོ།	Branca de Neve
༄༅།། ཞྭ་མོ་དམར་ཆུང་།	Capuchinho Vermelho
མིག་གིའི་ཙི་ཙི།	Mickey Mouse
མིན་ནིའི་ཙི་ཙི།	Minnie Mouse
མངལ་སྦུམ་པ།	Gravidez
བེ་ཤིང་།	Carvalho
ཐང་ཤིང་།	Pinheiro
འབྲས་སྐྲན།	Cancro
སྐྱུག་ཤལ་འགོས་ནད།	Cólera
གྲོ་ནག	Centeio
གྲི་རྩེད།	Esgrima
ཡུག་པོ།	Aveia-comum
གྲོ།	Trigo
འབྲུ་རིགས།	Cereal
འོན་པ	Surdez
ན་ཚ།	Doença
བེ་རེ་སི་ཊི། (ཧྥ་རན་སི།)	Brest (França)
གློ་གཅོང་གི་ནད།	Tuberculose
མ་ཅང་།	Mahjong
ཁང་རྩིག་བཟོ་རིག	Arquitetura
ཟམ་པ།	Ponte
མོ་ན་ལི་ས།	Mona Lisa
ལྕགས་རི་རིང་པོ།	Muralha da China
གློག་རིག་པ།	Eletricidade
དཔའ་དམ།	Espada
ཝོ་ཁ་ལུ་ཟེ།	Vaucluse
ཨུམ་བེར་ཏོ་ཨེ་ཀོ།	Umberto Eco
ཁྲབ་ལྡན་འཁོར་ལོ།	Carro de combate
ཕོ་ལོ་ཁོའེ་ལོ།	Paulo Coelho
མ་ཇུ་རོ།	Majuro
མ་རིན་ལེ་པེན།	Marine Le Pen
འབྲུག་ཚགས།	Litchi chinensis
བེ་ཏ།	Coqueiro
སེ་འབྲུ།	Romã
ཁམ་བུ།	Pessegueiro
ཚ་ལུ་མ།	Citrus × sinensis
སྤྲེལ་ཁམ།	Quiuí
ཀྲོང་སྐད།	Língua zhuang
དྲི་ཞིམ་ལྡན་པའི་རྩྭ།	Baunilha
ཡུལ་གོར་སྐད།	Língua uigur
ཀ་རཱ་ར།	Carrara
འབུར་མདའ།	Árvore de cames
ཐའེ་པོ་ཆུ་བོ།	Rio Tibre
ནུ་ཤུབ།	Sutiã
ཨན་ཇེ་ལི་ནའ་ཇོའོ་ལི།	Angelina Jolie
ཨ་རབ་སྐད།	Língua árabe
ཧོན་ཤུ།	Honshu
སྲུང་ཤུབས།	Preservativo
ཥིང་ཏ་ལ་	Palmeira
མོ་ཟ་རེལ་ལ། (ཆུར་བ།)	Mozarela
ཁོར་སི་ཁ་གླིང་ཕྲན།	Córsega
པིས་ཐ།	Β
གྷེ་མ།	Γ
དེལ་ཐ།	Δ
ཨེ་ཕི་སེ་ལོན།	Ε
ཟེས་ཐ།	Ζ
ཨིས་ཐ།	Η
ཐིས་ཐ།	Θ
ཨའོ་ཐ།	Ι
ཁེ་ཕི།	Κ
ནིའུ།	Ν
ཁི་སའེ།	Ξ
ཨོ་མི་ཁི་རོན།	Ο
རོའུ།	Ρ
སིག་མ།	Σ
ཐོ།	Τ
ཡུབ་སི་ལོན།	Υ
ཁའེ།	Χ
ཕི་སའེ།	Ψ
ཀླུ་ཥིང་	Cactaceae
གོ་རེ་ཤིང་འབྲས།	Artocarpus incisa
སྒྲོག་སྟེང་རྐང་རྩེད་སྤོ་ལོ།	Futebol de mesa
ཧུའུ་ཅིན་ཐོའོ།	Hu Jintao
ཞིས་ཅིན་ཕིང་།	Xi Jinping
ཤ་བ་སྐེ་རིང་།	Girafa
ཕོ་རོའོ་ཝང་སི་ཝལ་ཕེས་ཁོ་ཏེ་ད་ཟུར།	Provença-Alpes-Costa Azul
མཆུ།	Lábio
ཀོང་ཏུང་ཞིང་ཆེན།	Guangdong
ཀོའོང་ཤི་ཀྲོང་རིགས་རང་སྐྱོང་ལྗོངས།	Guangxi
པར་ཆས།	Câmera
སྲམ་ངང་མཆུ་ཅན།	Ornitorrinco
རུ་པོལ།	Rublo
དུ་ཅིའོ།	Duccio
རྩིགས་རྨིགས།	Gekkonidae
རྩངས་པ།	Lagartos
ཁ་ཏ་ཉ། (ཞིང་ཆེན།)	Catânia (província)
མེ་སི་ན། (ཞིང་ཆེན།)	Messina (província)
ཕ་ལེར་མོ། (ཞིང་ཆེན།)	Palermo (província)
དཔུང་པ།	Ombro
མི་དི་ཕི་རེ་ནེ།	Midi-Pirinéus
ལི་ཞོའོ་ལུང་།	Bruce Lee
Template:Link FA	Predefinição:Link FA
ཁྲིམས་དཔོན།	Juiz
ཀོང་ཀྲོའུ་གྲོང་ཁྱེར།	Cantão (China)
ཅང་རྩེ་མིན།	Jiang Zemin
ཨུ་རུམ་ཆི་གྲོང་ཁྱེར།	Ürümqi
ཅང་སུའུ་ཞིང་ཆེན།	Jiangsu
ཀྲེ་ཅང་ཞིང་ཆེན།	Zhejiang
ཨེཏ་ན་རི་བོ།	Etna
རེ་འབྱམས་མཆུ་རིང་།	Gavial
ཇི་ཡོ་ཝ་ནི་བེལ་ལི་ནི།	Giovanni Bellini
བོད་ཡུལ།	Tibete
བོད་རང་སྐྱོང་ལྗོངས།	Região Autônoma do Tibete
བསྟན་འཛིན་རྒྱ་མཚོ།	Tenzin Gyatso
ཨར་ལེ་ཀི་ནོ།	Arlequim
ཀོ་ལོམ་སྦི་ན།	Colombina
ལག་ཐོག་ཁ་དཔར།	Telefone celular
འགག་བརྡར་གྱི་སྒྲ།	Consoante africada
ཨོག་དཀར།	Vison
ཁང་ཞི། (གོང་མ།)	Kangxi
བགྲེས་སོང་གི་ལོ་ཚོད།	Maioridade
ཧོ་ནོ་ལུ་ལུ།	Honolulu
ཀོ་རི་ཡ།	Coreia
ཀོའོ་ཤིན་ཅན།	Gao Xingjian
སྤྱང་ཀི	Lobo
ཕོང་ཡང་།	Pyongyang
ཡེ་དེན་གྱི་ལདུམ་རའི་སྐོར།	Jardim do Éden
༩ (གྲངས་ཀ།)	Nove
ཆན་ལུང་། (གོང་མ།)	Qianlong
ཧའེ་ལུང་ཅང་ཞིང་ཆེན།	Heilongjiang
ཁྱུ་དགའ།	Pelicano
པོ་དོལ་སིག	Podolsk
བོ་ནོ་བོ།	Pan paniscus
པུ་ཁ་རེ་སིད།	Bucareste
ཨཱལ་གྷོར།	Al Gore
ལུའུ་བུ་ཝི་ཕོ་བྲང་།	Museu do Louvre
ཐེམ་ཟི་གཙང་པོ།	Rio Tâmisa
ཐིས་རན།	Tirana
བོང་བུ།	Equus africanus asinus
སི་ཁྲོན་ཞིང་ཆེན།	Sichuan
ཡེ་ཤུའི་འཁྲུངས་སྐར།	Natal
ལ་ཊིན་ནས་ཆད་པའི་ཡུལ་སྐད།	Línguas românicas
སེ་ཏེའི་ཧྥུ་འོ་པོ་སེ།	Steve Jobs
ཧིན་རྡུ་དང་ཡོ་རོབ་ཀྱི་སྐད།	Línguas indo-europeias
སྟག	Tigre
ཅི་སི་ནའུ།	Chișinău
རང་བྱུང་གྲངས།	Número natural
སྤྱི་ཚོགས་རིག་པ།	Sociologia
རྒྱལ་སྤྱིའི་སྒྲ་རྟགས།	Alfabeto fonético internacional
ཧའོ་པེ་ཞིང་ཆེན།	Hebei
ཨོ་རི་ས།	Orissa
པན་ཇབ།	Punjab (Índia)
མེ་ཊི་ཛི།	Metz
རི་འཛེག་ལུས་རྩལ།	Escalada
ཚྭ་མཚོའི་གྲོང་ཁྱེར།	Salt Lake City
༧ (གྲངས་ཀ།)	Sete
༨ (གྲངས་ཀ།)	Oito
Jean Auguste Dominique Ingres	Jean-Auguste Dominique Ingres
གཟའ་འཁོར།	Semana
ཤ་བ།	Cervidae
སྒོག་ལོག	Alho
མིའི་རིགས་དཔྱད་པའི་རིག་པ།	Antropologia
རྡོ་ཀུབ།	Pepino
ཝུ་ལན་བ་ཐུར	Ulan Bator
ཨ་ཧྲི་ཁ་པད།	Asgabate
དཀར་པོ།	Branco
ནག་པོ།	Preto
ཙོང་རིལ།	Cebola
༦ (གྲངས་ཀ།)	Seis
ལྡུམ་སྒོང་།	Tomate
ཨ་ཊི་ལཱན་ཊཱ།	Atlanta
ཝེ་ལིང་ཐོན།	Wellington
ཇི་མི་ཀར་ཀྲར།	Jimmy Carter
ཝ་ལེ་ཐ།	Valeta
༡༠ (གྲངས་ཀ།)	Dez
ཇོའོར་ཇེ་ཁ་ལོན་ནེ།	George Clooney
ཨིལ་དཨཱཨུཥ	Lila Downs
ཤ་གཟིག	Acinonyx jubatus
ནམ་དུས།	Estação do ano
ཝན་ཁུ་ཝེར།	Vancouver
འུག་པ།	Strigiformes
ཝ་ཐི།	Watt
རྒྱལ་བ་ཐུབ་བསྟན་རྒྱ་མཚོ།	Thubten Gyatso
མཁས་གྲུབ་རྒྱ་མཚོ་	Khendrup Gyatso
ཤིང་སྟག་པ།	Bétula
ཚུལ་ཁྲིམ་རྒྱ་མཚོ་	Tsultrim Gyatso
ལུང་རྟོགས་རྒྱ་མཚོ་	Lungtok Gyatso
པུ་ཤུད།	Poupa-eurasiática
བྱམས་སྤེལ་རྒྱ་མཚོ་	Jamphel Gyatso
ཝོལ།	Volt
ངག་དབང་བློ་བཟང་རྒྱ་མཚོ་	Lobsang Gyatso
ཡོན་ཏན་རྒྱ་མཚོ་	Yonten Gyatso
དགེ་འདུན་གྲུབ།	Gedun Drub
གནམ་གཤིས་རིག་པ།	Meteorologia
སེ་དྲོད།	Grau Celsius
ཅོལ།	Joule
པི་རི་སི་ཊི་ན།	Pristina
ཨམ་ཕེར།	Ampere
སྐྱ་ཀ།	Pega-rabuda
སྣ་མའི་མེ་ཏོག	Orquídea
བསེ་སྦྲང་།	Barata
སོམ་ཤིང་།	Abeto
ཕོ་རོག	Corvus corax
ན་གི།	Pangolim
ཁུ་ལོམ།	Coulomb
ཁུ་བྱུག	Cuculidae
རྒྱལ་མོ་རྔུལ་ཆུ།	Rio Salween
གཡག	Iaque
ལི་ཤི།	Cravo-da-índia
བྱང་སྣེའི་སྐྱར་རྟ།	Andorinha-do-mar-ártica
གོ་སྙོད།	Carum carvi
༄༅།། ཨོ་སེ་ལོ།	Otelo, o Mouro de Veneza
སྟག་ཆུ་སྲིན།	Orca
ཁོ་ཁེ་གླིང་ཚོམ།	Ilhas Cook
གྲུམ་བ།	Texugo-europeu
སྐྱར་མོ།	Larídeos
