Afrihkká	África
Darjjesámegiella	Língua sami de Ter
Nganasanagiella	Língua nganasan
Sumeragiella	Língua suméria
Njealječiegat	Quadrilátero
William (Cambridgea herttot)	Guilherme, Duque de Cambridge
Alajuela	Alajuela
.fi	.fi
Dalai Lama	Dalai Lama
John Michael Talbot	John Michael Talbot
Sala gielda	Sala (comuna)
Norberga gielda	Norberg (comuna)
Skinnskatteberga gielda	Skinnskatteberg (comuna)
Vepsat	Vepesianos
Luciano Pavarotti	Luciano Pavarotti
Campora San Giovanni	Campora San Giovanni
Paul Gauguin	Paul Gauguin
1840-lohku	Década de 1840
Turku	Turku
Devanagari	Devanágari
Čáhcemelovdna	Melancia
1880-lohku	Década de 1880
Davvi-Italia eanandoarggástus 2012	Sismos na Itália de 2012
Nuku'alofa	Nuku'alofa
Norgalaš bovttášbeana	Norsk lundehund
1890-lohku	Década de 1890
Budejju	Bodø
Soči	Sóchi
1830-lohku	Década de 1830
San Ġwann	San Ġwann
Żabbar	Żabbar
Mosta	Mosta
San Pawl il-Baħar	St. Paul's Bay
Sliema	Sliema
1800-lohku	Década de 1800
Qormi	Qormi
Birkirkara	Birkirkara
Boazu	Rena
Nicolas Appert	Nicolas Appert
1860-lohku	Década de 1860
1870-lohku	Década de 1870
Spálffut	Andorinha
Nostradamus	Nostradamus
Cannes	Cannes
Strand (Norga)	Praia
1810-lohku	Década de 1810
Antalya eanangoddi	Antália (província)
.se	.se
A (kana)	A (kana)
I (kana)	I (kana)
U (kana)	U (kana)
E (kana)	E (kana)
O (kana)	O (kana)
Adana eanangoddi	Adana (província)
Ko (kana)	Ko (kana)
Heath Ledger	Heath Ledger
30 Seconds to Mars	30 Seconds to Mars
Large Hadron Collider	Grande Colisor de Hádrons
Gásttašeaddji Johanas	João Batista
Tampere	Tampere
1850-lohku	Década de 1850
.no	.no
Goaskin	Águia-real
Johannes Vermeer	Johannes Vermeer
Edvard Munch	Edvard Munch
Muovjejieret	Groselheira
Aš-šaheada	Chahada
Köpinga gielda	Köping (comuna)
Interneahtta-TLD	CcTLD
Jean-Marie Gustave Le Clézio	Jean-Marie Gustave Le Clézio
Björk	Björk
Máistagat	Especiaria
CERN	Organização Europeia para a Pesquisa Nuclear
Gievkkan	Cozinha
Ellen Johnson-Sirleaf	Ellen Johnson Sirleaf
Juanes	Juanes
Charles (Walesa prinsa)	Carlos, Príncipe de Gales
Time (bláđđi)	Time (revista)
Albbas	Lince-euroasiático
Guayaquil	Guaiaquil
Nightwish	Nightwish
Bursa eanangoddi	Bursa (província)
Montehermoso	Montehermoso
Artvin eanangoddi	Artvin (província)
Adıyaman eanangoddi	Adıyaman (província)
Reese Witherspoon	Reese Witherspoon
Almmái	Macho
Anders Behring Breivik	Anders Behring Breivik
Rabat (Malta)	Rabat (Malta)
Fgura	Fgura
Naxxar	Naxxar
Ronald Golias	Ronald Golias
Eartašattut	Fabaceae
Selma Lagerlöf	Selma Lagerlöf
Attard	Attard
Żebbuġ	Żebbuġ (Malta)
1820-lohku	Década de 1820
Tochigi prefektuvra	Tochigi
Carl XVI Gustaf	Carlos XVI Gustavo da Suécia
Afyonkarahisar eanangoddi	Afyonkarahisar (província)
Parallellográmma	Paralelogramo
Ruvsušattut	Rosaceae
Trapesa	Trapézio (geometria)
Edgar Degas	Edgar Degas
Lacuna Coil	Lacuna Coil
Bilecik eanangoddi	Bilecik (província)
Beassášsuolu	Ilha Baker
Fagersta gielda	Fagersta (comuna)
Hallstahammara gielda	Hallstahammar (comuna)
Espoo	Espoo
Oulu	Oulu
Balıkesir eanangoddi	Balıkesir (província)
Kungsöra gielda	Kungsör (comuna)
Titian	Ticiano
Down syndroma	Síndrome de Down
Doaŋgegeasáhat	Tétano
Çanakkale eanangoddi	Çanakkale (província)
Pratibha Patil	Pratibha Patil
Suoma leavga	Bandeira da Finlândia
Miyagi prefektuvra	Miyagi
Málle:Commonscat	Predefinição:Commonscat
Sámit	Lapões
Skodje	Skodje
Flatanger	Flatanger
Masfjorden	Masfjorden
Tysnes	Tysnes
Meløy	Meløy
Ráisavuotna	Sørreisa
Iwate prefektuvra	Iwate
Mariehamn	Mariehamn
Hiragana	Hiragana
Bjarkeddjo	Bjarkøy
Lurøy	Lurøy
Aremark	Aremark
Albánia leavga	Bandeira da Albânia
Sør-Aurdal	Sør-Aurdal
Stranda	Stranda
Sykkylven	Sykkylven
Sveio	Sveio
Sunndal	Sunndal
Stor-Elvdal	Stor-Elvdal
Trysil	Trysil
Stange	Stange
Surnadal	Surnadal
Stordal	Stordal
Snillfjord	Snillfjord
Suldal	Suldal
Doasku	Torsken
Ránáidsuolu	Tranøy
Sømna	Sømna
Sør-Odal	Sør-Odal
Træna	Træna
Værøy	Værøy
Ringebu	Ringebu
Solund	Solund
Omasvuotna	Storfjord
Spydeberg	Spydeberg
Trøgstad	Trøgstad
Tjøme	Tjøme
Fuoisku	Fauske
Svelvik	Svelvik
Vestre Toten	Vestre Toten
Alvdal	Alvdal
Gálsa	Karlsøy
Muorahká	Meråker
Finnøy	Finnøy
Davvesiida	Lebesby
Åsnes	Åsnes
Etne	Etne
Sandøy	Sandøy
Dielddanuorri	Tjeldsund
Báhcavuotna	Båtsfjord
Mátta-Várjjat	Sør-Varanger
Vikna	Vikna
Suorta	Sortland
Láhppi	Loppa
Sokndal	Sokndal
Leirfjord	Leirfjord
Sálát	Saltdal
Krødsherad	Krødsherad
Evenášši	Evenes
Engerdal	Engerdal
Eidskog	Eidskog
Nore og Uvdal	Nore og Uvdal
Vaksdal	Vaksdal
Kurt Vonnegut	Kurt Vonnegut
Internationala	A Internacional
Østfolda fylka	Østfold
Akershusa fylka	Akershus
Hedmárkku fylka	Hedmark
Opplándda fylka	Oppland
Buskeruda fylka	Buskerud
Vestfolda fylka	Vestfold
Nuorta-Agdera fylka	Aust-Agder
Oarjel-Agdera fylka	Vest-Agder
Rogalándda fylka	Rogaland
Hordalándda fylka	Hordaland
Sogn ja Fjordane fylka	Sogn og Fjordane
Møre ja Romsdála fylka	Møre og Romsdal
Lulli-Trøndelága fylka	Sør-Trøndelag
Davvi-Trøndelága fylka	Nord-Trøndelag
Nordlándda fylka	Nordland
Romssa fylka	Troms
Finnmárkku fylka	Finnmark
Girkojahki	Ano litúrgico
Göteborga gielda	Gotemburgo (comuna)
Gustaf VI Adolf	Gustavo VI Adolfo da Suécia
Fredrik Reinfeldt	Fredrik Reinfeldt
Ås	Ås (Noruega)
Kategoriija:Monarkiija	Categoria:Monarquia
Kategoriija:Stáhtavuogádagat	Categoria:Formas de governo
IKEA	IKEA
Nyköping	Nyköping
Yle	Yle
Visby	Visby
Cuenca eanangoddi	Cuenca (província)
Albacete eanangoddi	Albacete (província)
Guadalajara eanangoddi	Guadalajara (província)
Toledo eanangoddi	Toledo (província)
Ciudad Real eanangoddi	Cidade Real (província)
Alicante eanangoddi	Alicante (província)
Valencia eanangoddi	Valência (província)
Castellón eanangoddi	Castelló (província)
Teruel eanangoddi	Teruel (província)
Pedro Almodóvar	Pedro Almodóvar
Zaragoza eanangoddi	Saragoça (província)
Huesca eanangoddi	Huesca (província)
Palencia eanangoddi	Palência (província)
Burgos eanangoddi	Burgos (província)
Soria eanangoddi	Sória (província)
Segovia eanangoddi	Segóvia (província)
Ávila eanangoddi	Ávila (província)
Ж	Ж
Astrid Lindgren	Astrid Lindgren
Kategoriija:Polskka presideanttat	Categoria:Presidentes da Polónia
Bihtánsámegiella	Língua sami de Pite
Komipermjakgiella	Língua komi-permyak
Julevsámegiella	Língua sami de Lule
Ubmisámegiella	Língua sami de Ume
Sámegielat	Línguas sami
Asker	Asker
Aurskog-Høland	Aurskog-Høland
Kroatia guovllut	Condados da Croácia
Krapina-Zagorje guovlu	Condado de Krapina-Zagorje
Sisak-Moslavina guovlu	Condado de Sisak-Moslavina
Karlovac guovlu	Condado de Karlovac
Bærum	Bærum
Eidsvoll	Eidsvoll
Enebakk	Enebakk
Fet	Fet
Frogn	Frogn
Gjerdrum	Gjerdrum
Harald V	Haroldo V da Noruega
Toomas Hendrik Ilves	Toomas Hendrik Ilves
Jigme Khesar Namgyel Wangchuck	Jigme Khesar Namgyal Wangchuck
Tomislav Nikolić	Tomislav Nikolić
Abdul Halim Mu'adzam Shah	Abdul Halim de Quedá
Jyrki Katainen	Jyrki Katainen
Andrus Ansip	Andrus Ansip
Helle Thorning-Schmidt	Helle Thorning-Schmidt
Jens Stoltenberg	Jens Stoltenberg
Hurdal	Hurdal
Lørenskog	Lørenskog
Nannestad	Nannestad
Nesodden	Nesodden
Nittedal	Nittedal
Oppegård	Oppegård
Rælingen	Rælingen
Skedsmo	Skedsmo
Ski	Ski
Sørum	Sørum
Ullensaker	Ullensaker
Vestby	Vestby
Varaždin guovlu	Condado de Varaždin
Koprivnica-Križevci guovlu	Condado de Koprivnica-Križevci
Bjelovar-Bilogora guovlu	Condado de Bjelovar-Bilogora
Primorje-Gorski Kotar guovlu	Condado Litoral-Serrano
Lika-Senj guovlu	Condado de Lika-Senj
Virovitica-Podravina guovlu	Condado de Virovitica-Podravina
Požega-Slavonia guovlu	Condado de Požega-Eslavônia
Brod-Posavina guovlu	Condado de Brod-Posavina
Zadar guovlu	Condado de Zadar
Osijek-Baranja guovlu	Condado de Osijek-Barânia
Šibenik-Knin guovlu	Condado de Šibenik-Knin
Vukovar-Syrmia guovlu	Condado de Vukovar-Sírmia
Split-Dalmatia guovlu	Condado de Split-Dalmácia
Istria guovlu	Condado da Ístria
Dubrovnik-Neretva guovlu	Dubrovnik-Neretva (condado)
Međimurje guovlu	Condado de Međimurje
Duran Duran	Duran Duran
Nuoskkideapmi	Poluição
Pasifisma	Pacifismo
Uppsala gielda	Uppsala (comuna)
Östhammara gielda	Östhammar (comuna)
Narviika	Narvik
Älvkarleby gielda	Älvkarleby (comuna)
IPhone 5	IPhone 5
Pávoloddi	Pavão-indiano
Sápmi	Lapónia
Hárštá	Harstad
Ålesund	Ålesund
Hoforsa gielda	Hofors (comuna)
Bollnäsa gielda	Bollnäs (comuna)
Kalmara uniovdna	União de Kalmar
Davvinjárga	Nordkapp
Rogier van der Weyden	Rogier van der Weyden
Salamanca eanangoddi	Salamanca (província)
Valladolid eanangoddi	Valhadolide (província)
Zamora eanangoddi	Zamora (província)
León eanangoddi	Leão (província)
Aomori prefektuvra	Aomori
Fukushima prefektuvra	Fukushima
Birokratiija	Burocracia
Yozgat eanangoddi	Yozgat (província)
Alfons Rebane	Alfons Rebane
Peter Lorre	Peter Lorre
Bingöl eanangoddi	Bingöl (província)
Ardahan eanangoddi	Ardaã (província)
Aydın eanangoddi	Aydın (província)
Suopmelaš-ugralaš gielat	Línguas fino-úgricas
Gáiskešattut	Samambaia
Chiba prefektuvra	Chiba
Amasya eanangoddi	Amásia (província)
Ağrı eanangoddi	Ağrı (província)
Burdur eanangoddi	Burdur (província)
Gáhpir	Chapéu
Olympos	Monte Olimpo
Batman eanangoddi	Batman (província)
Novaja Zemlja	Nova Zembla
Aichi prefektuvra	Aichi
Alla Pugacheva	Alla Pugacheva
Van eanangoddi	Van (província)
Sigrid Undset	Sigrid Undset
Ruoŧa leavga	Bandeira da Suécia
Sitrusšaddosat	Citrus
Álava eanangoddi	Álava
Almería eanangoddi	Almeria (província)
Badajoz eanangoddi	Badajoz (província)
Akita prefektuvra	Akita
Barcelona eanangoddi	Barcelona (província)
Córdoba eanangoddi	Córdova (província da Espanha)
Cáceres eanangoddi	Cáceres (província)
Cádiz eanangoddi	Cádis (província)
Bolu eanangoddi	Bolu (província)
Ian Fleming	Ian Fleming
A Coruña eanangoddi	Corunha (província)
Granada eanangoddi	Granada (província)
Hande Yener	Hande Yener
К	К
Henri de Toulouse-Lautrec	Henri de Toulouse-Lautrec
П	П
Gaskamearka	Pontuação
И	И
Njálla	Alopex lagopus
Museu de Arte de São Paulo	Museu de Arte de São Paulo
Aksaray eanangoddi	Aksaray (província)
Edirne eanangoddi	Edirne (província)
Norgga leavga	Bandeira da Noruega
Bitlis eanangoddi	Bitlis (província)
Ibaraki prefektuvra	Ibaraki
Bartın eanangoddi	Bartın (província)
Birkenes	Birkenes
Bygland	Bygland
Bykle	Bykle
Evje og Hornnes	Evje og Hornnes
Froland	Froland
Grimstad	Grimstad
Málle:Girjegáldu	Predefinição:Citar livro
Jokŋa	Vaccinium vitis-idaea
Vizcaya eanangoddi	Biscaia
Flesberg	Flesberg
Flå	Flå
Guipúzcoa eanangoddi	Guipúscoa
Huelva eanangoddi	Huelva (província)
Jaén eanangoddi	Jaén (província da Espanha)
Lugo eanangoddi	Lugo (província)
Málaga eanangoddi	Málaga (província)
Ourense eanangoddi	Ourense (província)
Las Palmas	Las Palmas (província)
Pontevedra eanangoddi	Pontevedra (província)
Sevilla eanangoddi	Sevilha (província)
Tarragona eanangoddi	Tarragona (província)
Santa Cruz de Tenerife eanangoddi	Santa Cruz de Tenerife (província)
Lillehammer	Lillehammer
Luovvarat	Trifolium
Beahcešattut	Pinaceae
Iglu	Iglu
Margrethe II	Margarida II da Dinamarca
Pärnu	Pärnu
Blekinge leatna	Blekinge (condado)
Diftoŋga	Ditongo
Oarje-Götalándda leatna	Västra Götaland
Skåne leatna	Escânia (condado)
Junior Eurovision lávllagilvvohallan	Festival Eurovisão da Canção Júnior
Jönköpinga leatna	Jönköping (condado)
Jämtlándda leatna	Jämtland (condado)
Norrbottena leatna	Norrbotten (condado)
Hallándda leatna	Halland (condado)
Gävleborgga leatna	Gävleborg (condado)
Kalmara leatna	Kalmar (condado)
Roavvenjárga	Rovaniemi
Hafnarfjörður	Hafnarfjörður
Dalarna leatna	Dalarna (condado)
Molde	Molde (Møre og Romsdal)
Stockholmma leatna	Estocolmo (condado)
Örebro leatna	Örebro (condado)
Čáhcesuolu	Vadsø
Hámar	Hamar
Kronobergga leatna	Kronoberg (condado)
Eppelmuorat	Malus
Västerbottena leatna	Västerbotten (condado)
Caspar David Friedrich	Caspar David Friedrich
Oarje-Norrlándda leatna	Västernorrland (condado)
Uppsala leatna	Uppsala (condado)
Nuortagötlándda leatna	Östergötland (condado)
Mari Kiviniemi	Mari Kiviniemi
Västmanlándda leatna	Västmanland (condado)
Skandinávalaš gielat	Línguas nórdicas
Värmlándda leatna	Värmland (condado)
Ivar Aasen	Ivar Aasen
Ísafjörður	Ísafjörður
Södermanlándda leatna	Södermanland (condado)
Fredrikstad	Fredrikstad
Hámmárfeasta	Hammerfest
Tønsberg	Tønsberg
Leikanger	Leikanger
Akraneskaupstaður	Akranes
Sarpsborg	Sarpsborg
Gjøvik	Gjøvik
Belize City	Belize (cidade)
Várggát	Vardø
Kongsberg	Kongsberg
Plassje	Røros
Sandefjord	Sandefjord
Solna gielda	Solna (comuna)
Stuorradiggi	Storting
Moss	Moss
Hitra	Hitra
Voss	Voss
Haugesund	Haugesund
Halden	Halden
Horten	Horten
Art Tatum	Art Tatum
Guido Reni	Guido Reni
Elverum	Elverum
Askim	Askim
Hobøl	Hobøl
Kristiansund	Kristiansund
Bearalváhki	Berlevåg
Odda	Odda
Kongsvinger	Kongsvinger
Ákŋoluokta	Hasvik
Nedre Eiker	Nedre Eiker
Øvre Eiker	Øvre Eiker
Stientjie	Steinkjer
Ringerike	Ringerike
Njaarke	Namsos
Brønnøy	Brønnøy
Vågå	Vågå
Ringsaker	Ringsaker
Fitjar	Fitjar
Bálat	Ballangen
Ål	Ål
Bømlo	Bømlo
Førde	Førde
Oppdal	Oppdal
Rømskog	Rømskog
Jondal	Jondal
Unjárga	Nesseby
Upplands-Bro gielda	Upplands-Bro (comuna)
Danderyda gielda	Danderyd (comuna)
Lindås	Lindås
Haninge gielda	Haninge (comuna)
Muosát	Måsøy
Ánddasuolu	Andøy
Botkyrka gielda	Botkyrka (comuna)
Høyanger	Høyanger
Gáŋgaviika	Gamvik
Tyresö gielda	Tyresö (comuna)
Eidsberg	Eidsberg
Gáinnasa gielda	Kalix (comuna)
Österåkera gielda	Österåker (comuna)
Kyōto prefektuvra	Quioto (província)
Unduláhtta	Periquito-australiano
Sosiálademokratiija	Social-democracia
Mearrabađaluokta	Golfo de Bótnia
Renée Zellweger	Renée Zellweger
Ōsaka prefektuvra	Osaka
Fukuoka prefektuvra	Fukuoka
Nuorssát	Dryas
Älvdalena gielda	Älvdalen (comuna)
Vaasa	Vaasa
Aretha Franklin	Aretha Franklin
Partille gielda	Partille (comuna)
Yamagata prefektuvra	Yamagata
Tunguska bávkkiheapmi	Evento de Tunguska
Čeahka leavga	Bandeira da República Checa
Kanagawa prefektuvra	Kanagawa
Vestlandet	Vestlandet
Vantaa	Vantaa
Trøndelága	Trøndelag
Nagano prefektuvra	Nagano
Uummannarsuaq	Cabo Farvel
Mie prefektuvra	Mie
Skiervá	Skjervøy
Čukčá	Tetraz-grande
In a Reverie	In a Reverie
Røst	Røst
Hyōgo prefektuvra	Hyōgo
Miyazaki prefektuvra	Miyazaki
Lidnu	Bufo-real
Čáhppesnjukča	Cisne-negro
Sonja (Norgga dronnet)	Sônia da Noruega
Nominatiiva	Caso nominativo
Nara prefektuvra	Nara (Japão)
Rwanda álbmotgoddin	Genocídio em Ruanda
Wakayama prefektuvra	Wakayama
Shizuoka prefektuvra	Shizuoka
Shiga prefektuvra	Shiga
Márfi	Salsicha
Flora	Flora
Harry Houdini	Harry Houdini
Kiinná ođđajahki	Ano-novo chinês
Cizášfálli	Esmerilhão
Vilgesguolli	Baleia-branca
Dorotea gielda	Dorotea (comuna)
Norgga ruvdno	Coroa norueguesa
Niigata prefektuvra	Niigata
Yamanashi prefektuvra	Yamanashi
Shimane prefektuvra	Shimane
Toyama prefektuvra	Toyama
Gro Harlem Brundtland	Gro Harlem Brundtland
Bourg-en-Bresse	Bourg-en-Bresse
Beahci	Pinheiro-da-escócia
Ja, vi elsker dette landet	Ja, vi elsker dette landet
Fukui prefektuvra	Fukui
Ōita prefektuvra	Oita
Tottori prefektuvra	Tottori
Jyväskylä	Jyväskylä
Howard Walter Florey	Howard Florey
Gárasavvon	Karesuando
Zacapa	Zacapa (Guatemala)
Algiers eanangoddi	Argel (província)
Ruovddagas	Pica-pau-preto
Söderhamna gielda	Söderhamn (comuna)
Fiskesrássešattut	Ranunculaceae
Akkusatiiva	Caso acusativo
Violat	Viola (planta)
Suhpi	Populus tremula
Fiskesrásit	Ranunculus
Skábit	Sorbus aucuparia
Čáhppesjieret	Cassis
Jieret	Groselha
Gieddemuorji	Morango-silvestre
Máŋggaidlohku	Plural
Edgar Rice Burroughs	Edgar Rice Burroughs
Skážirat	Filipendula
Miesttaskážirat	Spiraea
З	З
Novealla	Novela
Sandvikena gielda	Sandviken (comuna)
Aram Hačaturjan	Aram Khachaturian
German Titov	Gherman Titov
Carl Gustaf Emil Mannerheim	Carl Gustaf Emil Mannerheim
Silvia	Sílvia da Suécia
Joan Miró	Joan Miró
Lennart Meri	Lennart Meri
Eurovision lávllagilvvohallan 1957	Festival Eurovisão da Canção 1957
Olav V	Olavo V da Noruega
Haakon VII	Haakon VII da Noruega
John Singer Sargent	John Singer Sargent
Violašattut	Violaceae
Soahkešattut	Betulaceae
Nellehat	Dianthus
Juopmošattut	Polygonaceae
Larvik	Larvik
Nárttit	Saxifraga
Muoskkáš	Menyanthes
Victoria (Ruoŧa ruvdnaprinseassa)	Vitória, Princesa Herdeira da Suécia
Skiptvet	Skiptvet
Ørsta	Ørsta
Sofía	Sofia da Grécia
Lupiidnat	Tremoceiro
Ávžaskábit	Amelanchier
Dássesiiddot golmmačiegat	Triângulo equilátero
Podokarpusšattut	Podocarpaceae
Bađverásit	Alchemilla
Juomut	Rumex
Soahki	Betula pubescens
Skierri	Betula nana
Horbmášattut	Epilobium
Leaibi	Alnus incana
Njuolggočiegat golmmačiegat	Triângulo retângulo
Hilsku	Morugem
Luomi	Rubus chamaemorus
Ruonáminta	Hortelã-verde
Ođđa-Selándda leavga	Bandeira da Nova Zelândia
Saga prefektuvra	Saga (província)
Tokushima prefektuvra	Tokushima
Vándádivga	Linnaea
Nuorsá	Dryas octopetala
Sáhpalat	Melampyrum
Niitosáhpal	Lathyrus pratensis
Vuodjalasttat	Pinguicula
Høylandet	Høylandet
Kuopio	Kuopio
Vårt land	Maamme
Gironlasta	Salix herbacea
Kópavogur	Kópavogur
Uhcabáiski	Gaivota-pequena
Herlev	Herlev
Haakon Magnus (Norgga ruvdnaprinsa)	Haakon Magnus da Noruega
Ingrid Alexandra (Norgga prinseassa)	Ingrid Alexandra da Noruega
Hávga	Esox lucius
Huittinen	Huittinen
Ávža	Prunus padus
Iinnasuolu	Hinnøya
Kveanagiella	Kven
Ruonáčáihni	Pica-pau-verde
Njenecat	Nenets
Bággolonisteapmi	Desapropriação
Mu isamaa, mu õnn ja rõõm	Mu isamaa, mu õnn ja rõõm
Vuoskku	Perca fluviatilis
Frans Hals	Frans Hals
Gaccepat	Paridae
Robert Frost	Robert Frost
Aïn Defla eanangoddi	Aïn Defla (província)
Akseli Gallen-Kallela	Akseli Gallen-Kallela
Skuolfi	Coruja-das-neves
Uvlohávut	Tartaranhão-apívoro
Keflavík	Keflavík
Bađošgaccet	Chapim-rabilongo
Janez Drnovšek	Janez Drnovšek
Hálddahusriekti	Direito administrativo
Fuolki	Parentesco
Eurovision lávllagilvvohallan 1956	Festival Eurovisão da Canção 1956
Л	Л
Stuoragiljobaš	Ganso-grande-de-testa-branca
Čoavjehávvi	Úlcera péptica
Ч	Ч
Ш	Ш
Н	Н
Vilgessoadjeskávli	Gaivota-polar
Ф	Ф
Bearalskuolfi	Aegolius funereus
Rigaluokta	Golfo de Riga
Bangkok Yai	Bangkok Yai
Rivttát	Gratangen
Luleju gielda	Luleå (comuna)
Échenevex	Échenevex
Rievssatfálli	Falcão-gerifalte
Áigi (giellaoahpalaš)	Tempo verbal
Sololá (departemeanta)	Sololá (departamento)
Guatemala leavga	Bandeira da Guatemala
О	О
Vårgårda gielda	Vårgårda
Rievssat	Lagópode-escocês
Varberga gielda	Varberg (comuna)
М	М
Ц	Ц
Urho Kekkonen	Urho Kekkonen
Х	Х
У	У
С	С
Ránesbuokča	Mergulhão-de-pescoço-vermelho
Harjumaa	Harjumaa
Pori	Pori
Lemi	Lemi
Andrew Lloyd Webber	Andrew Lloyd Webber
Gussagoalsi	Merganso-grande
Й	Й
Р	Р
Lappeenranta	Lappeenranta
Alvesta gielda	Alvesta (comuna)
Matti Vanhanen	Matti Vanhanen
Châtillon-en-Michaille	Châtillon-en-Michaille
Щ	Щ
Т	Т
Bakku	Bonasa bonasia
Báktegájanas	Eco
Sande (Vestfolda)	Sande i Vestfold
Livlánda	Livônia
Doavtta	Mobelha-árctica
Uhcačáihni	Pica-pau-malhado-pequeno
Vuohki (giellaoahpalaš)	Modo verbal
Pärnumaa	Pärnumaa
Čáhcevuonccis	Frango-d'água-europeu
Louisa May Alcott	Louisa May Alcott
Garðabær	Garðabær
Bájil gielda	Pajala (comuna)
Joensuu	Joensuu
Ю	Ю
Jambol	Yambol
Burlöva gielda	Burlöv (comuna)
Lofuohta	Lofoten
Carl Larsson	Carl Larsson
Järvamaa	Järvamaa
Võrumaa	Võrumaa
Adrar eanangoddi	Adrar (província)
Belley	Belley
Ain gielddat	Lista de comunas do departamento de Ain
Eurovision lávllagilvvohallan 1958	Festival Eurovisão da Canção 1958
Kantarella	Cantharellus cibarius
Lulli-Suoma leatna	Finlândia Meridional
Я	Я
Jan Matejko	Jan Matejko
Álbmotdearvvašvuohta	Saúde pública
Vuoktagoalsi	Merganso-de-poupa
Karabük eanangoddi	Karabük
Oarje-Virumaa	Lääne-Virumaa
Nuorta-Virumaa	Ida-Virumaa
Läänemaa	Läänemaa
Jõgevamaa	Jõgevamaa
Inuhkat	Inuítes
Govuskuolfi	Coruja-dos-urais
Bargiidbellodat	Partido Trabalhista Norueguês
NRK	NRK
Gieddeviola	Viola tricolor
Áhpedoavtta	Mobelha-grande
Prunus	Prunus
Mikkeli	Mikkeli
Venn-diagrámma	Diagrama de Venn
Skábma	Noite polar
Cihceskuolfi	Mocho-pigmeu
Bellegarde-sur-Valserine	Bellegarde-sur-Valserine
Ы	Ы
Э	Э
Põlvamaa	Põlvamaa
Čáhppesbuokča	Mergulhão-de-pescoço-castanho
Viljandimaa	Viljandimaa
Bartolomé Esteban Murillo	Bartolomé Esteban Murillo
Kotka	Kotka
Ambérieu-en-Bugey	Ambérieu-en-Bugey
Norgga fylkkat	Condados da Noruega
Raplamaa	Raplamaa
Valgamaa	Valgamaa
Tartumaa	Tartumaa
Haváijasullot	Arquipélago do Havaí
Oarje-Suoma leatna	Finlândia Ocidental
Nokia (gávpot)	Nokia (cidade)
Selfoss	Selfoss
Ivan Šiškin	Ivan Shishkin
Kajaani	Kajaani
Bigán	Coruja-gavião
Guksi	Concha (utensílio)
Porvoo	Porvoo
Phu Cat Airport	Aeroporto de Phu Cat
Ambronay	Ambronay
Suovasteapmi	Defumação
Ambléon	Ambléon
Geirangerfjorden	Fiorde de Geiranger
Artemare	Artemare
Anglefort	Anglefort
Arnold Rüütel	Arnold Rüütel
Aranc	Aranc
Nuorta-Suoma leatna	Finlândia Oriental
Armix	Armix
Bjørnøya	Ilha do Urso
Ruoná lihttu	Aliança dos Verdes
Dorski	Bacalhau-do-atlântico
Eurovision lávllagilvvohallan 1959	Festival Eurovisão da Canção 1959
Buranovskije Babuški	Buranovskiye Babushki
Ross jiekŋalahtta	Plataforma de gelo Ross
Lappi leatna	Lapônia (província da Finlândia)
Ránesskuolfi	Coruja-lapónica
Eurovision lávllagilvvohallan 1961	Festival Eurovisão da Canção 1961
Livkkárat	Muscicapidae
Meahccevuoncceslottit	Tetraz
Ь	Ь
Åstorpa gielda	Åstorp (comuna)
Finnair	Finnair
Katla (vulkána)	Katla
Eurovision lávllagilvvohallan 1998	Festival Eurovisão da Canção 1998
Oulu leatna	Oulu (província)
Sergei Stanišev	Serguei Stanishev
Hämeenlinna	Hämeenlinna
Juho Kusti Paasikivi	Juho Kusti Paasikivi
Bâgé-le-Châtel	Bâgé-le-Châtel
Modalen	Modalen
Beaglečoalbmi	Estreito de Beagle
Apremont, Ain	Apremont (Ain)
Skáhpeskážirat	Sorbaria
Eurovision lávllagilvvohallan 1960	Festival Eurovisão da Canção 1960
Höfuðborgarsvæðið	Höfuðborgarsvæði
Georges de La Tour	Georges de La Tour
Gulmmet	Gasterosteus aculeatus
Giepma	Kemi
Arbignieu	Arbignieu
Andert-et-Condon	Andert-et-Condon
Ambérieux-en-Dombes	Ambérieux-en-Dombes
Kouvola	Kouvola
L'Abergement-Clémenciat	L'Abergement-Clémenciat
Suomenniemi	Suomenniemi
Suðurland	Suðurland
Kalundborg	Kalundborg
Vuodjinkoarta	Carta de condução
Giron (loddi)	Lagópode-branco
Beštorat	Motacillinae
Nøtterøy	Nøtterøy
Champagne-en-Valromey	Champagne-en-Valromey
Ars-sur-Formans	Ars-sur-Formans
Bettant	Bettant
Bâgé-la-Ville	Bâgé-la-Ville
Helssega metro	Metro de Helsínquia
Vilgessealčáihni	Dendrocopos leucotos
Uusikaupunki	Uusikaupunki
Davvinuortaeana	Nordaustlandet
Brénod	Brénod
Kjell Magne Bondevik	Kjell Magne Bondevik
Olbmoborranrássi	Angelica archangelica
Hyvinkää	Hyvinkää
Émile Friant	Émile Friant
Junior Eurovision lávllagilvvohallan 2007	Festival Eurovisão da Canção Júnior 2007
Kokkola	Kokkola
Kuusamo	Kuusamo
Gáranasmuorji	Uva-de-urso
Belmont-Luthézieu	Belmont-Luthézieu
Kauniainen	Kauniainen
Järvenpää	Järvenpää
Bealgelottit	Troglodytidae
Vilgesnjunáhpedoavtta	Mobelha-de-bico-amarelo
Argis	Argis
Bohas-Meyriat-Rignat	Bohas-Meyriat-Rignat
