阿非利加洲	África
語言	Linguagem
愛	Amor
歲星	Júpiter (planeta)
銀河	Via Láctea
大霹靂	Big Bang
天王星	Urano (planeta)
英文維基大典	Wikipédia em inglês
海王星	Netuno (planeta)
新加坡	Singapura
格致	Ciência
冥王星	Plutão
列支敦士登	Liechtenstein
希特勒	Adolf Hitler
臉書	Facebook
第一次世界大戰	Primeira Guerra Mundial
第二次世界大戰	Segunda Guerra Mundial
烏邦土	Ubuntu
數學	Matemática
拉丁語	Língua latina
巴林	Bahrein
塞爾維亞	Sérvia
月	Lua
澳大利亞	Austrália
物理	Física
阿根廷	Argentina
秘魯	Peru
生物學	Biologia
朝鮮民主主義人民共和國	Coreia do Norte
柬埔寨	Camboja
古蘭經	Alcorão
恐龍	Dinossauros
回教	Islão
大英百科	Encyclopædia Britannica
歐羅巴聯盟	União Europeia
朋友	Amizade
馬里亞納海溝	Fossa das Marianas
珠穆朗瑪峰	Monte Everest
拿破崙一世	Napoleão Bonaparte
恆星	Estrela
日	Sol
巴斯特	Louis Pasteur
光年	Ano-luz
大洋洲	Oceania
太陽系	Sistema Solar
氫	Hidrogénio
氦	Hélio
維基共享	Wikimedia Commons
鋰	Lítio
鈹	Berílio
日（曆法）	Dia
東帝汶	Timor-Leste
夜	Noite
黑洞	Buraco negro
穀神星	Ceres (planeta anão)
妊神星	Haumea
鳥神星	Makemake
鬩神星	Éris (planeta anão)
硼	Boro
碳	Carbono
氮	Azoto
氧	Oxigénio
行星	Planeta
威尼斯	Veneza
火影忍者	Naruto
莫斯科	Moscovo
氟	Flúor
義大利語	Língua italiana
氖	Néon
鈉	Sódio
鎂	Magnésio
鋁	Alumínio
紐西蘭	Nova Zelândia
印度	Índia
硅	Silício
磷	Fósforo
鐵	Ferro
硫	Enxofre
東	Leste
氯	Cloro
巴布亞新幾內亞	Papua-Nova Guiné
莎士比亞	William Shakespeare
氬	Árgon
鉀	Potássio
鈣	Cálcio
鉛	Chumbo
蒙古國	Mongólia
鈧	Escândio
鈦	Titânio
委內瑞拉	Venezuela
成吉思汗	Gengis Khan
釩	Vanádio
鉻	Crômio
阿姆斯特丹	Amesterdão
動物	Animalia
錳	Manganês
哥倫比亞	Colômbia
鈷	Cobalto
鎢	Tungstênio
鎳	Níquel
佛教	Budismo
玻利維亞	Bolívia
銅	Cobre
千里達及托巴哥	Trinidad e Tobago
植物	Plantae
鋅	Zinco
真菌	Fungi
牙買加	Jamaica
夏威夷	Havaí
海地	Haiti
伊朗	Irão
伊拉克	Iraque
哥斯大黎加	Costa Rica
以色列	Israel
巴拿馬	Panamá
科威特	Kuwait
老撾	Laos
馬爾地夫	Maldivas
亞美利加洲	América
馬來西亞	Malásia
緬甸	Myanmar
尼泊爾	Nepal
阿曼	Omã
巴基斯坦	Paquistão
卡達國	Catar
沙特阿拉伯	Arábia Saudita
斯里蘭卡	Sri Lanka
斯大林	Josef Stalin
柏拉圖	Platão
鎵	Gálio
神奇寶貝	Pokémon
中華民國	República da China
鍺	Germânio
泰國	Tailândia
砒	Arsênio
硒	Selênio
溴	Bromo
鉑	Platina
越南	Vietname
大韓民國	Coreia do Sul
氪	Crípton
阿富汗	Afeganistão
江南風	Gangnam Style
銣	Rubídio
金	Ouro
蘇彝士運河	Canal de Suez
孟加拉國	Bangladesh
蘇格拉底	Sócrates
安哥拉	Angola
不丹	Butão
汶萊	Brunei
汞	Mercúrio (elemento químico)
菲律賓	Filipinas
中非	República Centro-Africana
鉈	Tálio
南極	Polo Sul
北極	Polo Norte
牛頓	Isaac Newton
鍶	Estrôncio
釔	Ítrio
鉍	Bismuto
尚比亞	Zâmbia
津巴布韋	Zimbabwe
北京市	Pequim
南蘇丹	Sudão do Sul
海參崴	Vladivostok
波札那	Botswana
剛果民主共和國	República Democrática do Congo
吉布提	Djibouti
加蓬	Gabão
甘地	Mahatma Gandhi
利比亞	Líbia
馬達加斯加	Madagáscar
摩洛哥	Marrocos
莫桑比克	Moçambique
納米比亞	Namíbia
尼日利亞	Nigéria
烏干達	Uganda
索馬里	Somália
凱撒	Júlio César
蘇丹	Sudão
斯威士蘭	Suazilândia
鍀	Tecnécio
天演	Evolução
聯合國	Organização das Nações Unidas
地理學	Geografia
腦	Cérebro
布拉格	Praga
銀	Prata
錫	Estanho
鈾	Urânio
鈈	Plutónio
碘	Iodo
氙	Xenônio
銫	Césio
鐳	Rádio (elemento químico)
氡	Rádon
賈坎德邦	Jharkhand
耶路撒冷	Jerusalém
印度洋	Oceano Índico
科索沃	Kosovo
蕭邦	Frédéric Chopin
Category:類	Categoria:Conteúdo
帕斯卡	Blaise Pascal
冬	Inverno
春	Primavera
夏	Verão
秋	Outono
薩達姆·海珊	Saddam Hussein
拉登	Osama bin Laden
西班牙語	Língua castelhana
巴赫	Johann Sebastian Bach
泉幣	Dinheiro
奧古斯都	Augusto
諾基亞	Nokia
德克薩斯州	Texas
布宜諾斯艾利斯	Buenos Aires
東京都	Tóquio
密西西比河	Rio Mississippi
錫金	Siquim
尼爾杭思朗	Neil Armstrong
斯德哥爾摩	Estocolmo
墓誌	Epitáfio
里加	Riga
聖經	Bíblia
金邊	Phnom Penh
真耶穌教會	Verdadeira Igreja de Jesus
英語	Língua inglesa
曼谷	Banguecoque
臺北市	Taipé
鎇	Amerício
康賽普西翁	Concepción (Chile)
緬尼托巴	Manitoba
孔斯科沃拉	Końskowola
公元二千年	2000
二〇〇三年	2003
二〇〇二年	2002
二〇〇一年	2001
二〇一二年	2012
二〇一一年	2011
二〇一〇年	2010
二〇〇九年	2009
二氧化碳	Dióxido de carbono
二〇一三年	2013
二〇一四年	2014
二〇一五年	2015
二〇〇八年	2008
二〇〇四年	2004
二〇〇五年	2005
二〇〇六年	2006
二〇〇七年	2007
一氧化碳	Monóxido de carbono
戴高樂	Charles de Gaulle
一九九二年	1992
一九九一年	1991
一九九〇年	1990
一九九三年	1993
一九九四年	1994
一九九五年	1995
一九九六年	1996
可縮放矢量圖形	SVG
萊比錫	Leipzig
一九九七年	1997
一九九八年	1998
一九九九年	1999
食物	Alimento
光速	Velocidade da luz
公曆一月一日	1 de janeiro
公曆一月二日	2 de janeiro
公曆一月三日	3 de janeiro
公曆一月四日	4 de janeiro
矮行星	Planeta anão
公曆一月五日	5 de janeiro
公曆一月六日	6 de janeiro
電子	Elétron
公曆一月七日	7 de janeiro
公曆一月八日	8 de janeiro
公曆一月九日	9 de janeiro
公曆一月十日	10 de janeiro
公曆一月十一日	11 de janeiro
公曆一月十二日	12 de janeiro
公曆一月十三日	13 de janeiro
公曆一月十四日	14 de janeiro
公曆一月十五日	15 de janeiro
工業革命	Revolução Industrial
苯	Benzeno
微軟	Microsoft
質子	Próton
庫魯夫	Kurów
公曆二月五日	5 de fevereiro
公曆二月八日	8 de fevereiro
化學	Química
中子	Nêutron
公曆二月廿九日	29 de fevereiro
公曆三月十四日	14 de março
一九八九年	1989
一九八八年	1988
一九八七年	1987
一九八六年	1986
一九八五年	1985
一九八四年	1984
一九八三年	1983
一九八二年	1982
一九八一年	1981
一九八〇年	1980
一九七〇年	1970
一九七一年	1971
一九七二年	1972
一九七三年	1973
一九七四年	1974
一九七五年	1975
一九七六年	1976
一九七七年	1977
一九七八年	1978
一九七九年	1979
一九六九年	1969
公曆四月五日	5 de abril
衛星	Satélite natural
公曆五月四日	4 de maio
土衛六	Titã (satélite)
一九六八年	1968
一九六七年	1967
一九六六年	1966
一九六五年	1965
一九六四年	1964
公曆六月廿日	20 de junho
公曆七月廿三日	23 de julho
足球	Futebol
一九六三年	1963
一九六二年	1962
公曆九月十日	10 de setembro
公曆十二月卅一日	31 de dezembro
公曆十月十日	10 de outubro
灶神星	4 Vesta
查理曼	Carlos Magno
木衛一	Io (satélite)
木衛四	Calisto (satélite)
木衛二	Europa (satélite)
木衛三	Ganímedes (satélite)
火	Fogo
新南威爾士州	Nova Gales do Sul
土衛二	Encélado (satélite)
天衛三	Titânia (satélite)
海衛一	Tritão (satélite)
雅加達	Jacarta
一九六一年	1961
Category:模板	Categoria:!Predefinições Wikipédia
一九六〇年	1960
小行星	Asteroide
日食	Eclipse solar
二進制	Sistema de numeração binário
阿斯圖里亞斯	Astúrias
維基大典:沙盒	Wikipédia:Página de testes
卡爾梅克共和國	Calmúquia
代數學	Álgebra
地圖	Mapa
阿拉貢自治區	Aragão
前卅三年	33 a.C.
硫酸	Ácido sulfúrico
同海機場	Aeroporto de Dong Hoi
Category:大韓民國紀事	Categoria:História da Coreia do Sul
Category:日本史	Categoria:História do Japão
伯力	Khabarovsk
Category:越南史	Categoria:História do Vietnã
孔子	Confúcio
莎拉伯恩哈特	Sarah Bernhardt
Category:伊拉克史	Categoria:História do Iraque
南加州大学	Universidade do Sul da Califórnia
Category:數學	Categoria:Matemática
Category:蒙古史	Categoria:História da Mongólia
Category:人造語言	Categoria:Línguas artificiais
文藝復興	Renascimento
歐元	Euro
美金	Dólar dos Estados Unidos
地中海	Mar Mediterrâneo
遼	Dinastia Liao
杭州市	Hangzhou
基督教	Cristianismo
Template:亞洲	Predefinição:Países da Ásia
Template:然也	Predefinição:Concordo
金朝	Dinastia Jin (1115-1234)
柏林圍牆	Muro de Berlim
稻	Arroz
大陸	Continente
京	Capital
Template:門	Predefinição:Portal
一九四八年	1948
艾爾瑪善鎮	Almazán
黃現璠	Huang Xianfan
一九四五年	1945
一九五八年	1958
日語	Língua japonesa
百科全書	Enciclopédia
維基大典:卷首	Wikipédia:Página principal
一九五九年	1959
Template:正典	Predefinição:Artigo bom
電晶體	Transístor
棒球	Basebol
奧林匹克運動會	Jogos Olímpicos
長江	Rio Yangtzé
喜瑪拉雅山	Himalaia
落磯山	Montanhas Rochosas
韃靼斯坦共和國	Tartaristão
一二六三年	1263
古斯巴達	Esparta
埃斯特雷馬杜拉	Estremadura (Espanha)
安達盧西亞	Andaluzia
麥加	Meca
毛澤東	Mao Tsé-Tung
西安市	Xian
拉薩市	Lassa
哲學	Filosofia
Category:速刪候	Categoria:!Páginas para eliminação rápida
茶	Chá
馬可·波羅	Marco Polo
一三六三年	1363
共產主義	Comunismo
一三六八年	1368
迦太基	Cartago
大英博物館	Museu Britânico
巴拉頓湖	Lago Balaton
蒙庇利埃	Montpellier
Category:天文	Categoria:Astronomia
吉他	Guitarra
同性戀	Homossexualidade
漢堡包	Hambúrguer
夸克	Quark
高斯	Carl Friedrich Gauss
一六四四年	1644
一六四五年	1645
Category:恒星	Categoria:Estrelas
李白	Li Bai
伽羅華	Évariste Galois
政府	Governo
秦始皇帝	Qin Shihuang
秦二世皇帝	Qin Er Shi
中東	Médio Oriente
漢	Dinastia Han
漢太祖高皇帝	Imperador Gaozu de Han
漢孝惠皇帝	Hui de Han
漢太宗孝文皇帝	Imperador Wen de Han
漢孝景皇帝	Imperador Jing de Han
漢世宗孝武皇帝	Wu de Han
聖女貞德	Joana d'Arc
漢孝昭皇帝	Zhaodi
漢中宗孝宣皇帝	Xuan de Han
漢孝元皇帝	Yuan de Han
漢孝成皇帝	Cheng de Han
漢孝哀皇帝	Aidi de Han
漢孝平皇帝	Imperador Ping de Han
漢孺子嬰	Ruzi Ying
王莽	Wang Mang
意理	Ideologia
帝國主義	Imperialismo
漢更始帝	Liu Xuan (imperador)
漢世祖光武皇帝	Guang Wudi
共和	República
漢顯宗孝明皇帝	Ming de Han
國	Estado
漢肅宗孝章皇帝	Imperador Zhang de Han
漢孝安皇帝	Han Andi
漢孝順皇帝	Shundi
漢孝沖皇帝	Chong de Han
漢孝質皇帝	Zhi de Han
漢孝桓皇帝	Huandi
漢孝靈皇帝	Lingdi
元	Dinastia Yuan
漢孝獻皇帝	Xiandi
德意志第三帝國	Alemanha Nazi
哥倫布	Cristóvão Colombo
庫克船長	James Cook
科爾蒂斯	Hernán Cortés
鄭和	Zheng He
大堡礁	Grande Barreira de Coral
巴拿馬運河	Canal do Panamá
晉	Dinastia Jin (265-420)
黃河	Rio Amarelo
晉武帝	Sima Yan
晉元帝	Imperador Yuan de Jin
隋	Dinastia Sui
西夏	Império Tangut
脫氧核酸	Ácido desoxirribonucleico
趙宋	Dinastia Sung
宋太祖	Song Taizu
宋徽宗	Hongxian
宋度宗	Duzong
歐拉	Leonhard Euler
一七七四年	1774
一七七五年	1775
一七七六年	1776
一八六六年	1866
一八六七年	1867
一八六八年	1868
晝	Manhã
拿破崙二世	Napoleão II de França
砒霜	Trióxido de arsênio
法律	Direito
一七九四年	1794
世界人權宣言	Declaração Universal dos Direitos Humanos
一七九五年	1795
一七九六年	1796
漢語	Língua chinesa
細胞	Célula
全球暖化	Aquecimento global
禪宗	Zen
鼠標	Rato (informática)
聖奧思定	Agostinho de Hipona
精靈	Fada
朊	Proteína
理則	Lógica
龍捲風	Tornado
幾何	Geometria
語法	Gramática
熱帶氣旋	Ciclone tropical
計學	Economia
語言學	Linguística
文字	Sistema de escrita
阿拉伯字	Alfabeto árabe
漢字	Caracteres chineses
西里爾字母	Alfabeto cirílico
孫子兵法	A Arte da Guerra
Category:音樂	Categoria:Música
紅樓夢	O Sonho da Câmara Vermelha
Category:法國史	Categoria:História da França
哈利波特	Harry Potter
放手銃	Masturbação
法文維基大典	Wikipédia em francês
死刑	Pena de morte
人權	Direitos humanos
乳	Leite
山	Montanha
沙漠	Deserto
孫文	Sun Yat-sen
薩拉丁	Saladino
阿育王	Asoka
阿克巴大帝	Akbar
香港	Hong Kong
韓戰	Guerra da Coreia
南北戰爭	Guerra de Secessão
首爾特別市	Seul
上海市	Xangai
清	Dinastia Qing
越戰	Guerra do Vietnã
歐几里得	Euclides
巴斯克語	Língua basca
星座	Constelação
拉脫維亞語	Língua letã
原子	Átomo
宗教	Religião
朝鮮語	Língua coreana
笛卡兒	René Descartes
官話	Língua mandarim
越南語	Língua vietnamita
猶太教	Judaísmo
老子	Lao Zi
電鼠	Pikachu
尼采	Friedrich Nietzsche
司馬遷	Sima Qian
斯密亞丹	Adam Smith
朱熹	Zhu Xi
廷巴克圖	Tombuctu
洋	Oceano
阿奎那	Tomás de Aquino
英王維多利亞	Vitória do Reino Unido
釋迦牟尼	Sidarta Gautama
馬丁·路德	Martinho Lutero
儒家	Confucionismo
腹	Abdómen
陰脈	Veia
福克蘭群島	Ilhas Malvinas
陽脈	Artéria
唐	Dinastia Tang
威爾斯王妃黛安娜	Diana, Princesa de Gales
唐高祖	Imperador Gaozu de Tang
唐太宗	Imperador Taizong de Tang
唐宣宗	Xuanzong II
小學	Escola primária
明	Dinastia Ming
明太祖	Zhū Yuánzhāng
明成祖	Yongle
明宣宗	Xuande
明武宗	Imperador Zhengde
明世宗	Jiajing
明神宗	Imperador Wanli
電漿	Plasma
北斗七星	Grande Carro
金正日	Kim Jong-il
元素週期表	Tabela periódica
自殺	Suicídio
九一一事件	Ataques de 11 de setembro de 2001
電話	Telefone
梵語	Sânscrito
化合物	Composto químico
算術	Aritmética
食鹽	Sal de cozinha
化學元素	Elemento (química)
方程	Equação
映射	Função (matemática)
角	Ângulo
分子	Molécula
加速度	Aceleração
能量	Energia
弈	Go
金屬	Metal
氣體	Gás
液體	Líquido
固體	Sólido
船舶	Navio
農	Agricultura
速度	Velocidade
納米科技	Nanotecnologia
勾股定理	Teorema de Pitágoras
證明	Prova matemática
數	Número
複數	Número complexo
公斤	Quilograma
公尺	Metro
大麥	Cevada
繪畫	Pintura
華爾街	Wall Street
美國總統	Presidente dos Estados Unidos
東南亞	Sudeste Asiático
瀋陽市	Shenyang
重慶市	Chongqing
天津市	Tianjin
武漢市	Wuhan
史前	Pré-história
古埃及	Antigo Egito
白令海峽	Estreito de Bering
古希臘	Grécia Antiga
傑弗遜	Thomas Jefferson
希臘文維基大典	Wikipédia em grego
麥	Trigo
格里曆	Calendário gregoriano
拉丁文維基大典	Wikipédia em latim
麻雀 (棋牌)	Mahjong
鹽	Sal
牛頓（單位）	Newton (unidade)
度量衡	Medição
萬國公制	Sistema Internacional de Unidades
集論	Teoria dos conjuntos
哈里發塔	Burj Khalifa
長城	Muralha da China
整數	Número inteiro
球	Esfera
大憲章	Magna Carta
阿兹特克	Astecas
上塞納省	Altos do Sena
東羅馬帝國	Império Bizantino
奧斯曼帝國	Império Otomano
國內生產總值	Produto interno bruto
銃	Arma de fogo
伊比利半島	Península Ibérica
坦克	Carro de combate
實數	Número real
楈枒	Coqueiro
桃	Pessegueiro
冰酪	Sorvete
文胸	Sutiã
阿拉伯語	Língua árabe
本州	Honshu
四國	Shikoku
地中海氣候	Clima mediterrânico
科西嘉	Córsega
頂級域名	Domínio de topo
斯洛文尼亞語維基大典	Wikipédia em esloveno
百度	Baidu
澳門	Macau
土衛一	Mimas (satélite)
土衛四	Dione (satélite)
土衛三	Tétis (satélite)
土衛五	Reia (satélite)
廣東省	Guangdong
廣西壯族自治區	Guangxi
蘇聯	União Soviética
亡神星	90482 Orco
塞德娜	90377 Sedna
孟德斯鳩	Montesquieu
維基大典:卓著	Wikipédia:Artigos destacados
Template:Link FA	Predefinição:Link FA
維基大典:會館	Wikipédia:Esplanada
釜山廣域市	Busan
廣州市	Cantão (China)
蔣中正	Chiang Kai-shek
南京市	Nanquim
君士坦丁堡	Constantinopla
首爾地鐵	Metropolitano de Seul
北京大學	Universidade de Pequim
清華大學	Universidade Tsinghua
烏魯木齊市	Ürümqi
江蘇省	Jiangsu
浙江省	Zhejiang
鄧小平	Deng Xiaoping
新好男孩	Backstreet Boys
西藏	Tibete
西藏自治區	Região Autônoma do Tibete
圓	Círculo
歐氏幾何	Espaço euclidiano
周恩來	Zhou Enlai
中國共產黨	Partido Comunista da China
馮諾曼	John von Neumann
偽基大典	Uncyclopedia
太平山	Victoria Peak
公理	Axioma
清聖祖	Kangxi
朝鮮文維基大典	Wikipédia em coreano
檀香山	Honolulu
紋章	Heráldica
曼徹斯特聯足球俱樂部	Manchester United Football Club
平壤直轄市	Pyongyang
模 (代數)	Módulo (álgebra)
九	Nove
清高宗	Qianlong
司徒華	Szeto Wah
蕭伯納	George Bernard Shaw
黑龍江省	Heilongjiang
香港島	Ilha de Hong Kong
鹼金屬	Metal alcalino
非金屬	Não metal
鹵素	Halogênio
稀有氣體	Gás nobre
維基大典:正典	Wikipédia:Artigos bons
四川省	Sichuan
舊約	Antigo Testamento
聖誕節	Natal
三角形	Triângulo
印歐語系	Línguas indo-europeias
穆阿邁爾·格達費	Muammar al-Gaddafi
獨島	Rochedos de Liancourt
江南區	Gangnam-gu
大田廣域市	Daejeon
大邱廣域市	Daegu
仁川國際機場	Aeroporto Internacional de Incheon
仁川廣域市	Incheon
京畿道	Gyeonggi
自然數	Número natural
萬國音標字	Alfabeto fonético internacional
河北省	Hebei
革奴自由文檔許可協議	GNU Free Documentation License
臺灣	Ilha Formosa
紐約	Nova Iorque (desambiguação)
汝矣島	Yeouido
公元元年	1
魯迅	Lu Xun (escritor)
八	Oito
馬德堡半球	Hemisférios de Magdeburgo
主禱文	Pai Nosso
蒜	Alho
白	Branco
黑	Preto
六九八年	698
巴爾幹半島	Bálcãs
七二七年	727
墨索里尼	Benito Mussolini
四方	Ponto cardeal
十	Dez
原子序	Número atómico
九一八年	918
公元百年	100
五七〇年	570
四時	Estação do ano
二二二年	222
利物浦	Liverpool
鐵達尼號	RMS Titanic
五五二年	552
同位素	Isótopo
蜚蠊	Barata
功率	Potência
螢	Vaga-lume
索布語	Línguas sorábias
一八一二年戰爭	Guerra anglo-americana de 1812
頂點	Vértice
大理國	Reino de Dali
福岡市	Fukuoka (cidade)
建城	Ab urbe condita
日本海	Mar do Japão
中亞	Ásia Central
琉球國	Reino de Ryukyu
伽倻	Confederação Gaya
朝鮮國	Dinastia Joseon
高麗國	Goryeo
大韓帝國	Império Coreano
渤海國	Balhae
高句麗	Koguryo
百濟	Baekje
新羅	Silla (Coreia)
奧匈帝國	Áustria-Hungria
吸血鬼日記	The Vampire Diaries (série)
馬雅	Civilização maia
印加國	Império Inca
縣	Condado
韓非子	Han Fei
錦州市	Jinzhou
導數	Derivada
黃帝	Huangdi
釣魚臺列嶼	Ilhas Senkaku
中國	China (civilização)
成都市	Chengdu
咖啡廳	Café (estabelecimento)
蒲公英	Taraxacum
雪豹	Leopardo-das-neves
白話維基大典	Wikipédia em chinês
二二一年	221
五四三年	543
五三六年	536
二三〇年	230
二〇二年	202
一九二年	192
總統	Presidente
五五五年	555
五七一年	571
滿洲國	Manchukuo
二三一年	231
二二五年	225
三一一年	311
二二〇年	220
三一三年	313
五八七年	587
五四八年	548
五四九年	549
五五一年	551
五五七年	557
二二三年	223
二二四年	224
二一九年	219
大運河	Grande Canal da China
五八九年	589
華佗	Hua Tuo
三〇四年	304
五五〇年	550
五八六年	586
五八八年	588
五五四年	554
二二九年	229
五八三年	583
二六五年	265
二六三年	263
五八五年	585
五八二年	582
五五六年	556
四二〇年	420
二八〇年	280
五八一年	581
五五八年	558
切羅基語	Língua cherokee
羅素悖論	Paradoxo de Russell
五六九年	569
贛語	Chinês gan
爪哇語	Língua javanesa
滿語	Língua manchu
弧度	Radiano
三〇七年	307
杜甫	Du Fu
人口	População
瓦爾帕萊索	Valparaíso (Chile)
青銅	Bronze
情報及特殊使命局	Mossad
尼亞加拉瀑布	Cataratas do Niágara
吳語	Língua wu
昭和天皇	Hirohito
基地組織	Al-Qaeda
穆罕默德二世	Maomé II, o Conquistador
希臘神話	Mitologia grega
秦	Qin (estado)
新疆維吾爾族自治區	Xinjiang
萬國首都全覽	Lista de capitais nacionais
周	Dinastia Zhou
形而上學	Metafísica
白宮	Casa Branca
北海道	Hokkaido
科科斯（基林）群島	Ilhas Cocos (Keeling)
胡志明	Ho Chi Minh
明尼阿波利斯	Minneapolis
集	Conjunto
順化市	Huế
閩東語	Língua min oriental
閩南語	Min Nan
離子	Íon
壯族	Zhuang (etnia)
南斯拉夫	Jugoslávia
長毛象	Mamute
四邊形	Quadrilátero
甘蔗	Cana-de-açúcar
三船敏郎	Toshiro Mifune
線	Reta
甲烷	Metano
孫武	Sun Tzu
中央情報局	Central Intelligence Agency
語法學	Sintaxe
聯合國安全理事會	Conselho de Segurança das Nações Unidas
眼鏡	Óculos
火柴	Palito de fósforo
多邊形	Polígono
市場	Mercado
南海	Mar da China Meridional
朝鮮世宗	Rei Sejong
俳句	Haiku
黃海	Mar Amarelo
今上天皇	Akihito
橫濱市	Yokohama
普魯士	Prússia
前四年	4 a.C.
柳州市	Liuzhou
皇帝	Imperador
索契	Sóchi
壓強	Pressão
龍貓	Tonari no Totoro
线粒体	Mitocôndria
吠陀	Vedas
橢圓	Elipse
杠杆	Alavanca
蟹	Caranguejo
前九十年	90 a.C.
酸鹼度	PH
美國革命	Guerra da Independência dos Estados Unidos
安徽省	Anhui
前九十一年	91 a.C.
忠清北道	Chungcheong do Norte
忠清南道	Chungcheong do Sul
內蒙古自治區	Mongólia Interior
金日成	Kim Il-sung
慶尚南道	Gyeongsang do Sul
慶尚北道	Gyeongsang do Norte
全羅北道	Jeolla do Norte
全羅南道	Jeolla do Sul
濟州特別自治道	Jeju
鬱陵島	Ulleungdo
巴別塔	Torre de Babel
蔚山廣域市	Ulsan
光州廣域市	Gwangju
一元二次方程	Equação quadrática
李斯特	Franz Liszt
美式足球	Futebol americano
前八十七年	87 a.C.
哥德爾	Kurt Gödel
摩爾	Mol
華國鋒	Hua Guofeng
烷烴	Alcano
希爾伯特	David Hilbert
前九十五年	95 a.C.
黃金分割	Proporção áurea
福建省	Fujian
班夫國家公園	Parque Nacional Banff
查士丁尼一世	Justiniano
前七十四年	74 a.C.
安東市	Andong
阿貝爾·塔斯曼	Abel Tasman
海南省	Hainan
功	Trabalho (física)
漢語拼音	Pīnyīn
莽原氣候	Savana
甘肅省	Gansu
蘇州市	Suzhou
溫州市	Wenzhou
無錫市	Wuxi
紹興市	Shaoxing
寧波市	Ningbo
紙鳶	Pipa (brinquedo)
前二〇一年	201 a.C.
前二〇二年	202 a.C.
哈爾濱市	Harbin
油	Óleo
拓撲學	Topologia (matemática)
文身	Tatuagem
金融學	Finanças
雲南省	Yunnan
多項式	Polinómio
山東省	Shandong
中南半島	Indochina
天擇	Seleção natural
地質年代	Escala de tempo geológico
壟斷	Monopólio
河南省	Henan
遼寧省	Liaoning
席德	O Cid
刳剔者傑克	Jack, o Estripador
前一五六年	156 a.C.
列奧尼達一世	Leónidas I
前一三九年	139 a.C.
前一二二年	122 a.C.
前二〇六年	206 a.C.
西爾門·拉什迪	Salman Rushdie
前二〇三年	203 a.C.
化學鍵	Ligação química
槍	Lança
前一四一年	141 a.C.
僧院	Mosteiro
白堊紀	Cretáceo
前二〇九年	209 a.C.
皮薩羅	Francisco Pizarro
點	Ponto (matemática)
骰子	Dado
吉林省	Jilin
東海	Mar da China Oriental
前二三二年	232 a.C.
湖南省	Hunan
青海省	Qinghai
前一九七年	197 a.C.
前二〇七年	207 a.C.
前一八八年	188 a.C.
矢	Flecha
前二〇五年	205 a.C.
鮨	Sushi
前二〇八年	208 a.C.
湖北省	Hubei
山西省	Shanxi
魔方	Cubo de Rubik
伊洛瓦底省	Ayeyarwady (divisão)
貴州省	Guizhou
京都議定書	Protocolo de Quioto
聯合國大會	Assembleia Geral das Nações Unidas
乙酸	Ácido etanoico
安達曼海	Mar de Andamão
前二〇四年	204 a.C.
胡適	Hu Shi
莊子	Chuang-Tzu
清孝欽顯皇后	Tseu-Hi
陝西省	Shaanxi
Template:共享類	Predefinição:Commonscat
三八三年	383
德文維基大典	Wikipédia em alemão
拋物線	Parábola
