阿非利加洲	África
日本	Japão
挪威	Noruega
英格蘭	Inglaterra
蘇格蘭	Escócia
愛爾蘭共和國	República da Irlanda
匈牙利	Hungria
西班牙	Espanha
美國	Estados Unidos
比利時	Bélgica
盧森堡	Luxemburgo
宇宙	Universo
坤輿	Terra
死	Morte
人	Homo sapiens
華盛頓	George Washington
芬蘭	Finlândia
瑞典	Suécia
丹麥	Dinamarca
波蘭	Polónia
立陶宛	Lituânia
義大利	Itália
瑞士	Suíça
奧地利	Áustria
希臘共和國	Grécia
土耳其	Turquia
啤酒	Cerveja
葡萄牙	Portugal
歐羅巴洲	Europa
亞細亞洲	Ásia
南極洲	Antártida
維基大典	Wikipédia
荷蘭	Países Baixos
紐約市	Nova Iorque
華盛頓哥倫比亞特區	Washington, D.C.
柏林	Berlim
電腦	Computador
共筆臺	MediaWiki
倫敦	Londres
巴黎	Paris
安卓	Android
谷歌	Google
墨西哥	México
太平洋	Oceano Pacífico
熒惑	Marte (planeta)
衣索比亞	Etiópia
迦納	Gana
法國	França
世界語	Esperanto
犬	Canis lupus familiaris
英國	Reino Unido
貓	Gato
中華人民共和國	República Popular da China
法蘭西語	Língua francesa
維基爾雅	Wikcionário
乙醇	Etanol
巴西	Brasil
醇	Álcool
俄羅斯	Rússia
光導纖維	Fibra óptica
正方形	Quadrado
圓周率	Pi
共筆	Wiki
魁北克	Quebec
維基媒體基金會	Wikimedia
威霽彌	Jimmy Wales
德國	Alemanha
白俄羅斯	Bielorrússia
德語	Língua alemã
冰島	Islândia
愛沙尼亞	Estónia
鎮星	Saturno (planeta)
飛機	Avião
一	Um
二	Dois
三	Três
〇	0 (número)
無限	Infinito
拉脫維亞	Letónia
烏克蘭	Ucrânia
捷克	República Checa
斯洛伐克	Eslováquia
羅馬尼亞	Roménia
保加利亞	Bulgária
羅馬	Roma
馬其頓	República da Macedónia
格陵蘭	Gronelândia
哈薩克	Cazaquistão
古巴	Cuba
印度尼西亞	Indonésia
莫扎特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
南非	África do Sul
商博良	Jean-François Champollion
阿爾及利亞	Argélia
水	Água
電視	Televisão
智利	Chile
耶穌	Jesus
伽利略	Galileu Galilei
辰星	Mercúrio (planeta)
史	História
蘋果公司	Apple
太白	Vénus (planeta)
