अफ्रीका	África
जापान	Japão
दक्षिण अमेरिका	América do Sul
नर्वे	Noruega
इङ्गल्याण्ड	Inglaterra
स्कटल्यान्ड	Escócia
वेल्स	País de Gales
गणतन्त्र आयरल्यान्ड	República da Irlanda
हंगेरी	Hungria
स्पेन	Espanha
संयुक्त राज्य अमेरिका	Estados Unidos
बेल्जियम	Bélgica
लक्जेम्बर्ग	Luxemburgo
ब्रह्माण्ड	Universo
पृथ्वी	Terra
जीवन	Vida
मानिस	Homo sapiens
जर्ज वासिङ्टन	George Washington
फिनल्याण्ड	Finlândia
स्वीडेन	Suécia
डेनमार्क	Dinamarca
पोल्याण्ड	Polónia
लिथुआनिया	Lituânia
इटाली	Itália
स्विजरल्याण्ड	Suíça
अष्ट्रीया	Áustria
ग्रीस	Grécia
टर्की	Turquia
बियर	Cerveja
पोर्चुगल	Portugal
युरोप	Europa
एसिया	Ásia
उत्तर अमेरिका	América do Norte
अन्टार्क्टिका	Antártida
विकिपीडिया	Wikipédia
नेदरल्यान्ड्स	Países Baixos
लिङ्ग	Pênis
पिएचपी	PHP
न्यू योर्क शहर	Nova Iorque
वासिङ्टन, डी.सी.	Washington, D.C.
बर्लिन	Berlim
लस एन्जलस	Los Angeles
कम्प्युटर	Computador
बर्न	Berna
इन्टरनेट	Internet
बाराक ओबामा	Barack Obama
उरुग्वे	Uruguai
लण्डन	Londres
स्याउ	Maçã
पेरिस	Paris
अब्राहम लिङ्कन	Abraham Lincoln
एन्ड्रोइड	Android
गुगल	Google
मेक्सिको	México
आन्ध्र महासागर	Oceano Atlântico
प्रशान्त महासागर	Oceano Pacífico
क्यालिफोर्निया	Califórnia
सोमवार	Segunda-feira
जनवरी	Janeiro
फेब्रुअरी	Fevereiro
मार्च	Março
मंगलग्रह	Marte (planeta)
केन्या	Quénia
इथियोपिया	Etiópia
घाना	Gana
अप्रिल	Abril
मे	Maio
जुन	Junho
जुलाई	Julho
अगस्ट	Agosto
सेप्टेम्बर	Setembro
अक्टोबर	Outubro
नोभेम्बर	Novembro
डिसेम्बर	Dezembro
मंगलबार	Terça-feira
बुधवार	Quarta-feira
बिहीवार	Quinta-feira
शुक्रवार	Sexta-feira
शनिवार	Sábado
आइतबार	Domingo
सिंह	Leão
फ्रान्स	França
एस्पेरान्तो	Esperanto
कुकुर	Canis lupus familiaris
संयुक्त अधिराज्य	Reino Unido
बिरालो	Gato
जनबादी गणतन्त्र चीन	República Popular da China
फ्रान्सेली भाषा	Língua francesa
माछा	Peixe
मादक पदार्थ	Bebida alcoólica
ब्राजिल	Brasil
रुस	Rússia
ह्वेल	Cetáceos
अप्टिकल फाइबर	Fibra óptica
वर्ग (आकार)	Quadrado
विकि	Wiki
टोरन्टो	Toronto
अलाबामा	Alabama
साओ पाउलो	São Paulo (cidade)
विकिमिडिया फाउन्डेसन	Wikimedia
जिम्मी वेल्स	Jimmy Wales
जर्मनी	Alemanha
बेलारुस	Bielorrússia
आइसल्याण्ड	Islândia
ईश्वर	Deus
इस्टोनिया	Estónia
डेविड क्यामरुन	David Cameron
शनिग्रह	Saturno (planeta)
हवाईजहाज	Avião
स्टेफेन हार्पर	Stephen Harper
जर्ज डब्लु बुश	George W. Bush
आयत	Retângulo
लात्भिया	Letónia
युक्रेन	Ucrânia
चेक गणतन्त्र	República Checa
स्लोभाकिया	Eslováquia
स्लोभेनिया	Eslovénia
मोल्डोभा	Moldávia
रोमानिया	Roménia
बुल्गेरिया	Bulgária
रोम	Roma
म्यासेडोनिया	República da Macedónia
अल्बानिया	Albânia
ग्रीनल्याण्ड	Gronelândia
क्रोएशिया	Croácia
बोस्निया र हर्जगोभिना	Bósnia e Herzegovina
अजरबैजान	Azerbaijão
एण्डोरा	Andorra
साइप्रस	Chipre
जर्जिया (देश)	Geórgia
कजाख्स्तान	Cazaquistão
मोनाको	Mónaco
मोन्टेनेग्रो	Montenegro
भ्याटिकन सिटी	Vaticano
सान मारिनो	San Marino
ब्रसेल्स	Bruxelas
क्युबा	Cuba
बेलिज	Belize
आइफिल टावर	Torre Eiffel
बार्बाडोस	Barbados
किबोर्ड	Teclado (informática)
जावा	Java (linguagem de programação)
इण्डोनेशिया	Indonésia
वोल्फगान्क आमडेयुस मोत्सार्ट	Wolfgang Amadeus Mozart
दक्षिण अफ्रिका	África do Sul
लिंकिन पार्क	Linkin Park
अल्जेरिया	Argélia
वाइन	Vinho
पानी	Água
काठ	Madeira
टेलिभिजन	Televisão
यौन	Sexo
चिली	Chile
जिसस क्राइस्ट	Jesus
बुधग्रह	Mercúrio (planeta)
इतिहास	História
एप्पल कम्पनी	Apple
शुक्रग्रह	Vénus (planeta)
भाषा	Linguagem
माया	Amor
तारापुञ्ज	Galáxia
बृहस्पतिग्रह	Júpiter (planeta)
आकाशगङ्गा	Via Láctea
युरेनस	Urano (planeta)
निकोला सार्कोजी	Nicolas Sarkozy
वरुणग्रह	Netuno (planeta)
खगोलशास्त्र	Astronomia
सिङ्गापुर	Singapura
विज्ञान	Ciência
भविष्य	Futuro
मेरी (यसुकी आमा)	Maria (mãe de Jesus)
खेल	Desporto
एडल्फ हिटलर	Adolf Hitler
फेसबुक	Facebook
गूगल+	Google+
विकिलिक्स	WikiLeaks
जुलियन असान्ज	Julian Assange
प्रथम विश्वयुद्ध	Primeira Guerra Mundial
दोस्रो विश्वयुद्ध	Segunda Guerra Mundial
भ्रष्टाचार	Corrupção
उबुन्टु	Ubuntu
लिनक्स	Linux
गणित	Matemática
लेटिन	Língua latina
बहराइन	Bahrein
आर्मेनिया	Arménia
जेना जेम्सन	Jenna Jameson
हिग्स बोसोन	Bóson de Higgs
सर्बिया	Sérvia
चन्द्रमा	Lua
इस्तानबुल	Istambul
लिन्डा लभलेस	Linda Lovelace
अष्ट्रेलिया	Austrália
बब मार्ली	Bob Marley
अर्जेन्टिना	Argentina
पेरू	Peru
जीवशास्त्र	Biologia
उत्तर कोरिया	Coreia do Norte
कम्बोडिया	Camboja
कुरान	Alcorão
डायनोसर	Dinossauros
इस्लाम धर्म	Islão
हरियो स्याउ	Pera
लेक वालेसा	Lech Wałęsa
मन	Mente
शान्ति	Paz
युरोपेली संघ	União Europeia
महिला	Mulher
कविता	Poesia
कम्प्युटर भाइरस	Vírus de computador
मित्रता	Amizade
मल	Fezes
काखी	Axila
कागती	Limão
केरा	Banana
फूल	Flor
सगरमाथा	Monte Everest
शहर	Cidade
नेपोलियन बोनापार्ट	Napoleão Bonaparte
शरीर क्रिया विज्ञान	Fisiologia
तारा	Estrela
सूर्य	Sol
आकाश	Céu
लोइस पास्चर	Louis Pasteur
प्रकाश वर्ष	Ano-luz
गाउँ	Aldeia
ओशिनिया	Oceania
सौर्यमण्डल	Sistema Solar
दाँत	Dente
हाइड्रोजन	Hidrogénio
हीलियम	Hélio
विकिमिडिया कमन्स	Wikimedia Commons
एन्जेला मर्केल	Angela Merkel
लिथियम	Lítio
बेरिलियम	Berílio
लाउड स्पीकर	Altifalante
पुस्तक	Livro
दिन	Dia
पूर्वी टिमोर	Timor-Leste
राती	Noite
वर्ष	Ano
शताब्दी	Século
मोन्ट ब्लाङ्क	Monte Branco
ओस्लो	Oslo
क्याटोभिस	Katowice
ब्ल्याक होल	Buraco negro
समलिङ्गी (पुरुष)	Gay
लियोनेल मेस्सी	Lionel Messi
बोरोन	Boro
कार्बन	Carbono
नाइट्रोजन	Azoto
प्राणवायु	Oxigénio
इन्टर मिलान	Football Club Internazionale Milano
ग्रह	Planeta
क्लियोपेट्रा सातौं	Cleópatra
संगीत	Música
भेनिस	Veneza
थर्मामीटर	Termômetro
फ्लोरिन	Flúor
