अफ्रीका	África
नियोन	Néon
सेन्ट पिटर्सवर्ग	São Petersburgo
सोडियम	Sódio
उत्तर	Norte
म्याग्नेसियम	Magnésio
एलुमिनियम	Alumínio
न्यु जिल्यान्ड	Nova Zelândia
दक्षिण	Sul
भारत	Índia
सिलिकॉन	Silício
फोस्फरस	Fósforo
आन्द्रे मैरी एम्पीयर	André-Marie Ampère
फलाम	Ferro
पश्चिम	Oeste
गन्धक	Enxofre
पूर्व	Leste
सोलोमन द्वीप	Ilhas Salomão
भानुअटु	Vanuatu
क्लोरिन	Cloro
विलियम शेक्सपियर	William Shakespeare
और्गन	Árgon
मोजिला फायरफक्स	Mozilla Firefox
पोटाशियम	Potássio
क्याल्सियम	Cálcio
मङ्गोलिया	Mongólia
फिजी	Fiji
स्काण्डियम	Escândio
टाइटानियम	Titânio
भेनेजुएला	Venezuela
बुद्धिचाल	Xadrez
जंगेज खाँ	Gengis Khan
वनेडियम	Vanádio
मेन	Maine
आम्स्टर्डम	Amesterdão
जनावर	Animalia
पाराग्वे	Paraguai
गुयना	Guiana
इक्वेडर	Equador
कोलम्बिया	Colômbia
बुद्ध धर्म	Budismo
बोलिभिया	Bolívia
अस्मियम	Ósmio
तामा	Cobre
ट्रिनिडाड र टोबागो	Trinidad e Tobago
वनस्पति	Plantae
न्यू ह्याम्प्सर	Nova Hampshire
लियोनार्दो दा भिञ्ची	Leonardo da Vinci
ढुसी	Fungi
ग्रिनाडा	Granada (país)
म्यासेचुसेट्स	Massachusetts
ग्वाटेमाला	Guatemala
बहामस	Bahamas
कनेक्टिकट	Connecticut
कुखुरा	Gallus gallus domesticus
एन्टिगुआ र बर्बुडा	Antígua e Barbuda
हवाई	Havaí
होन्डुरस	Honduras
डोमिनिका	Dominica
जर्सी	Jersey
डोमिनिकन गणतन्त्र	República Dominicana
आर्कटिक महासागर	Oceano Ártico
हाइटी	Haiti
एल साल्भादोर	El Salvador
इरान	Irão
ईराक	Iraque
अलास्का	Alasca
कोस्टारिका	Costa Rica
इजरायल	Israel
पानामा	Panamá
गणतन्त्र यमन	Iémen
विषाणु	Vírus
जोर्डन	Jordânia
निकाराग्वा	Nicarágua
फ्लोरिडा	Flórida
किर्गिजस्तान	Quirguistão
एरिजोना	Arizona
कुवेत	Kuwait
लाओस	Laos
ओरेगन	Oregon
मालदिभ्स	Maldivas
युटा	Utah
गाई	Bos taurus
मलेशिया	Malásia
म्यानमार	Myanmar
नेपाल	Nepal
ओमान	Omã
पाकिस्तान	Paquistão
कतार	Catar
साउदी अरब	Arábia Saudita
श्रीलंका	Sri Lanka
स्टालिन	Josef Stalin
सीरिया	Síria
प्लेटो	Platão
ताजिकिस्तान	Tajiquistão
ताइवान	República da China
युट्युब	YouTube
जर्मेनियम	Germânio
अरस्तू	Aristóteles
थाइल्याण्ड	Tailândia
रेडियो	Rádio (telecomunicações)
तुर्कमेनिस्तान	Turquemenistão
इरिडियम	Irídio
संयुक्त अरब इमिरेट्स	Emirados Árabes Unidos
भियतनाम	Vietname
चार्ली च्याप्लिन	Charlie Chaplin
दक्षिण कोरिया	Coreia do Sul
द सिम्प्सन्स	Os Simpsons
अफगानिस्तान	Afeganistão
गङ्नम स्टाइल	Gangnam Style
सुन	Ouro
स्वेज नहर	Canal de Suez
वैज्ञानिक	Cientista
बंगलादेश	Bangladesh
फ्रान्ज काफ्का	Franz Kafka
सुकरात	Sócrates
अंगोला	Angola
भूटान	Butão
ट्विटर	Twitter
ब्रुनेई	Brunei
तन्जानिया	Tanzânia
फिलिपिन्स	Filipinas
मध्य अफ्रिकी गणतन्त्र	República Centro-Africana
दक्षिणी ध्रुव	Polo Sul
उत्तरी ध्रुव	Polo Norte
आइज्याक न्यूटन	Isaac Newton
अल्बर्ट आइन्स्टाइन	Albert Einstein
पहेंलो	Amarelo
प्रमात्रा यान्त्रिकी	Mecânica quântica
जिम्बाब्वे	Zimbabwe
बेइजिङ	Pequim
बेनिन	Benim
बोत्स्वाना	Botswana
बुर्किना फासो	Burkina Faso
बुरूण्डी	Burundi
कोमोरोस	Comores
गणतन्त्र कङ्गो	República do Congo
प्रजातान्त्रिक गणतन्त्र कंगो	República Democrática do Congo
जिबुटी	Djibouti
इक्वेटोरियल गिनी	Guiné Equatorial
एरिट्रिया	Eritreia
नयाँ दिल्ली	Nova Deli
गाबोन	Gabão
महात्मा गान्धी	Mahatma Gandhi
गाम्बिया	Gâmbia
गिनी	Guiné
गिनी-बिसाउ	Guiné-Bissau
आइभोरी कोस्ट	Costa do Marfim
क्यामेरून	Camarões
केप भर्ड	Cabo Verde
लिबिया	Líbia
माडागास्कर	Madagáscar
स्टटगर्ट	Estugarda
मौरिसस	Maurícia
नाइजेरिया	Nigéria
चार्ल्स डार्विन	Charles Darwin
युगाण्डा	Uganda
रुवाण्डा	Ruanda
सोमालिया	Somália
नायोबियम	Nióbio
जवाहरलाल नेहरु	Jawaharlal Nehru
जुलियस सिजर	Júlio César
इन्द्रेणी	Arco-íris
ह्याम्बर्ग	Hamburgo
नरेन्द्र मोदी	Narendra Modi
प्रतिरक्षा प्रणाली	Sistema imunitário
गुजरात	Gujarate
क्रम-विकास	Evolução
संयुक्त राष्ट्र संघ	Organização das Nações Unidas
अहमदाबाद	Ahmedabad
भूगोल	Geografia
मुटु	Coração
मस्तिष्क	Cérebro
रङ्ग	Cor
प्राग	Praga
निलो	Azul
चाँदी	Prata
प्लुटोनियम	Plutónio
नेप्ट्युनियम	Neptúnio
विद्युत आवेश	Carga elétrica
थोरियम	Tório
बिल क्लिन्टन	Bill Clinton
ईन्दिरा गान्धी	Indira Gandhi
मुम्बई	Bombaim
आन्ध्र प्रदेश	Andra Pradexe
अरुणाचल प्रदेश	Arunachal Pradesh
आसाम	Assam
बिहार	Bihar
मिचिगन	Michigan
छत्तीसगढ	Chhattisgarh
गोआ	Goa
हरियाणा	Haryana
हिमाचल प्रदेश	Himachal Pradesh
जम्मू र कश्मीर	Jammu e Caxemira
प्युर्तो रिको	Porto Rico
झारखण्ड	Jharkhand
कर्नाटक	Karnataka
मध्य प्रदेश	Madhya Pradesh
युसेन बोल्ट	Usain Bolt
महाराष्ट्र	Maharashtra
मणिपुर	Manipur
श्लेसविग-होल्सटीन	Schleswig-Holstein
मेघालय	Meghalaya
उत्तरी राइन	Renânia do Norte-Vestfália
हेसे	Hesse
राइनल्यान्ड	Renânia-Palatinado
सारल्यान्ड	Sarre
स्याक्सोनी	Saxônia
जोन लेनन	John Lennon
इलिनाय	Illinois
थाइरिन्जिया	Turíngia
नर्थ डेकोटा	Dakota do Norte
ब्रान्डेनबर्ग	Brandemburgo
ब्रेमेन (राज्य)	Bremen (estado)
साउथ डेकोटा	Dakota do Sul
मोन्टाना	Montana
वायोमिङ	Wyoming
जेरुसेलम	Jerusalém
आयडाहो	Idaho
वासिङ्टन डी.सी.	Washington
रदर्फोर्डियम	Rutherfórdio
नेवाडा	Nevada
दुब्नियम	Dúbnio
सिबोर्गियम	Seabórgio
हिन्द महासागर	Oceano Índico
वान कि मुन	Ban Ki-moon
कोफी अन्नान	Kofi Annan
कोलोराडो	Colorado
डार्मस्टासियम	Darmstácio
डग हमरसल्ड	Dag Hammarskjöld
जाम	Doce (alimento)
ट्रेग्भी लाई	Trygve Lie
रेन्टगेनियम	Roentgênio
उनुन्बियम	Copernício
आल्प्स	Alpes
ब्लेइज पास्कल	Blaise Pascal
शिकागो	Chicago
विटल्स	The Beatles
उनुन्ट्रियम	Unúntrio
उनुन्क्वाडियम	Fleróvio
उनुन्पेन्टियम	Ununpêntio
उनुन्हेक्सियम	Livermório
उनुन्सेप्टियम	Ununséptio
उनुनक्टियम	Ununóctio
शिशिर ऋतु	Inverno
वसन्त	Primavera
गृष्म ऋतु	Verão
शरद ऋतु	Outono
ओसामा बिन लादेन	Osama bin Laden
स्पेनी भाषा	Língua castelhana
योहान सेबास्तियन बाख	Johann Sebastian Bach
फिलाडेल्फिया	Filadélfia
कोलकाता	Calcutá
चेन्नई	Chennai
दिल्ली	Deli
ढाका	Daca
बेंगलोर	Bangalore
पश्चिम बङ्गाल	Bengala Ocidental
माकुरा	Aranha
इस्लामाबाद	Islamabad
त्रिपुरा	Tripura
फल-फूल	Fruto
बाँदर	Macaco
मुद्रा	Dinheiro
भर्जिनिया	Virgínia
वेस्ट भर्जिनिया	Virgínia Ocidental
न्यू योर्क	Nova Iorque (estado)
रोड आइल्यान्ड	Rhode Island
किरा	Insetos
मेरिल्यान्ड	Maryland
डेलावेयर	Delaware
व्लादिमीर लेनिन	Lenin
ओहायो	Ohio
पेन्सिलभेनिया	Pensilvânia
ऊएतेर्सेन्	Uetersen
माइक्रोसफ्ट विन्डोज	Microsoft Windows
न्यु जर्सी	Nova Jérsia
गिब्राल्टार	Gibraltar
इन्डियाना	Indiana
रोजर फेडरर	Roger Federer
जर्जिया (संयुक्त राज्य)	Geórgia (Estados Unidos)
जग्रिब	Zagreb
राजस्थान	Rajastão
टेक्सस	Texas
तमिलनाडु	Tamil Nadu
ब्रुनो मार्स	Bruno Mars
नर्थ क्यारोलाइना	Carolina do Norte
साउथ क्यारोलाइना	Carolina do Sul
टोकियो	Tóquio
बार्सिलोना	Barcelona
भुइँ कटहर	Ananás
मिसिसिपी	Mississippi
फर्डिनान्ड म्यागलन	Fernão de Magalhães
उत्तर प्रदेश	Uttar Pradesh
उत्तराखण्ड	Uttarakhand
स्वीमिङ्ग पुल	Piscina
मिजोरम	Mizoram
सिक्किम	Siquim
टेनेसी	Tennessee
अबू धाबी	Abu Dhabi
न्यू मेक्सिको	Novo México
मिनिसोटा	Minnesota
अन्तर्राष्ट्रिय प्रमाणिक समय	Tempo Universal Coordenado
विस्कान्सिन	Wisconsin
पुणे	Pune
एसी मिलान	Associazione Calcio Milan
आयोवा	Iowa
नेब्रास्का	Nebraska
कन्सास	Kansas
सुर्ती	Tabaco
हिन्दी	Língua hindi
इन्टरनेट एक्सप्लोरर	Internet Explorer
चुरोट	Cigarro
भगवान गणेश	Ganexa
मिसौरी	Missouri
लुजियाना	Luisiana
केन्टकी	Kentucky
आर्कन्सास	Arkansas
निल आर्मस्ट्रङ	Neil Armstrong
उर्दू	Língua urdu
ओक्लाहोमा	Oklahoma
भलिबल	Voleibol
म्याडोना (मनोरञ्जनकर्मी)	Madonna
कोपनहेगन	Copenhaga
स्टकहोम	Estocolmo
हेल्सिन्की	Helsínquia
ब्रातिस्लाभा	Bratislava
बुडापेस्ट	Budapeste
बाइबल	Bíblia
अर्बियम	Érbio
हनोइ	Hanói
साँचो येशु गिर्जाघर	Verdadeira Igreja de Jesus
अङ्ग्रेजी भाषा	Língua inglesa
क्वालालम्पुर	Kuala Lumpur
ताइपेइ	Taipé
एमेरिसियम	Amerício
क्युरियम	Cúrio
बर्क्लियम	Berquélio
क्यालिफोर्नियम	Califórnio
आइन्स्टाइनियम	Einstênio
मेन्देलिभियम	Mendelévio
नोबेलियम	Nobélio
लरेन्सियम	Laurêncio
येरवान प्रान्त	Erevan
कोन्स्कोभोला	Końskowola
शनिका प्राकृतिक उपग्रहहरु	Satélites de Saturno
सन् २०००	2000
सन् २००३	2003
सन् २००२	2002
सन् २००१	2001
सन २०१२	2012
सन् २०११	2011
सन् २०१०	2010
सन् २००९	2009
सन २०१३	2013
सन् २०१४	2014
सन् २०१५	2015
सन् २००८	2008
जाभास्क्रिप्ट	JavaScript
सन् २००४	2004
सन् २००५	2005
सन् २००६	2006
सन् २००७	2007
सन् १९००	1900
सन् १९०१	1901
सन् १९०२	1902
फ्लोरेन्स	Florença
सन् १९०३	1903
सन् १९०४	1904
सन् १९०५	1905
सन् १९०७	1907
सन् १९०६	1906
सन् १९०८	1908
सन् १९०९	1909
सन् १९९२	1992
सन् १९९१	1991
सन् १९९०	1990
सन् १९९३	1993
सन् १९९४	1994
सन् १९९५	1995
सन् १९९६	1996
सन् १९१०	1910
सन् १९११	1911
सन् १९१२	1912
सन् १९१३	1913
सन् १९१४	1914
सन् १९१५	1915
सन् १९१६	1916
सन् १९९७	1997
सन् १९९८	1998
सन् १९९९	1999
सन् १९१७	1917
सन् १९१८	1918
खाद्यपदार्थ	Alimento
सर्प	Serpente
१ जनवरी	1 de janeiro
२ जनवरी	2 de janeiro
सुभाषचन्द्र बोस	Subhas Chandra Bose
सन् १९२०	1920
३ जनवरी	3 de janeiro
सन् १९१९	1919
सन् १९२१	1921
सन् १९२२	1922
४ जनवरी	4 de janeiro
सन् १९२३	1923
सन् १९२४	1924
५ जनवरी	5 de janeiro
६ जनवरी	6 de janeiro
इलेक्ट्रोन	Elétron
७ जनवरी	7 de janeiro
८ जनवरी	8 de janeiro
९ जनवरी	9 de janeiro
१० जनवरी	10 de janeiro
११ जनवरी	11 de janeiro
१२ जनवरी	12 de janeiro
१३ जनवरी	13 de janeiro
१४ जनवरी	14 de janeiro
१५ जनवरी	15 de janeiro
१६ जनवरी	16 de janeiro
टम ह्याङ्क्स	Tom Hanks
१७ जनवरी	17 de janeiro
१८ जनवरी	18 de janeiro
१९ जनवरी	19 de janeiro
२० जनवरी	20 de janeiro
२१ जनवरी	21 de janeiro
२२ जनवरी	22 de janeiro
२३ जनवरी	23 de janeiro
२४ जनवरी	24 de janeiro
२५ जनवरी	25 de janeiro
मिन्स्क	Minsk
२६ जनवरी	26 de janeiro
माइक्रोसफ्ट	Microsoft
२७ जनवरी	27 de janeiro
२८ जनवरी	28 de janeiro
२९ जनवरी	29 de janeiro
३० जनवरी	30 de janeiro
३१ जनवरी	31 de janeiro
प्रोटोन	Próton
२ डिसेम्बर	2 de dezembro
१ डिसेम्बर	1 de dezembro
३ डिसेम्बर	3 de dezembro
७ डिसेम्बर	7 de dezembro
५ डिसेम्बर	5 de dezembro
८ डिसेम्बर	8 de dezembro
१० डिसेम्बर	10 de dezembro
६ डिसेम्बर	6 de dezembro
९ डिसेम्बर	9 de dezembro
४ डिसेम्बर	4 de dezembro
१ फेब्रुअरी	1 de fevereiro
२ फेब्रुअरी	2 de fevereiro
३ फेब्रुअरी	3 de fevereiro
कुरुफ	Kurów
४ फेब्रुअरी	4 de fevereiro
५ फेब्रुअरी	5 de fevereiro
६ फेब्रुअरी	6 de fevereiro
७ फेब्रुअरी	7 de fevereiro
८ फेब्रुअरी	8 de fevereiro
९ फेब्रुअरी	9 de fevereiro
१० फेब्रुअरी	10 de fevereiro
रसायनशास्त्र	Química
१४ फेब्रुअरी	14 de fevereiro
१३ फेब्रुअरी	13 de fevereiro
१५ फेब्रुअरी	15 de fevereiro
११ फेब्रुअरी	11 de fevereiro
१२ फेब्रुअरी	12 de fevereiro
रोबिन भान पर्सी	Robin van Persie
१९ फेब्रुअरी	19 de fevereiro
१७ फेब्रुअरी	17 de fevereiro
१६ फेब्रुअरी	16 de fevereiro
१८ फेब्रुअरी	18 de fevereiro
२० फेब्रुअरी	20 de fevereiro
न्यूट्रोन	Nêutron
२१ फेब्रुअरी	21 de fevereiro
२२ फेब्रुअरी	22 de fevereiro
२३ फेब्रुअरी	23 de fevereiro
२४ फेब्रुअरी	24 de fevereiro
२५ फेब्रुअरी	25 de fevereiro
२६ फेब्रुअरी	26 de fevereiro
२७ फेब्रुअरी	27 de fevereiro
२८ फेब्रुअरी	28 de fevereiro
११ डिसेम्बर	11 de dezembro
२९ फेब्रुअरी	29 de fevereiro
१२ डिसेम्बर	12 de dezembro
१३ डिसेम्बर	13 de dezembro
१४ डिसेम्बर	14 de dezembro
१५ डिसेम्बर	15 de dezembro
२ मार्च	2 de março
३ मार्च	3 de março
५ मार्च	5 de março
१ मार्च	1 de março
७ मार्च	7 de março
८ मार्च	8 de março
४ मार्च	4 de março
१० मार्च	10 de março
११ मार्च	11 de março
६ मार्च	6 de março
१३ मार्च	13 de março
९ मार्च	9 de março
१२ मार्च	12 de março
१५ मार्च	15 de março
१४ मार्च	14 de março
१६ डिसेम्बर	16 de dezembro
१७ डिसेम्बर	17 de dezembro
१६ मार्च	16 de março
१७ मार्च	17 de março
१८ मार्च	18 de março
१९ मार्च	19 de março
सन् १९८९	1989
सन् १९८८	1988
२० मार्च	20 de março
सन् १९८७	1987
सन् १९८६	1986
सन् १९८५	1985
सन् १९८४	1984
२१ मार्च	21 de março
सन् १९८३	1983
२२ मार्च	22 de março
सन् १९८२	1982
सन् १९८१	1981
१८ डिसेम्बर	18 de dezembro
सन् १९८०	1980
२३ मार्च	23 de março
१९ डिसेम्बर	19 de dezembro
२४ मार्च	24 de março
२५ मार्च	25 de março
२० डिसेम्बर	20 de dezembro
२६ मार्च	26 de março
२७ मार्च	27 de março
२८ मार्च	28 de março
२९ मार्च	29 de março
३० मार्च	30 de março
३१ मार्च	31 de março
सन् १९७०	1970
सन् १९७१	1971
सन् १९७२	1972
सन् १९७३	1973
सन् १९७४	1974
सन् १९७५	1975
सन् १९७६	1976
सन् १९७७	1977
सन् १९७८	1978
सन् १९७९	1979
सन् १९६९	1969
३० वर्षे युद्ध	Guerra dos Trinta Anos
सर्पिल गैलेक्सी	Galáxia espiral
डन्डीय सर्पिल गैलेक्सी	Galáxia espiral barrada
१५ अप्रिल	15 de abril
१३ अप्रिल	13 de abril
१२ अप्रिल	12 de abril
१४ अप्रिल	14 de abril
११ अप्रिल	11 de abril
१० अप्रिल	10 de abril
८ अप्रिल	8 de abril
९ अप्रिल	9 de abril
७ अप्रिल	7 de abril
६ अप्रिल	6 de abril
५ अप्रिल	5 de abril
४ अप्रिल	4 de abril
३ अप्रिल	3 de abril
१ अप्रिल	1 de abril
२ अप्रिल	2 de abril
१६ अप्रिल	16 de abril
१७ अप्रिल	17 de abril
१८ अप्रिल	18 de abril
१९ अप्रिल	19 de abril
२० अप्रिल	20 de abril
२१ अप्रिल	21 de abril
२२ अप्रिल	22 de abril
२३ अप्रिल	23 de abril
२४ अप्रिल	24 de abril
२५ अप्रिल	25 de abril
२६ अप्रिल	26 de abril
२७ अप्रिल	27 de abril
२८ अप्रिल	28 de abril
२९ अप्रिल	29 de abril
३० अप्रिल	30 de abril
१ मे	1 de maio
२ मे	2 de maio
३ मे	3 de maio
४ मे	4 de maio
५ मे	5 de maio
६ मे	6 de maio
७ मे	7 de maio
८ मे	8 de maio
९ मे	9 de maio
१० मे	10 de maio
११ मे	11 de maio
१२ मे	12 de maio
१३ मे	13 de maio
१४ मे	14 de maio
१५ मे	15 de maio
१६ मे	16 de maio
१७ मे	17 de maio
१८ मे	18 de maio
१९ मे	19 de maio
२० मे	20 de maio
२१ मे	21 de maio
२२ मे	22 de maio
२३ मे	23 de maio
२४ मे	24 de maio
२५ मे	25 de maio
२६ मे	26 de maio
२७ मे	27 de maio
२८ मे	28 de maio
२९ मे	29 de maio
३० मे	30 de maio
३१ मे	31 de maio
पल मेकार्टनी	Paul McCartney
२१ डिसेम्बर	21 de dezembro
१४ जुन	14 de junho
१५ जुन	15 de junho
१३ जुन	13 de junho
१० जुन	10 de junho
७ जुन	7 de junho
११ जुन	11 de junho
९ जुन	9 de junho
१२ जुन	12 de junho
६ जुन	6 de junho
८ जुन	8 de junho
५ जुन	5 de junho
३ जुन	3 de junho
२ जुन	2 de junho
१ जुन	1 de junho
४ जुन	4 de junho
२२ डिसेम्बर	22 de dezembro
जर्ज ह्यारिसन	George Harrison
सन् १९६८	1968
सन् १९६७	1967
सन् १९६६	1966
सन् १९६५	1965
सन् १९६४	1964
१६ जुन	16 de junho
३० जुन	30 de junho
२९ जुन	29 de junho
२८ जुन	28 de junho
२६ जुन	26 de junho
२५ जुन	25 de junho
२२ जुन	22 de junho
२७ जुन	27 de junho
२४ जुन	24 de junho
२० जून	20 de junho
२३ जुन	23 de junho
१९ जून	19 de junho
१८ जुन	18 de junho
२१ जून	21 de junho
१७ जुन	17 de junho
२३ डिसेम्बर	23 de dezembro
अर्नोल्ड स्वार्जनेगर	Arnold Schwarzenegger
१५ जुलाई	15 de julho
१३ जुलाई	13 de julho
१२ जुलाई	12 de julho
१० जुलाई	10 de julho
९ जुलाई	9 de julho
१४ जुलाई	14 de julho
८ जुलाई	8 de julho
७ जुलाई	7 de julho
६ जुलाई	6 de julho
५ जुलाई	5 de julho
