ܐܦܪܝܩܐ	África
ܠܝܟܛܢܫܛܝܢ	Liechtenstein
ܐܕܘܠܦ ܗܝܛܠܪ	Adolf Hitler
ܠܝܢܘܟܣ	Linux
ܠܫܢܐ ܠܐܛܝܢܝܐ	Língua latina
ܒܚܪܝܢ	Bahrein
ܐܪܡܢܝܐ	Arménia
ܣܪܒܝܐ	Sérvia
ܣܗܪܐ	Lua
ܐܝܣܛܢܒܘܠ (ܡܕܝܢܬܐ)	Istambul
ܐܘܣܛܪܠܝܐ (ܐܬܪܐ)	Austrália
ܦܝܣܝܟ	Física
ܩܘܪܐܢ	Alcorão
ܐܣܠܐܡ	Islão
ܟܡܬܪܐ	Pera
ܠܟ ܒܐܘܢܣܐ	Lech Wałęsa
ܫܠܡܐ (ܫܝܢܐ)	Paz
ܚܘܝܕܐ ܐܘܪܘܦܝܐ	União Europeia
ܐܢܬܬܐ	Mulher
ܛܝܙܐ	Ânus
ܫܚܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Axila
ܗܒܒܐ	Flor
ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Anatomia
ܡܕܝܢܬܐ	Cidade
ܢܐܦܠܝܘܢ ܒܘܢܐܦܪܛ	Napoleão Bonaparte
ܟܘܟܒܐ	Estrela
ܫܡܫܐ	Sol
ܩܪܝܬܐ	Aldeia
ܝܡܐ ܕܡܕܢܚܐ	Mar Báltico
ܫܢܐ	Dente
ܘܝܩܝܡܝܕܝܐ ܩܘܡܡܘܢܣ	Wikimedia Commons
ܟܬܒܐ (ܣܦܪܐ)	Livro
ܝܘܡܐ	Dia
ܠܠܝܐ	Noite
ܫܢܬܐ (ܙܒܢܐ)	Ano
ܕܪܐ	Século
ܐܘܣܠܘ	Oslo
ܠܫܒܘܢܐ	Lisboa
ܦܠܝܛܐ	Planeta
ܙܡܪܘܬܐ	Música
ܡܘܣܩܒܐ	Moscovo
ܠܫܢܐ ܐܝܛܠܝܐ	Língua italiana
ܬܫܐܕ	Chade
ܬܝܡܢܐ	Norte
ܢܝܘ ܙܝܠܢܕ	Nova Zelândia
ܓܪܒܝܐ	Sul
ܗܢܕܘ	Índia
ܦܪܙܠܐ	Ferro
ܡܥܪܒܐ	Oeste
ܡܕܢܚܐ	Leste
ܒܢܙܘܝܠܐ	Venezuela
ܛܠܦܣܢܐ	Xadrez
ܡܝܢ	Maine
ܣܘܣܝܐ	Equus ferus caballus
ܐܡܣܛܪܕܐܡ	Amesterdão
ܙܝܢܐ	Arma
ܚܝܘܬܐ	Animalia
ܩܘܠܘܡܒܝܐ	Colômbia
ܢܝܘ ܗܐܡܦܫܪ	Nova Hampshire
ܠܝܘܢܪܕܘ ܕܗ ܒܢܬܫܝ	Leonardo da Vinci
ܡܐܣܐܬܫܘܣܬܣ	Massachusetts
ܐܘܛܪܝܟܛ (ܗܘܦܪܟܝܐ)	Utrecht (província)
ܟܘܢܝܬܝܟܬ	Connecticut
ܐܝܪܐܢ	Irão
ܥܝܪܐܩ	Iraque
ܐܠܐܣܟܐ	Alasca
ܐܝܣܪܐܝܠ	Israel
ܐܘܛܪܝܟܛ (ܡܕܝܢܬܐ)	Utrecht
ܝܡܢ	Iémen
ܠܫܢܐ ܦܘܠܢܕܝܐ	Língua polaca
ܝܘܪܕܢܢ	Jordânia
ܩܝܪܓܝܙܣܛܐܢ	Quirguistão
ܐܪܝܙܘܢܐ	Arizona
ܟܘܘܝܬ (ܐܬܪܐ)	Kuwait
ܠܒܢܢ	Líbano
ܐܘܪܝܓܘܢ	Oregon
ܐܡܪܝܩܐ	América
ܝܘܬܐ	Utah
ܥܘܡܐܢ	Omã
ܦܐܩܣܛܐܢ	Paquistão
ܩܛܪ	Catar
ܣܥܘܕܝܐ	Arábia Saudita
ܝܘܣܦ ܣܛܐܠܝܢ	Josef Stalin
ܣܘܪܝܐ	Síria
ܛܐܓܝܩܣܛܐܢ	Tajiquistão
ܦܪܣ ܩܠܐ	Rádio (telecomunicações)
ܛܘܪܩܡܢܣܛܐܢ	Turquemenistão
ܐܡܝܪܘܬܐ ܥܪܒܝܬܐ ܡܚܝܕܬܐ	Emirados Árabes Unidos
ܐܦܓܐܢܣܛܐܢ	Afeganistão
ܕܗܒܐ	Ouro
ܡܠܝ	Mali
ܦܝܠܝܦܝܢܝܐ	Filipinas
ܩܘܛܢܝܘܬܐ ܕܐܦܪܝܩܐ ܡܨܥܝܬܐ	República Centro-Africana
ܐܝܣܚܩ ܢܝܘܛܢ	Isaac Newton
ܫܥܘܬܐ (ܓܘܢܐ)	Amarelo
ܬܘܢܣ (ܐܬܪܐ)	Tunísia
ܬܝܡܢܐ ܕܣܘܕܐܢ	Sudão do Sul
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ	República do Congo
ܩܘܛܢܝܘܬܐ ܕܩܘܢܓܘ ܕܝܡܘܩܪܛܝܬܐ	República Democrática do Congo
ܦܐܦܐ ܝܘܚܢܢ ܦܘܠܘܣ ܬܪܝܢܐ	Papa João Paulo II
ܛܒܝܠܝܣܝ	Tbilisi
ܩܐܡܪܘܢ	Camarões
ܠܘܒܐ	Líbia
ܡܘܪܝܛܢܝܐ	Mauritânia
ܡܓܪܒ	Marrocos
ܢܝܓܪ	Níger
ܣܘܕܐܢ	Sudão
ܩܫܬܐ ܕܡܪܢ	Arco-íris
ܗܐܡܒܘܪܓ	Hamburgo
ܝܡܬܐ ܕܐܘܢܛܪܝܘ	Lago Ontário
ܝܡܬܐ ܕܣܘܦܝܪܝܘܪ	Lago Superior
ܓܐܘܓܪܦܝܐ	Geografia
ܠܒܐ	Coração
ܡܘܚܐ	Cérebro
ܓܠܕܐ	Pele
ܓܘܢܐ	Cor
ܦܪܐܓ	Praga
ܙܪܩܐ	Azul
ܟܣܦܐ (ܣܐܡܐ)	Prata
ܡܫܝܓܢ	Michigan
ܝܡܬܐ ܕܡܝܫܝܓܢ	Lago Michigan
ܐܠܝܢܘܝ	Illinois
ܢܘܪܬ ܕܐܟܘܬܐ	Dakota do Norte
ܣܐܘܬ ܕܐܟܘܬܐ	Dakota do Sul
ܡܘܢܬܐܢܐ	Montana
ܘܐܝܘܡܝܢܓ	Wyoming
ܐܘܪܫܠܡ	Jerusalém
ܐܝܕܐܗܘ	Idaho
ܢܝܒܐܕܐ	Nevada
ܐܘܩܝܢܘܣ ܗܢܕܘܝܐ	Oceano Índico
ܟܘܠܘܪܐܕܘ	Colorado
ܫܝܩܓܘ	Chicago
ܣܬܘܐ	Inverno
ܬܕܐܐ	Primavera
ܩܝܛܐ	Verão
ܬܫܪܝܬܐ	Outono
ܨܕܐܡ ܚܘܣܝܢ	Saddam Hussein
ܠܫܢܐ ܐܣܦܢܝܐ	Língua castelhana
ܓܘܓܝ	Aranha
ܐܒܐ (ܦܐܪܐ)	Fruto
ܩܘܦܐ	Macaco
ܒܪܓܝܢܝܐ	Virgínia
ܝܡܬܐ ܕܝܘܪܘܢ	Lago Huron
ܢܝܘ ܝܘܪܩ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Nova Iorque (estado)
ܪܘܕ ܐܝܠܐܢܕ	Rhode Island
ܪܚܫܐ	Insetos
ܡܐܪܝܠܐܢܕ	Maryland
ܕܝܠܐܘܝܪ	Delaware
ܐܘܗܐܝܘ	Ohio
ܦܢܣܝܠܒܐܢܝܐ	Pensilvânia
ܐܝܛܙܢ	Uetersen
ܐܓܘܣܛܘܣ ܩܣܪ	Augusto
ܢܝܘ ܓܝܪܣܝ	Nova Jérsia
ܐܢܕܝܐܢܐ	Indiana
ܪܕܝܬܐ	Automóvel
ܓܘܪܓܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Geórgia (Estados Unidos)
ܣܩܠܝܐ	Sicília
ܣܢ (ܢܗܪܐ)	Sena
ܛܘܩܝܘ	Tóquio
ܦܪܕܝܢܢܕ ܡܓܝܠܢ	Fernão de Magalhães
ܢܝܘ ܡܝܟܣܝܟܘ	Novo México
ܐܬܢܘܣ	Atenas
ܡܢܝܣܘܬܐ	Minnesota
ܒܓܕܐܕ (ܡܕܝܢܬܐ)	Bagdá
ܘܝܣܟܘܢܣܢ	Wisconsin
ܐܝܐܘܐ	Iowa
ܢܝܒܪܐܣܟܐ	Nebraska
ܟܐܢܣܐܣ	Kansas
ܡܝܙܘܪܝ	Missouri
ܐܪܟܢܣܐܣ	Arkansas
ܠܫܢܐ ܕܐܘܪܕܘ	Língua urdu
ܐܘܟܠܐܗܘܡܐ	Oklahoma
ܝܡܐ ܕܓܪܒܝܐ	Mar do Norte
ܒܝܝܢܐ	Viena
ܩܘܦܢܗܐܓܢ	Copenhaga
ܣܛܘܩܗܘܠܡ	Estocolmo
ܗܠܣܢܩܝ	Helsínquia
ܕܒܠܢ	Dublin
ܒܪܛܝܣܠܐܒܐ	Bratislava
ܟܬܒܐ ܩܕܝܫܐ	Bíblia
ܥܕܬܐ ܫܪܝܪܬܐ ܕܝܫܘܥ	Verdadeira Igreja de Jesus
ܠܫܢܐ ܐܢܓܠܝܐ	Língua inglesa
ܩܘܢܣܦܣܝܘܢ (ܬܫܝܠܝ)	Concepción (Chile)
ܐܘܢܛܐܪܝܘ	Ontário
ܡܐܢܝܛܘܒܐ	Manitoba
ܐܠܒܪܛܐ	Alberta
ܢܘܒܐ ܣܩܘܛܝܐ	Nova Escócia
ܩܘܢܣܩܘܒܘܠܐ	Końskowola
ܢܝܘ ܒܪܘܢܙܘܝܩ	Nova Brunswick
ܩܘܠܘܡܒܝܐ ܒܪܝܛܝܬܐ	Colúmbia Britânica
ܓܙܪܬܐ ܕܐܡܝܪܐ ܐܕܘܐܪܕ	Ilha do Príncipe Eduardo
ܣܐܣܩܐܬܫܘܐܢ	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
ܢܝܘܦܐܘܢܕܠܢܕ ܘܠܐܒܪܐܕܘܪ	Terra Nova e Labrador
2008	2008
ܐܘܚܕܢܐ ܓܪܒܝܝܐ-ܡܥܪܒܝܐ	Territórios do Noroeste
ܝܘܩܘܢ	Yukon
2005	2005
2006	2006
ܢܘܢܐܒܘܛ	Nunavut
2007	2007
ܡܐܟܘܠܬܐ	Alimento
ܚܘܝܐ	Serpente
ܩܘܪܘܦ	Kurów
ܟܝܡܝܐ	Química
1968	1968
ܩܛܠܥܡܐ ܝܗܘܕܝܐ	Holocausto
ܡܕܪܝܕ (ܡܕܝܢܬܐ)	Madrid
ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	Províncias e territórios do Canadá
ܣܢܛܝܐܓܘ ܕܐ ܬܫܝܠܝ	Santiago (Chile)
ܚܐܪܘܬܐ	Liberdade
ܣܝܕܢܝ	Sydney
ܝܪܘܩܐ	Verde
ܡܠܒܘܪܢ	Melbourne
ܣܘܡܩܐ	Vermelho
ܢܘܪܐ (ܕܠܩܐ)	Fogo
ܢܝܠܘܣ	Rio Nilo
ܓܙܐܐܪ (ܡܕܝܢܬܐ)	Argel
ܬܘܢܣ (ܡܕܝܢܬܐ)	Tunes
ܛܗܪܐܢ	Teerã
ܐܢܩܪܐ	Ancara
ܢܝܐܡܝ	Niamey
ܒܡܩܘ	Bamako
ܕܪܡܣܘܩ	Damasco
ܥܡܐܢ	Amã
ܒܝܪܘܬ	Beirute
ܒܝܬ ܨܘܒܐ	Universidade
ܒܝܬܐ (ܒܢܝܢܐ)	Casa
ܐܘܣܛܪܠܝܐ (ܝܒܫܬܐ)	Austrália (continente)
ܢܗܪܐ	Rio
ܪܝܫܐ ܕܣܒܪܐ ܛܒܐ	Cabo da Boa Esperança
ܫܘܚܡܠܐ	Investimento
ܩܘܪܝܛܝܒܐ	Curitiba
ܥܒܐ	Floresta
ܩܘܢܦܘܫܝܘܣ	Confúcio
ܩܢܐ	Ninho
ܐܘܪܘ	Euro
ܝܡܐ ܚܘܪܐ ܡܨܥܝܐ	Mar Mediterrâneo
