ܐܦܪܝܩܐ	África
ܡܙܝܥܢܐ ܕܩܝܕܐ ܓܘܝܐ	Motor de combustão interna
ܣܝܦܐ (ܙܝܢܐ)	Espada
ܫܡܥܘܢ ܩܢܢܝܐ	Simão, o Zelote
ܩܪܩܦܬܐ	Crânio
ܓܘܡܠܐ!	Joomla
ܐܦܫܬܐ	Passa
ܠܫܢܐ ܥܪܒܝܐ	Língua árabe
ܠܫܢܐ ܐܦܪܝܩܐܢܝܐ	Língua africâner
Β	Β
Γ	Γ
Δ	Δ
Ε	Ε
Ζ	Ζ
Η	Η
Θ	Θ
Ι	Ι
Κ	Κ
Ν	Ν
Ξ	Ξ
Ο	Ο
Ρ	Ρ
Σ	Σ
Τ	Τ
Υ	Υ
Χ	Χ
Ψ	Ψ
ܐܬܐ	Bandeira
ܟܪܦܬܐ	Mobiliário
ܟܘܪܣܝܐ	Cadeira
ܣܦܬܐ	Lábio
ܦܣܡܐ	Bigode
ܥܩܠܐ	Pé
1000000000 (ܡܢܝܢܐ)	1000000000
ܓܪܡܐ ܕܨܕܥܐ	Osso temporal
ܩܠܝܕܐ (ܓܪܡܐ)	Clavícula
ܟܬܦܐ	Ombro
ܦܟܐ ܬܚܬܝܐ	Mandíbula
ܩܠܒܐ:Link FA	Predefinição:Link FA
ܥܠܡܐ (ܐܪܥܐ)	Mundo
ܘܝܩܝܦܕܝܐ:ܬܪܥܐ ܕܟܢܫܐ	Wikipédia:Esplanada
ܒܝܪܡܘܢܬ	Vermont
ܩܘܣܛܢܛܝܢܘܦܘܠܝܣ	Constantinopla
ܒܝܬ ܟܪܝܗܐ	Hospital
ܥܕܬܐ	Igreja (edifício)
ܕܝܬܝܩܝ ܚܕܬܐ	Novo Testamento
9 (ܡܢܝܢܐ)	Nove
1002	1002
ܦܘܕܘܠܣܟ	Podolsk
ܦܐܦܐ	Papa
5	5
4	4
ܢܝܒܐ	Canino (dente)
3	3
2	2
ܒܝܬ ܥܬܩܐ ܕܠܘܒܪ	Museu do Louvre
ܓܒܐ ܕܚܐܪܘܬܐ ܕܦܘܐܪܛܘ ܪܝܩܘ	Partido Independentista Portorriquenho
6	6
ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Antigo Testamento
ܥܐܕܐ ܕܒܝܬ ܝܠܕܐ	Natal
ܠܫܢܐ ܪܘܡܐܢܣܝܐ	Línguas românicas
ܡܬܠܬܐ	Triângulo
ܫܢܬܐ ܟܒܝܫܬܐ	Ano bissexto
ܡܘܥܡܪ ܐܠܩܕܐܦܝ	Muammar al-Gaddafi
ܥܐܕܐ ܕܩܝܡܬܐ	Páscoa
ܢܝܘ ܝܘܪܩ	Nova Iorque (desambiguação)
ܢܦܛܐ	Petróleo
ܣܐܘܢܐ	Sapato
ܒܝܬ ܥܘܪܦܢܐ	Banco
ܟܪܡܐ	Vinha
ܐܝܪܠܢܕ (ܓܙܪܬܐ)	Irlanda (ilha)
1	1
ܠܘ ܫܘܢ	Lu Xun (escritor)
10	10
20	20
9	9
7	7
8	8
7 (ܡܢܝܢܐ)	Sete
8 (ܡܢܝܢܐ)	Oito
12	12
ܡܠܐܐ ܘܬܘܒܐ	Maré
ܫܒܘܥܐ	Semana
ܓܠܝܕܐ	Gelo
ܨܠܘܬܐ ܡܪܢܝܬܐ	Pai Nosso
ܝܡܬܐ	Lago
ܝܡܐ ܣܘܡܩܐ	Mar Vermelho
13	13
ܩܛܘܬܐ (ܝܥܝܬܐ)	Pepino
ܓܙܪܬܐ	Ilha
ܚܘܪܐ	Branco
ܐܘܟܡܐ	Preto
6 (ܡܢܝܢܐ)	Seis
ܠܫܢܐ ܪܘܫܡܝܐ	Língua oficial
11	11
15	15
14	14
17	17
ܣܦܪ ܡܠܐ	Dicionário
18	18
19	19
16	16
21	21
ܦܠܣܛܝܢ	Palestina
10 (ܡܢܝܢܐ)	Dez
ܡܣܘܪܩܐ (ܡܐܢܐ)	Pente
ܠܝܠܐ ܕܘܢܤ	Lila Downs
ܝܡܐ ܕܡܠܚܐ	Mar Morto
ܫܘܚܠܦܐ ܕܫܢܬܐ	Estação do ano
ܠܝܒܪܦܘܠ	Liverpool
ܩܘܦܬܐ (ܛܝܪܐ)	Strigiformes
ܫܥܬܐ	Hora
ܢܐܘܝ ܕܘܪ ܟܪܘܠܣܟܝ	Nowy Dwór Królewski
ܐܪܙܦܬܐ	Martelo
ܝܘܢܫܘܦܝܢ	Jönköping
ܥܘܠܐ ܚܝܐ	Feto
ܐܠܦܒܝܬ ܣܘܪܝܝܐ	Alfabeto siríaco
ܐܠܦܒܝܬ ܐܪܡܝܐ	Alfabeto aramaico
ܐܣܝܐ ܡܥܪܒܝܬܐ	Sudoeste Asiático
ܙܡܪܐ	Canto (música)
ܫܓܠܐ	Amarelinha
ܩܠܦܬܐ ܕܒܣܡܐ	Canela
ܡܙܬܐ	Pelo
ܠܫܢܐ ܐܪܡܝܐ	Aramaico
ܨܦܪܐ (ܛܝܪܐ)	Passeridae
ܐܦܣܩܘܦܐ	Bispo
ܨܝܢ (ܐܪܥܐ)	China (civilização)
ܓܒܐ ܕܝܡܘܩܪܛܝܐ (ܐܘܚܕܢܐ ܡܚܝܕܐ)	Partido Democrata (Estados Unidos)
ܒܝܐܛܪܝܟܣ ܕܒܝܬ ܗܘܠܢܕܝܐ	Beatriz dos Países Baixos
ܡܠܟܘܬܐ ܕܗܘܠܢܕܐ	Reino dos Países Baixos
ܐܒܪܝܠ ܠܐܒܝܢ	Avril Lavigne
ܪܝܫ ܩܘܛܢܝܘܬܐ	Presidente
ܐܪܒܝܐ	Arábia
ܡܪܩܘܣ ܐܘܢܓܠܣܛܐ	São Marcos
ܥܘܠܐ	Embrião
ܫܘܫܡܢܝܬܐ (ܝܥܝܬܐ)	Cardamomo-verdadeiro
ܠܫܢܐ ܕܓܐܢ	Chinês gan
ܒܝܬ ܥܬܩܐ	Museu
ܐܠܦܒܝܬ ܥܒܪܝܐ	Alfabeto hebraico
ܠܫܢܐ ܣܘܪܝܝܐ	Língua siríaca
ܒܪܩܐ	Raio (meteorologia)
ܐܝܕܐ	Mão
ܫܡܥܘܢ ܟܐܦܐ	São Pedro
ܬܠ ܐܒܝܒ	Tel Aviv
ܒܐܠܦܐܪܐܝܣܘ	Valparaíso (Chile)
ܛܘܪܝܐ	Língua turoyo
ܠܫܢܐ ܫܝܡܝܐ	Línguas semíticas
ܚܘܣܢܝ ܡܘܒܐܪܟ	Hosni Mubarak
ܘܐܟܐܩܐ	Oaxaca
ܚܐܘܬܐ	Manteiga
ܐܘܢܓܠܝܘܢ	Evangelho
ܠܫܢܐ ܕܘܘ	Língua wu
ܪܘܛܪܕܐܡ	Roterdão
ܩܪܛܐ	Creta
ܐܘܪܚܐ	Estrada
ܩܘܪܨܐ ܚܠܝܨܐ	Compact Disc
ܨܒܥܐ	Dedo
ܦܪܬ	Rio Eufrates
ܩܝܘܛܘ	Quioto
ܥܣܪܐ ܦܘܩܕܢܐ	Dez Mandamentos
ܒܪܩܩܐ ܦܪܣܝܐ	Golfo Pérsico
ܚܠܐ (ܕܚܝܚܐ)	Areia
ܘܪܕܐ	Rosa
ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Península
ܐܘܪܝܬܐ	Torá
ܟܘܘܝܬ (ܡܕܝܢܬܐ)	Kuwait (cidade)
ܡܚܙܝܬܐ	Espelho
ܥܡܐ ܥܪܒܝܐ	Árabes
ܟܘܬܐ	Janela
ܠܫܢܐ ܝܘܢܝܐ ܥܬܝܩܐ	Língua grega antiga
ܠܫܢܐ ܐܟܕܝܐ	Língua acádia
ܕܩܠܬ	Rio Tigre
ܐܬܪܘܬܐ ܕܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Estados dos Estados Unidos
ܡܥܡܘܕܝܬܐ	Batismo
ܩܘܢܓܘ	Congo
ܐܝܢܛܪܠܝܢܓܘܐ	Língua interlíngua
ܐܘܪܟܐ	Comprimento
ܚܠܡܐ	Sonho
ܠܫܢܐ ܩܪܕܘܝܐ	Língua curda
ܩܡܚܐ	Farinha
ܕܢ ܗܐܟ	Haia
ܠܫܢܐ ܦܘܢܝܩܝܐ	Língua fenícia
ܣܝܢܝ (ܓܙܪܬܐ ܝܒܫܢܝܬܐ)	Sinai
ܟܪܘܙܘܬܐ ܕܝܘܚܢܢ	Evangelho segundo João
ܬܪܥܐ (ܒܒܐ)	Porta
ܪܝܗܐܢܐ	Rihanna
ܛܦܪܐ	Unha
ܐܦܐ	Face
ܨܨܐ (ܨܢܥܬܐ)	Prego
ܙܝܬܐ	Oliveira
ܬܠܝܬܝܘܬܐ	Trindade (cristianismo)
ܓܠܠܐ	Onda
ܟܬܒܬܐ	Escrita
ܪܘܚܐ ܕܩܘܕܫܐ	Espírito Santo
100 (ܡܢܝܢܐ)	Cem
ܒܘܪܟܐ	Joelho
ܫܘܩܐ (ܬܐܓܪܘܬܐ)	Mercado
ܠܫܢܐ ܥܪܒܝܐ ܝܗܘܕܝܐ	Línguas judaico-árabes
ܒܠܛܝ	Bălţi
1000000 (ܡܢܝܢܐ)	Milhão
ܛܐܒܐ	Notícia
ܐܫܬܐ (ܐܣܝܘܬܐ)	Febre
ܩܫܬܐ ܓܪܒܝܝܬܐ ܕܐܪܥܐ	Hemisfério norte
ܡܡܘܢܐ ܕܡܝܟܪܐ	Microeconomia
ܠܝܕܣ	Leeds
ܥܘܩܒܪܐ	Mus
ܦܘܪܬܩܠܐ	Laranja (cor)
ܒܪܩܩܐ	Baía
ܒܝܬ ܩܒܘܪܐ	Cemitério
ܐܣܝܐ (ܫܕܬܐ)	Médico
ܡܩܕܘܢܝܐ	Macedónia
ܦܢܛܝܩܘܣܛܝ	Pentecostes
ܫܓܕܬܐ	Amendoeira
ܟܪܘܙܘܬܐ ܕܠܘܩܐ	Evangelho segundo Lucas
ܩܘܢܣܦܣܝܘܢ (ܗܘܦܪܟܝܐ)	Concepción (província do Chile)
ܢܗܪܐ ܕܝܘܪܕܢܢ	Rio Jordão
ܣܦܪ ܝܡܐ	Praia
ܐܢܛܐܠܝܐ (ܗܘܦܪܟܝܐ)	Antália (província)
ܦܪܟܣܝܣ ܕܫܠܝܚܐ	Atos dos Apóstolos
ܥܪܘܒܬܐ ܕܚܫܐ	Sexta-Feira Santa
ܚܒܘܫܝܐ	Prisão
ܐܕܢܐ (ܗܘܦܪܟܝܐ)	Adana (província)
ܝܘܚܢܢ ܡܥܡܕܢܐ	João Batista
ܨܠܝܒܐ	Cruz
ܚܙܒܐܠܠܗ	Hizbollah
ܒܝܬ ܓܒܝܢܐ	Testa
ܡܙܡܘܪܐ	Livro de Salmos
ܐܬܘܪ	Assíria
ܒܢܝܢܐ	Edifício
ܚܠܒ (ܡܕܝܢܬܐ)	Alepo
ܩܫܬܐ ܬܝܡܢܝܬܐ ܕܐܪܥܐ	Hemisfério sul
ܚܠܐ (ܚܡܪܐ)	Vinagre
ܒܝܬ ܕܝܢܐ	Tribunal
ܚܝܦܐ	Haifa
ܫܛܪܐ ܬܐܒܝܠܝܐ ܕܓܝܢܝܣ	Guinness World Records
ܟܘܕܢܝܐ	Mula
ܒܪܩܩܐ ܕܥܕܢ	Golfo de Áden
ܓܠܝܢܐ ܕܝܘܚܢܢ	Apocalipse
ܐܫܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Nádegas
ܨܠܘܬܐ ܡܪܝܡܝܬܐ	Ave Maria
ܝܩܕܐ	Combustível
ܝܨܝܠܐ	Cotovelo
ܟܗܢܐ	Sacerdote
ܕܩܢܐ	Barba
ܢܒܝܐ	Profeta
ܐܘܪܟܝܣܛܪܐ	Orquestra
1000 (ܡܢܝܢܐ)	Mil
ܣܘܦܝܐ ܪܘܛܐܪܘ	Sofia Rotaru
ܬܫܢܝܬܐ	Seguro
ܛܘܟܣܐ	Organização
ܣܦܪܓܠܐ	Marmeleiro
ܐܢܕܪܐܘܣ ܫܠܝܚܐ	Santo André
ܬܪܥܣܪ ܫܠܝܚܐ	Apóstolo
ܢܩܒܬܐ	Fêmea
ܕܪܥܐ (ܗܕܡܐ)	Braço
ܡܬܝ ܡܟܣܐ	Mateus (evangelista)
ܬܐܘܡܐ ܫܠܝܚܐ	São Tomé
ܦܝܠܝܦܘܣ ܫܠܝܚܐ	Filipe (apóstolo)
ܒܘܪܨܐ (ܗܘܦܪܟܝܐ)	Bursa (província)
ܐܝܘܐܢܢܝܣ ܦܘܡܐ ܕܕܗܒܐ	João Crisóstomo
ܒܢܝܡܝܢ ܢܬܢܝܗܘ	Benjamin Netanyahu
ܐܪܬܒܝܢ (ܗܘܦܪܟܝܐ)	Artvin (província)
ܓܒܝܢܐ	Sobrancelha
ܫܘܪܬܐ	Umbigo
ܐܕܝܐܡܐܢ (ܗܘܦܪܟܝܐ)	Adıyaman (província)
ܝܗܘܕܐ ܫܠܝܚܐ	Judas Tadeu
ܒܪܬܘܠܡܝ ܫܠܝܚܐ	São Bartolomeu
ܝܥܩܘܒ ܒܪ ܙܒܕܝ	Santiago Maior
ܡܬܝܐ ܫܠܝܚܐ	Matias (apóstolo)
ܝܥܩܘܒ ܒܪ ܚܠܦܝ	Santiago Menor
ܕܟܪܐ	Macho
ܐܝܓܢܐܛܝܘܣ ܢܘܪܢܐ	Inácio de Antioquia
ܪܕܝܘܗܕ	Radiohead
ܒܫܐܪ ܐܠܐܣܕ	Bashar al-Assad
ܪܚܝܐ	Moinho
ܨܘܡܐ	Jejum
ܕܝܪܐ	Mosteiro
ܠܡܐܢܐ	Porto (transporte)
ܡܠܚܐ (ܢܘܛܐ)	Marinheiro
ܐܦܝܘܢ (ܗܘܦܪܟܝܐ)	Afyonkarahisar (província)
ܡܝܟܐܝܠ (ܡܠܐܟܐ)	Miguel (arcanjo)
ܒܝܠܓܝܟ (ܗܘܦܪܟܝܐ)	Bilecik (província)
ܒܝܬ ܥܬܩܐ ܕܐܣܪܐܝܠ	Museu de Israel
ܒܐܠܝܟܣܝܪ (ܗܘܦܪܟܝܐ)	Balıkesir (província)
ܒܝܬ ܝܠܕܐ	Aniversário
ܬܘܠܥܐ	Verme
ܬܘܩܢ ܓܝܕܝܐ ܩܢܛܪܘܢܝܐ	Sistema nervoso central
ܛܘܪܐ ܕܓܠܝܕܐ	Iceberg
ܡܫܠܡܢܐ	Muçulmano
ܢܢܥܐ	Mentha
ܩܠܒܐ:Commonscat	Predefinição:Commonscat
ܒܨܪܐ (ܡܕܝܢܬܐ)	Baçorá
ܐܓܪܬܐ ܕܠܘܬ ܪܗܘܡܝܐ	Epístola aos Romanos
ܬܡܪܐ ܕܥܝܢܐ	Pálpebra
ܗܘܦܪܟܝܣ ܕܛܘܪܩܝܐ	Províncias da Turquia
ܡܪܝ ܓܝܘܪܓܝܣ ܣܗܕܐ	São Jorge
ܐܣܘܬܐ ܕܠܐ ܬܚܘܡܐ	Médicos sem Fronteiras
ܐܪܙܐ (ܡܫܝܚܝܘܬܐ)	Sacramento (cristianismo)
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܝܦܣܝܐ	Epístola aos Filipenses
ܐܢܛܘܠܝܐ	Anatólia
ܡܫܝܚܐ	Messias
ܚܫܡܝܬܐ ܐܚܪܝܬܐ	Última Ceia
ܩܢܘܢܐ ܕܗܝܡܢܘܬܐ	Credo dos Apóstolos
ܒܢܝ ܐܝܣܪܐܝܠ	Tribos de Israel
ܡܓܘܫܐ ܬܠܬܐ	Três Reis Magos
ܝܘܚܢܢ ܕܪܡܣܘܩܝܐ	João Damasceno
ܒܒܐ (ܬܪܥܐ)	Portão
ܣܕܪܐ:ܡܠܟܐ	Categoria:Reis
ܣܕܪܐ:ܪܘܟܒ ܫܘܠܛܢܘܬܐ	Categoria:Formas de governo
ܠܫܢܐ ܕܡܝܢ	Línguas min
ܥܘܪܡܫܐ	Poluição
ܒܒܠ (ܗܘܦܪܟܝܐ)	Babil
ܫܘܡܪܐ	Fuligem
ܐܫܩܠܘܢ	Ascalão
ܕܘܢܒܐ	Cauda
ܩܐܕܣܝܐ (ܗܘܦܪܟܝܐ)	Al-Qadisiyyah (província)
ܡܪܝܡ ܡܓܕܠܝܬܐ	Maria Madalena
ܡܪܪܬܐ	Vesícula biliar
ܥܕܬܐ ܟܠܕܝܬܐ ܩܬܘܠܝܩܝܬܐ	Igreja Católica Caldeia
ܥܕܬܐ ܡܪܘܢܝܬܐ	Igreja Maronita
ܡܪܬܐ	Bile
ܩܘܪܒܢܐ	Eucaristia
ܐܘܘܫܐ	Cerúmen
ܕܡܥܬܐ	Lágrima
ܟܘܬܝܢܐ	Camisa
ܝܘܗܐܢ ܐܠܙܪ	Georg Elser
ܒܝܢܓܘܠ (ܗܘܦܪܟܝܐ)	Bingöl (província)
ܥܡܐ ܐܪܡܢܝܐ	Armênios
ܐܝܕܝܢ (ܗܘܦܪܟܝܐ)	Aydın (província)
ܩܛܠܥܡܐ ܐܪܡܢܝܐ	Genocídio armênio
ܐܡܐܣܝܐ (ܗܘܦܪܟܝܐ)	Amásia (província)
ܦܪܝܙܘܢ ܒܪܝܟ	Prison Break
ܐܓܪܝ (ܗܘܦܪܟܝܐ)	Ağrı (província)
ܒܘܪܕܘܪ (ܗܘܦܪܟܝܐ)	Burdur (província)
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ	Primeira Epístola aos Coríntios
ܝܗܘܕܐ ܣܟܪܝܘܛܐ	Judas Iscariotes
ܐܒܪܐ	Pena
ܡܚܪܐ	Engenheiro
ܚܪܛܘܡܢܐ	Grão-de-bico
ܐܬܪܘܬܐ ܕܫܐܡ	Levante (Mediterrâneo)
ܬܪܘܕܐ	Colher
ܓܒܪܐܝܠ (ܡܠܐܟܐ)	Gabriel (anjo)
ܓܪܡܦܝܠܐ	Marfim
ܨܘܪ	Tiro
ܒܘܠܘ (ܗܘܦܪܟܝܐ)	Bolu (província)
ܙܢܩܐ	Queixo
ܨܘܡܐ ܕܐܪܒܥܝܢ	Quaresma
ܐܓܪܐ ܕܒܢܝܢܐ	Telhado
ܒܝܛܠܝܣ (ܗܘܦܪܟܝܐ)	Bitlis (província)
ܓܠܝܠܐ	Galileia
ܪܥܡܐ	Trovão
ܡܘܨܠ	Mossul
ܟܪܬܐ	Polegar
ܥܡܐ ܛܘܪܩܝܐ	Turcos
ܦܐܦܐ ܫܢܘܕܐ ܬܠܝܬܝܐ	Shenouda III de Alexandria
ܒܝܥܬܐ	Ovo (alimento)
ܒܣܕܝܐ	Travesseiro
ܙܓܐ (ܢܩܘܫܐ)	Sino
ܫܒܬܐ (ܝܗܘܕܝܘܬܐ)	Shabat
ܫܡܝܪܡ	Semíramis
ܫܝܓܪܐ	Gengiva
ܝܗ	Tetragrama YHVH
ܡܫܝܚܝܐ	Cristão
ܟܪܘܙܘܬܐ ܕܡܪܩܘܣ	Evangelho segundo Marcos
ܟܟܪܝܬܐ ܕܕܒܫܐ	Favo
ܐܓܪܬܐ ܕܠܘܬ ܩܘܪܢܬܝܐ ܕܬܪܬܝܢ	Segunda Epístola aos Coríntios
ܛܥܡܐ	Paladar
ܓܢܬ ܫܒܪܐ	Jardim de infância
ܝܡܬܐ ܕܓܠܝܠܐ	Mar da Galileia
ܡܪܝ ܝܘܣܦ	São José
ܠܘܩܐ ܐܘܢܓܠܣܛܐ	São Lucas
ܐܓܪܬܐ ܕܠܘܬ ܥܒܪܝܐ	Epístola aos Hebreus
ܐܓܪܬܐ ܕܠܘܬ ܓܠܛܝܐ	Epístola aos Gálatas
ܡܪܝ ܡܝܟܐܝܠ ܪܒܐ	Miguel, o Sírio
Ϝ	Ϝ
Ϙ	Qoopa
ܥܛܡܐ	Coxa
ܬܢܢܐ	Fumo
ܡܘܚܘܢܐ	Cerebelo
ܐܓܪܬܐ ܕܠܘܬ ܩܘܠܣܝܐ	Epístola aos Colossenses
ܐܓܪܬܐ ܕܝܥܩܘܒ	Epístola de Tiago
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܝܘܚܢܢ	Primeira Epístola de João
ܐܓܪܬܐ ܕܠܘܬ ܦܝܠܡܘܢ	Epístola a Filémon
ܐܓܪܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ ܕܬܪܬܝܢ	Segunda Epístola aos Tessalonicenses
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܬܣܠܘܢܝܩܝܐ	Primeira Epístola aos Tessalonicenses
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܦܛܪܘܣ	Primeira Epístola de Pedro
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܦܛܪܘܣ	Segunda Epístola de Pedro
ܐܓܪܬܐ ܩܕܡܝܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ	Primeira Epístola a Timóteo
Ϛ	Ϛ
ܡܪܕܝܢ (ܗܘܦܪܟܝܐ)	Mardin (província)
ܚܡܨ (ܡܕܝܢܬܐ)	Homs
Ͳ	Ͳ
ܘܐܟܐܩܐ ܕܝ ܟܘܐܪܝܣ	Oaxaca de Juárez
ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܝܘܚܢܢ	Segunda Epístola de João
ܐܓܪܬܐ ܕܬܠܬ ܕܝܘܚܢܢ	Terceira Epístola de João
ܐܓܪܬܐ ܕܝܗܘܕܐ	Epístola de Judas
ܐܓܪܬܐ ܕܠܘܬ ܛܝܡܬܐܘܣ ܕܬܪܬܝܢ	Segunda Epístola a Timóteo
ܐܓܪܬܐ ܕܠܘܬ ܛܛܘܣ	Epístola a Tito
ܫܝܪܢܐܟ (ܡܕܝܢܬܐ)	Şırnak
ܓܘܣܢܐ	Refugiado
Ϻ	Ϻ
ܩܠܝܕܐ (ܡܐܢܐ)	Chave
ܥܕܥܐܕܐ	Festival
ܐܪܒܝܠ (ܡܕܝܢܬܐ)	Arbil
ܪܓܠܐ	Perna
ܚܨܐ	Costas
ܐܠܝܐ ܢܒܝܐ	Elias
ܙܚܘܪܝܬܐ (ܬܘܠܥܬܐ)	Bicho-da-seda
ܚܘܦܝܐ	Eclipse
ܡܚܛܐ	Agulha
ܥܠܡܐ ܥܪܒܝܐ	Mundo árabe
ܩܛܡܐ	Cinzas
ܢܘܗܕܪܐ (ܡܕܝܢܬܐ)	Dohuk
ܨܒܥܐ ܕܪܓܠܐ	Artelho
ܠܘܚܐ (ܚܫܘܒܬܐ)	Tablet
ܪܒܝܬܐ	Usura
ܡܟܝܪܘܬܐ	Noivado
ܫܘܪܡܐ	Reto
ܐܪܡܝܐ (ܢܒܝܐ)	Jeremias
ܬܐܡܐ	Gêmeos
ܬܠܝܦܐ	Celha
ܫܥܬܐ ܕܐܪܥܐ	Hora do Planeta
ܦܪܡܝܬܐ	Botão
ܟܘܟܒܐ ܕܕܘܝܕ	Estrela de Davi
ܡܪܝ ܐܣܛܦܢܘܣ	Santo Estêvão
ܡܫܡܫܢܐ	Diácono
ܢܓܒ	Neguev
ܟܢܥܢ	Canaã
ܢܘܨܦܐ	Crepúsculo
ܒܝܢܐ	Tamarix
ܬܓܪܝܬ	Tikrit
ܚܠܐ (ܥܦܪܐ)	Poeira
ܬܪܥܐ ܕܕܡܐ	Hemorragia
ܥܪܒܐ ܕܫܡܫܐ	Pôr do sol
ܐܡܝܫܐ	Pântano
ܡܨܥܝܬܐ (ܨܒܥܐ)	Dedo médio
ܣܒܐ (ܒܝܬܝܘܬܐ)	Avós
ܩܘܪܨܠܐ	Tornozelo
ܒܪ ܐܝܕܐ	Luva
ܢܫܒܐ ܕܥܝܢܐ	Retina
ܬܘܩܢ ܓܝܕܝܐ ܡܚܕܘܪܝܐ	Sistema nervoso periférico
ܛܝܢܐ	Lama
ܓܓܘܠܬܐ	Calvário
ܗܢܝܢܐ (ܡܡܫܚܘܬܐ)	Juro
ܐܫܘܪ ܒܢܐܦܠ	Assurbanípal
ܓܕܫܐ	Acidente
ܦܛܪܝܪܟܐ	Patriarca
ܚܟܐ	Palato
ܟܪܟ ܣܠܘܟ (ܡܕܝܢܬܐ)	Kirkuk
ܒܒܬܐ	Pupila
ܩܒܪܐ	Túmulo
ܠܒܘܢܬܐ	Olíbano
ܚܡܬ (ܡܕܝܢܬܐ)	Hama
ܝܫܛܐ	Esófago
ܟܝܣܐ ܕܐܫܟܐ	Escroto
ܕܒܪܐ	Zona rural
ܚܪܘܫܬܐ	Traqueia
ܓܪܡܐ ܕܥܛܡܐ	Fêmur
ܒܪܐ (ܒܝܬܝܘܬܐ)	Filho
ܫܚܘܪܐ	Carvão vegetal
ܐܘܟܡܐ ܕܥܝܢܐ	Íris
ܫܦܠܘܗܝ ܕܢܝܠܘܣ	Delta do Nilo
ܐܘܪܡܝܐ	Úrmia
Ϸ	Ϸ
ܓܙܪܬܐ ܐܝܘܠܝܬܐ	Ilhas Eólias
ܓܒܐ ܕܒܥܬ	Partido Baath
ܦܩܪܐ	Vértebra
ܒܪ ܩܠܐ	Eco
ܟܝܡܪܐ	Quimera
ܠܘܓܡܐ	Osso maxilar
ܛܪܘܢܐ	Ditador
ܬܝܒܘܬܐ	Confissão (sacramento)
ܩܒܠܘܬܐ	Obstetriz
ܐܪܙܝܪܐ	Sturnidae
ܣܦܪܐ (ܩܢܘܢܝܐ)	Jurisconsulto
Ͱ	Ͱ
ܥܡܐ ܐܪܡܝܐ	Arameus
ܐܒܐ (ܐܠܗܐ)	Deus, o Pai
ܐܢܒܐܪ (ܗܘܦܪܟܝܐ)	Al-Anbar
ܡܪܕܝܢ (ܡܕܝܢܬܐ)	Mardin
ܣܪܛܢܐ	Câncer (desambiguação)
ܡܘܪܘܢ	Crisma
ܚܠܡܬܐ	Mamilo
ܢܘܠܐ ܕܓܘܓܝ	Teia de aranha
ܐܫܥܝܐ	Isaías
ܒܝܬ ܟܬܒܐ ܐܬܪܝܐ ܕܐܣܪܐܝܠ	Biblioteca Nacional de Israel
ܥܪܫܐ	Molar (dente)
ܢܝܢܘܐ (ܗܘܦܪܟܝܐ)	Ninawa
ܢܘܗܕܪܐ (ܗܘܦܪܟܝܐ)	Dahuk (província)
ܘܐܣܛ (ܗܘܦܪܟܝܐ)	Wasit (província)
ܨܠܐܚ ܐܠܕܝܢ (ܗܘܦܪܟܝܐ)	Salah-ad-Din (província)
ܟܢܘܫܝܐ ܕܠܫܢܐ ܥܒܪܝܐ	Academia da Língua Hebraica
ܥܘܕ	Oud
ܒܓܕܐܕ (ܗܘܦܪܟܝܐ)	Bagdad (província)
ܣܪܓܐ	Sela
ܒܨܪܐ (ܨܒܥܐ)	Anular
ܩܛܝܣܦܘܢ	Ctesifonte
ܟܒܘܫܐ	Pesadelo
ܢܓܦ (ܗܘܦܪܟܝܐ)	An-Najaf (província)
ܟܪܟ ܣܠܘܟ (ܗܘܦܪܟܝܐ)	Kirkuk (província)
ܕܢܚܐ ܕܫܡܫܐ	Nascer do sol
ܬܐܪܬܐ	Consciência (moral)
ܒܨܪܐ (ܗܘܦܪܟܝܐ)	Baçorá (província)
ܡܫܚܐ ܕܟܪܝܗܐ	Unção dos enfermos
ܦܠܫܬ	Filisteus
ܐܠܥܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Costela
ܥܕܬܐ ܐܝܓܘܦܛܝܬܐ	Igreja Ortodoxa Copta
ܐܢܛܝܘܟܝܐ	Antioquia
ܐܦܪܝܡ ܣܘܪܝܝܐ	Efrém da Síria
ܐܝܙܝܕܝܐ	Yazidi
ܪܝܫܘܢ ܠܬܣܝܘܢ	Rishon LeZion
ܟܢܪܐ	Lira (instrumento musical)
ܥܕܬܐ ܕܡܕܢܚܐ ܕܐܬܘܪܝܐ	Igreja Assíria do Oriente
ܬܠܐ ܕܚܕ ܐܝܠܢ	One Tree Hill
