አፍሪቃ	África
ጃፓን	Japão
ደቡብ አሜሪካ	América do Sul
ኖርዌይ	Noruega
ኢንግላንድ	Inglaterra
ስኮትላንድ	Escócia
ዌልስ	País de Gales
ስሜን አየርላንድ	Irlanda do Norte
አየርላንድ ሪፐብሊክ	República da Irlanda
ሀንጋሪ	Hungria
እስፓንያ	Espanha
አሜሪካ	Estados Unidos
ቤልጅግ	Bélgica
ሉክሰምበርግ	Luxemburgo
መሬት	Terra
ህይወት	Vida
የሰው ልጅ	Homo sapiens
ጆርጅ ዋሽንግተን	George Washington
ፊንላንድ	Finlândia
ስዊድን	Suécia
ዴንማርክ	Dinamarca
ፖላንድ	Polónia
ሊትዌኒያ	Lituânia
ጣልያን	Itália
ስዊዘርላንድ	Suíça
ኦስትሪያ	Áustria
ግሪክ (አገር)	Grécia
ቱርክ	Turquia
ፖርቱጋል	Portugal
አውሮፓ	Europa
እስያ	Ásia
ስሜን አሜሪካ	América do Norte
አንታርክቲካ	Antártida
ውክፔዲያ	Wikipédia
ሆላንድ	Países Baixos
ኒው ዮርክ ከተማ	Nova Iorque
ዋሺንግተን ዲሲ	Washington, D.C.
ሳን ፍራንሲስኰ	São Francisco (Califórnia)
በርሊን	Berlim
ሎስ አንጄሌስ	Los Angeles
ኮምፒዩተር	Computador
ቤርን	Berna
ዠኔቭ	Genebra
ዙሪክ	Zurique
ድረ ገጽ መረብ	Internet
ባራክ ኦባማ	Barack Obama
ኡራጓይ	Uruguai
ባዝል	Basileia
ለንደን	Londres
ካይሮ	Cairo
እስክንድርያ	Alexandria
ፖም	Maçã
ፓሪስ	Paris
አብርሀም ሊንከን	Abraham Lincoln
ጉግል	Google
ሜክሲኮ	México
አትላንቲክ ውቅያኖስ	Oceano Atlântico
ሰላማዊ ውቅያኖስ	Oceano Pacífico
ካሊፎርኒያ	Califórnia
ቦስቶን	Boston
ሰኞ	Segunda-feira
ጃንዩዌሪ	Janeiro
ፌብሩዋሪ	Fevereiro
ማርች	Março
ማርስ	Marte (planeta)
ኬንያ	Quénia
ኢትዮጵያ	Etiópia
ጋና	Gana
ኤፕሪል	Abril
መይ	Maio
ጁን	Junho
ጁላይ	Julho
ኦገስት	Agosto
ሰፕቴምበር	Setembro
ኦክቶበር	Outubro
ኖቬምበር	Novembro
ዲሴምበር	Dezembro
ማክሰኞ	Terça-feira
ረቡዕ	Quarta-feira
ሐሙስ	Quinta-feira
ዓርብ	Sexta-feira
ቅዳሜ	Sábado
እሑድ	Domingo
አንበሳ	Leão
ፈረንሣይ	França
ኤስፔራንቶ	Esperanto
ውሻ	Canis lupus familiaris
ዩናይትድ ኪንግደም	Reino Unido
ድመት	Gato
የቻይና ሕዝባዊ ሪፐብሊክ	República Popular da China
ፈረንሳይኛ	Língua francesa
ዓሣ	Peixe
ብራዚል	Brasil
ሩሲያ	Rússia
ባህር	Mar
ጥቁር ባሕር	Mar Negro
ፓይ	Pi
ቶሮንቶ	Toronto
አላባማ	Alabama
ሳው ፓውሉ	São Paulo (cidade)
ኬበክ	Quebec
ጂሚ ዌልስ	Jimmy Wales
ጀርመን	Alemanha
ቤላሩስ	Bielorrússia
ጀርመንኛ	Língua alemã
አይስላንድ	Islândia
እግዚአብሔር	Deus
ኤስቶኒያ	Estónia
ማህፈድ	Saturno (planeta)
አውሮፕላን	Avião
0	0 (número)
አዕላፍ	Infinito
ጆርጅ ደብሊዩ ቡሽ	George W. Bush
ላትቪያ	Letónia
ዩክሬን	Ucrânia
ቼክ ሪፐብሊክ	República Checa
ስሎቫኪያ	Eslováquia
ስሎቬኒያ	Eslovénia
ቪልኒውስ	Vilnius
ሞልዶቫ	Moldávia
ሮማንያ	Roménia
ቡልጋሪያ	Bulgária
ሮማ	Roma
የመቄዶንያ ሬፑብሊክ	República da Macedónia
አልባኒያ	Albânia
ግሪንላንድ	Gronelândia
ክሮኤሽያ	Croácia
ቦስኒያና ሄርጸጎቪና	Bósnia e Herzegovina
አዘርባይጃን	Azerbaijão
አንዶራ	Andorra
ቆጵሮስ	Chipre
ጂዮርጂያ	Geórgia
ካዛክስታን	Cazaquistão
ማልታ	Malta
ሞናኮ	Mónaco
ሞንቴኔግሮ	Montenegro
ቫቲካን ከተማ	Vaticano
ሳን ማሪኖ (አገር)	San Marino
ብሩክሴል	Bruxelas
ኩባ	Cuba
ቤሊዝ	Belize
ባርቤዶስ	Barbados
ጃቫ	Java (linguagem de programação)
ኢንዶኔዥያ	Indonésia
ቮልፍጋንግ አማዴኡስ ሞፃርት	Wolfgang Amadeus Mozart
ሉድቪግ ቫን ቤትሆቨን	Ludwig van Beethoven
ቱርክኛ	Língua turca
ደቡብ አፍሪካ	África do Sul
አልጄሪያ	Argélia
ኡዝቤኪስታን	Uzbequistão
ታሽኬንት	Tashkent
ዋርሶው	Varsóvia
ውሃ	Água
እንጨት	Madeira
ቴሌቪዥን	Televisão
ቺሌ	Chile
ኢየሱስ	Jesus
ኤልቭስ ፕሬስሊ	Elvis Presley
ጋሊልዮ	Galileu Galilei
ኣጣርድ	Mercúrio (planeta)
ታሪክ	História
አፕል ኮርፖሬሽን	Apple
ዘሃራ	Vénus (planeta)
ቋንቋ	Linguagem
ፍቅር	Amor
ጁፒተር	Júpiter (planeta)
ሚሼል ባቼሌት	Michelle Bachelet
ሚልኪ ዌይ	Via Láctea
ኡራኑስ	Urano (planeta)
ኒኮላ ሳርኮዚ	Nicolas Sarkozy
ነፕቲዩን	Netuno (planeta)
ሥነ ፈለክ	Astronomia
ሲንጋፖር	Singapura
ሳይንስ	Ciência
ፕሉቶ	Plutão
ሞንትሬያል	Montreal
ማርያም	Maria (mãe de Jesus)
ሊክተንስታይን	Liechtenstein
ስፖርት	Desporto
አዶልፍ ሂትለር	Adolf Hitler
ፌስቡክ	Facebook
የመጀመሪያው የዓለም ጦርነት	Primeira Guerra Mundial
2ኛው ዓለማዊ ጦርነት	Segunda Guerra Mundial
ኮልን	Colônia (Alemanha)
ሰአት (መሳሪያ)	Relógio
ኡቡንቱ	Ubuntu
ስኮፕዬ	Escópia
ሊኑክስ	Linux
ትምህርተ ሂሳብ	Matemática
ሮማይስጥ	Língua latina
ባሕሬን	Bahrein
አርመኒያ	Arménia
ሰርቢያ	Sérvia
ጨረቃ	Lua
ኢስታንቡል	Istambul
አውስትራልያ	Austrália
ቦብ ማርሊ	Bob Marley
የተፈጥሮ ሕግጋት ጥናት	Física
አርጀንቲና	Argentina
ፔሩ	Peru
ሥነ ሕይወት	Biologia
ሰሜን ኮርያ	Coreia do Norte
ካምቦዲያ	Camboja
ቁርአን	Alcorão
እስልምና	Islão
ልዩብልያና	Liubliana
ለክ ቫለሳ	Lech Wałęsa
ድኒ ዲድሮ	Denis Diderot
ልዮን	Lyon
አውሮፓ ህብረት	União Europeia
ሶፊያ	Sófia
ሚላኖ	Milão
አርተር ራምቦ	Arthur Rimbaud
ቶሪኖ	Turim
ሎሚ	Limão
ስተንዳል	Stendhal
666 እ.ኤ.አ.	666
ኤቨረስት ተራራ	Monte Everest
ከተማ	Cidade
ናፖሌዎን ቦናፓርት	Napoleão Bonaparte
ኮኮብ	Estrela
ደብረ ቬሱቪዩስ	Vesúvio
ፀሐይ	Sol
ሰማይ	Céu
ሉዊ ፓስቴ	Louis Pasteur
የብርሃን ዓመት	Ano-luz
ቪክቶር ኢውጎ	Victor Hugo
ኦሺያኒያ	Oceania
የፀሐይ ሥርዓተ ፈለክ	Sistema Solar
ባልቲክ ባሕር	Mar Báltico
ቪስቱላ ወንዝ	Rio Vístula
ጥርስ	Dente
ሃይድሮጅን	Hidrogénio
ሒሊየም	Hélio
አንጌላ መርክል	Angela Merkel
ሊቲየም	Lítio
ቤሪሊየም	Berílio
ቀን	Dia
ምሥራቅ ቲሞር	Timor-Leste
