ఆఫ్రికా	África
జపాన్	Japão
దక్షిణ అమెరికా	América do Sul
నార్వే	Noruega
ఇంగ్లాండు	Inglaterra
స్కాట్లాండ్	Escócia
వేల్స్	País de Gales
రిపబ్లిక్ ఆఫ్ ఐర్లాండ్	República da Irlanda
హంగేరి	Hungria
స్పెయిన్	Espanha
అమెరికా సంయుక్త రాష్ట్రాలు	Estados Unidos
బెల్జియం	Bélgica
విశ్వం	Universo
భూమి	Terra
జీవం	Vida
మరణం	Morte
మానవుడు	Homo sapiens
సంతోషం	Felicidade
జార్జి వాషింగ్టన్	George Washington
టిమ్ బెర్నర్స్ లీ	Tim Berners-Lee
ఫిన్‌లాండ్	Finlândia
స్వీడన్	Suécia
డెన్మార్క్	Dinamarca
పోలాండ్	Polónia
లిథువేనియా	Lituânia
ఇటలీ	Itália
స్విట్జర్లాండ్	Suíça
ఆస్ట్రియా	Áustria
గ్రీస్	Grécia
టర్కీ	Turquia
బీరు	Cerveja
పోర్చుగల్	Portugal
ఐరోపా	Europa
ఆసియా	Ásia
ఉత్తర అమెరికా	América do Norte
అంటార్కిటికా	Antártida
వికీపీడియా	Wikipédia
నెదర్లాండ్స్	Países Baixos
శిశ్నము	Pênis
పిహెచ్‌పి(PHP)	PHP
న్యూయార్క్	Nova Iorque
వాషింగ్టన్, డి.సి.	Washington, D.C.
శాన్ ఫ్రాన్సిస్కో	São Francisco (Califórnia)
బెర్లిన్	Berlim
లాస్ ఏంజలెస్	Los Angeles
ఎయిర్‌బస్	Airbus
కంప్యూటర్	Computador
ఇంటర్నెట్	Internet
బరాక్ ఒబామా	Barack Obama
కంప్యూటర్ ప్రింటర్	Impressora
మీడియావికీ	MediaWiki
లండన్	Londres
కైరో	Cairo
తలనొప్పి	Cefaleia
అలెగ్జాండ్రియా	Alexandria
ఆపిల్	Maçã
పారిస్	Paris
అబ్రహం లింకన్	Abraham Lincoln
ఆండ్రాయిడ్	Android
గూగుల్	Google
మెక్సికో	México
అట్లాంటిక్ మహాసముద్రం	Oceano Atlântico
పసిఫిక్ మహాసముద్రం	Oceano Pacífico
కాలిఫోర్నియా	Califórnia
బోస్టన్	Boston
సోమవారము	Segunda-feira
అంతరిక్షం	Espaço físico
జనవరి	Janeiro
ఫిబ్రవరి	Fevereiro
మార్చి	Março
అంగారకుడు	Marte (planeta)
కెన్యా	Quénia
ఇథియోపియా	Etiópia
ఘనా	Gana
ఏప్రిల్	Abril
మే	Maio
జూన్	Junho
జూలై	Julho
ఆగష్టు	Agosto
సెప్టెంబర్	Setembro
అక్టోబర్	Outubro
నవంబర్	Novembro
డిసెంబర్	Dezembro
మంగళవారము	Terça-feira
బుధవారము	Quarta-feira
గురువారము	Quinta-feira
శుక్రవారము	Sexta-feira
శనివారము	Sábado
ఆదివారము	Domingo
సింహం	Leão
ఫ్రాన్స్	França
కుక్క	Canis lupus familiaris
యునైటెడ్ కింగ్‌డమ్	Reino Unido
పిల్లి	Gato
చైనా	República Popular da China
ఫ్రెంచి భాష	Língua francesa
చేప	Peixe
బ్రెజిల్	Brasil
ఆల్కహాలు	Álcool
రష్యా	Rússia
ఆప్టికల్ ఫైబర్	Fibra óptica
సముద్రం	Mar
నల్ల సముద్రం	Mar Negro
పై	Pi
వికీ	Wiki
టొరంటో	Toronto
అలబామా	Alabama
బోయింగ్ 747	Boeing 747
వికీమీడియా ఫౌండేషన్	Wikimedia
జిమ్మీ వేల్స్	Jimmy Wales
జర్మనీ	Alemanha
బెలారస్	Bielorrússia
లారీ సాంగర్	Larry Sanger
జర్మన్ భాష	Língua alemã
ఐస్‌లాండ్	Islândia
దేవుడు	Deus
ఎస్టోనియా	Estónia
చాక్లెట్	Chocolate
విమానం	Avião
యుద్ధం	Guerra
ఒకటి	Um
రెండు	Dois
మూడు	Três
నాలుగు	Quatro
సున్న	0 (número)
దీర్ఘ చతురస్రం	Retângulo
లాట్వియా	Letónia
ఉక్రెయిన్	Ucrânia
చెక్ రిపబ్లిక్	República Checa
స్లోవేనియా	Eslovénia
మోల్డోవా	Moldávia
రొమేనియా	Roménia
బల్గేరియా	Bulgária
రోమ్	Roma
మేసిడోనియా	República da Macedónia
అల్బేనియా	Albânia
గ్రీన్‌లాండ్	Gronelândia
క్రొయేషియా	Croácia
బోస్నియా మరియు హెర్జెగొవీనా	Bósnia e Herzegovina
అజర్‌బైజాన్	Azerbaijão
అండొర్రా	Andorra
సైప్రస్	Chipre
జార్జియా (దేశం)	Geórgia
కజకస్తాన్	Cazaquistão
మొనాకో	Mónaco
వాటికన్ నగరం	Vaticano
క్యూబా	Cuba
బెలిజ్	Belize
ఈఫిల్ టవర్	Torre Eiffel
బార్బడోస్	Barbados
రాసబెర్రి పై	Raspberry Pi
వోక్స్ వాగన్	Volkswagen
ఇంటెల్ సంస్థ	Intel Corporation
కంప్యూటర్ కీబోర్డ్	Teclado (informática)
జావా	Java (linguagem de programação)
ఇండోనేషియా	Indonésia
మేండెల్‌బ్రాట్ సెట్	Conjunto de Mandelbrot
దక్షిణ ఆఫ్రికా	África do Sul
అల్జీరియా	Argélia
ఉజ్బెకిస్తాన్	Uzbequistão
డ్రోసిరా	Drosera
తాష్కెంట్	Tashkent
నీరు	Água
చెక్క	Madeira
టెలివిజన్	Televisão
లింగ భేదం	Sexo
చిలీ	Chile
యేసు	Jesus
శారీరక దండన	Castigo corporal
గెలీలియో గెలీలి	Galileu Galilei
బుధుడు	Mercúrio (planeta)
చరిత్ర	História
యాపిల్ ఇన్‌కార్పొరేషన్	Apple
శుక్రుడు	Vénus (planeta)
భాష	Linguagem
ప్రేమ	Amor
నియంతృత్వం	Ditadura
గేలక్సీ	Galáxia
గురుడు	Júpiter (planeta)
మిచెల్లీ బచెలేట్	Michelle Bachelet
పాలపుంత	Via Láctea
మహా విస్ఫోటం	Big Bang
యురేనస్	Urano (planeta)
ఆంగ్ల వికీపీడియా	Wikipédia em inglês
నెప్ట్యూన్	Netuno (planeta)
ఖగోళ శాస్త్రము	Astronomia
సింగపూరు	Singapura
విజ్ఞానశాస్త్రం	Ciência
ప్లూటో	Plutão
మాంట్రియల్	Montreal
కాలము	Futuro
మరియమ్	Maria (mãe de Jesus)
ఆటలు	Desporto
ఎడాల్ఫ్ హిట్లర్	Adolf Hitler
ఫేస్‌బుక్	Facebook
గూగుల్+	Google+
వికీలీక్స్	WikiLeaks
జూలియన్ అసాంజే	Julian Assange
మొదటి ప్రపంచ యుద్ధం	Primeira Guerra Mundial
రెండవ ప్రపంచ యుద్ధం	Segunda Guerra Mundial
కొలోన్	Colônia (Alemanha)
లంచం	Corrupção
వికీబుక్స్	Wikilivros
వికీకోట్	Wikiquote
ఉబుంటు	Ubuntu
లినక్స్	Linux
బాబ్ డైలాన్	Bob Dylan
గణితము	Matemática
లాటిన్	Língua latina
బహ్రయిన్	Bahrein
ఆర్మేనియా	Arménia
జెన్నా జేమ్సన్	Jenna Jameson
సెర్బియా	Sérvia
చంద్రుడు	Lua
ఇస్తాంబుల్	Istambul
ఆస్ట్రేలియా	Austrália
కార్ల్ సాగాన్	Carl Sagan
భౌతిక శాస్త్రము	Física
అర్జెంటీనా	Argentina
పెరూ	Peru
జీవ శాస్త్రము	Biologia
గుర్తించబడని ఎగురుతున్న వస్తువు	Objeto voador não identificado
ఉత్తర కొరియా	Coreia do Norte
కంబోడియా	Camboja
క్యూపర్ బెల్ట్	Cintura de Kuiper
ఖోరాన్	Alcorão
రాక్షసబల్లి	Dinossauros
జంతుశాస్త్రం	Zoologia
ఇస్లాం మతం	Islão
వృక్షశాస్త్రం	Botânica
లెక్ వలీసా	Lech Wałęsa
చక్రం	Roda
శాంతి	Paz
బ్రిటానికా విజ్ఞాన సర్వస్వము	Encyclopædia Britannica
ఐరోపా సమాఖ్య	União Europeia
వరల్డ్ వైడ్ వెబ్	World Wide Web
స్త్రీ	Mulher
కవి	Poesia
కంప్యూటర్ వైరస్	Vírus de computador
నవ్వు	Riso
హిరోషిమా మరియు నాగసాకిలపై అణ్వస్త్ర దాడులు	Bombardeamentos de Hiroshima e Nagasaki
మిలన్	Milão
మిత్రుడు	Amizade
మలము	Fezes
గుదము	Ânus
చంక	Axila
నిమ్మ	Limão
అరటి	Banana
పుష్పము	Flor
గూగోల్	Googol
ఎవరెస్టు పర్వతం	Monte Everest
శరీర నిర్మాణ శాస్త్రము	Anatomia
నగరము	Cidade
నెపోలియన్	Napoleão Bonaparte
శరీరశాస్త్రం	Fisiologia
నక్షత్రము (ఖగోళశాస్త్రం)	Estrela
సూర్యుడు	Sol
ఆకాశం	Céu
లూయీ పాశ్చర్	Louis Pasteur
కాంతి సంవత్సరం	Ano-luz
గ్రామం	Aldeia
విక్టర్ హ్యూగో	Victor Hugo
ఓషియానియా	Oceania
గిసేప్పి గారిబాల్డి	Giuseppe Garibaldi
సౌరమండలము	Sistema Solar
హైడ్రోజన్	Hidrogénio
హీలియం	Hélio
నరకం	Inferno
వికీపీడియా:వికీమీడియా కామన్స్	Wikimedia Commons
లిథియం	Lítio
బెరీలియం	Berílio
పుస్తకము	Livro
తూర్పు తైమూర్	Timor-Leste
రాత్రి	Noite
సంవత్సరము	Ano
కృష్ణబిలం	Buraco negro
సెరిస్ (మరుగుజ్జు గ్రహం)	Ceres (planeta anão)
లిస్బన్	Lisboa
ఎరిస్ (మరుగుజ్జు గ్రహం)	Éris (planeta anão)
దుబాయ్	Dubai
బోరాన్	Boro
నికోలాస్ కోపర్నికస్	Nicolau Copérnico
కార్బన్	Carbono
నత్రజని	Azoto
ఆక్సిజన్	Oxigénio
ఫుట్‌బాల్ క్లబ్ ఇంటర్నేజనలే మిలనో	Football Club Internazionale Milano
గ్రహం	Planeta
క్లియోపాత్రా	Cleópatra
భారతీయ సంగీతము	Música
వెనిస్	Veneza
ఉష్ణమాపకం	Termômetro
మాస్కో	Moscovo
ఫ్లోరిన్	Flúor
చువావా (కుక్క)	Chihuahua (cão)
నియాన్	Néon
సెయింట్ పీటర్స్‌బర్గ్	São Petersburgo
చాద్	Chade
సోడియం	Sódio
ఉత్తరం	Norte
మెగ్నీషియం	Magnésio
అల్యూమినియం	Alumínio
న్యూజీలాండ్	Nova Zelândia
దక్షిణం	Sul
భారత దేశము	Índia
సిలికాన్	Silício
భాస్వరము	Fósforo
ఇనుము	Ferro
పడమర	Oeste
అలెస్సాండ్రో వోల్టా	Alessandro Volta
సల్ఫర్	Enxofre
సమోవా	Samoa
తూర్పు	Leste
సోలమన్ దీవులు	Ilhas Salomão
వనాటు	Vanuatu
క్లోరిన్	Cloro
విలియం షేక్‌స్పియర్	William Shakespeare
ఫైర్‌ఫాక్స్	Mozilla Firefox
పొటాషియం	Potássio
కాల్షియమ్	Cálcio
సీసము (మూలకము)	Chumbo
కిరిబటి	Kiribati
మంగోలియా	Mongólia
ఫిజీ	Fiji
స్కాండియం	Escândio
టైటానియం	Titânio
వెనుజులా	Venezuela
చదరంగం (ఆట)	Xadrez
చెంఘీజ్ ఖాన్	Gengis Khan
వెనేడియం	Vanádio
మెయిన్	Maine
క్రోమియం	Crômio
గుర్రము	Equus ferus caballus
ఆయుధం	Arma
జంతువు	Animalia
సురినామ్	Suriname
మాంగనీస్	Manganês
గయానా	Guiana
ఈక్వడార్	Equador
కొలంబియా	Colômbia
కోబాల్ట్	Cobalto
నికెల్	Níquel
బౌద్ధ మతము	Budismo
బొలీవియా	Bolívia
ఓస్మియం	Ósmio
రాగి	Cobre
ట్రినిడాడ్ మరియు టొబాగో	Trinidad e Tobago
మొక్క	Plantae
తుత్తునాగము	Zinco
న్యూహాంప్‌షైర్	Nova Hampshire
లియొనార్డో డావిన్సి	Leonardo da Vinci
శిలీంధ్రం	Fungi
జమైకా	Jamaica
మసాచూసెట్స్	Massachusetts
గూగుల్ క్రోమ్	Google Chrome
బహామాస్	Bahamas
కనెక్టికట్	Connecticut
కోడి	Gallus gallus domesticus
ఆంటిగ్వా మరియు బార్బుడా	Antígua e Barbuda
హవాయి	Havaí
హోండురాస్	Honduras
