ᐊᑉᕆᖄ	África
ᓃᑉᐊᓐ	Japão
ᐊᒥᐊᓕᑲ ᓂᒋᖅ	América do Sul
ᓄᕐᒋ/nurgi	Noruega
ᓯᐸᐃᓐ	Espanha
ᐊᒥᐊᓕᑲ	Estados Unidos
ᓄᓇ	Terra
ᐄᒃ	Homo sapiens
ᔫᕐᒋ ᕚᓯᖕᑐᓐ	George Washington
ᔅᕗᕆᑭ	Suécia
ᐳᓚᓐᑦ	Polónia
ᓕᐋᑐᕙ	Lituânia
Italy	Itália
ᐃᐆᕌᑉ	Europa
ᐊᓰᐊ	Ásia
ᐊᒥᐊᕆᑲ ᑐᓄᕕᐊᖅ	América do Norte
ᐅᐃᑭᐱᑎᐊ	Wikipédia
ᐅᓱᒃ	Pênis
ᐱᕐᓖᓐ	Berlim
ᖃᕋᓴᐅᔭᖅ	Computador
ᖃᕆᓴᐅᔭᒃᑯᑦ ᑎᑎᕋᖅᓯᒪᔪᑦ	Internet
ᐸᕌᒃ ᐅᐹᒪ	Barack Obama
ᑭᒻᒥᓇᐅᔭᖅ	Maçã
ᒎᒐᓪ	Google
ᒦᒃᓰᖂ	México
ᑳᓖᐴᕐᓃᐊ	Califórnia
ᒧᓇᑖᒃ	Segunda-feira
ᔭᓐᓄᐊᓕ	Janeiro
ᕕᐳᐊᕆ	Fevereiro
ᓇᑦᓯᐊᓕᐅᑦ	Março
ᐊᐃᐳᕆᓪ	Abril
ᒪᐃ	Maio
ᔪᓂ	Junho
ᔪᓚᐃ	Julho
ᐊᐅᒍᔅ	Agosto
ᓯᑎᒻᐳᕆ	Setembro
ᐅᒃᑐᐳᕆ	Outubro
ᓄᕕᒻᐳᕆ	Novembro
ᑎᓯᒻᐳᕆ	Dezembro
ᐃᓯᐱᕋᓐᑐ	Esperanto
ᕿᖕᒥᖅ	Canis lupus familiaris
China	República Popular da China
ᐅᐃᒍᐃᕐᒥᐅᖅ	Língua francesa
ᐃᖃᓗᒃ	Peixe
ᐊᖓᔮᕐᓇᖅᑐᖅ	Bebida alcoólica
ᐅᓛᓴ	Rússia
ᐊᕐᕕᒃ	Cetáceos
ᐅᐃᑭ	Wiki
ᐋᓛᐹᒫ	Alabama
ᑯᐸᐃᒃ	Quebec
ᔨᒥ ᐆᐃᓪᔅ	Jimmy Wales
ᔮᒪᓂ	Alemanha
ᑎᖕᒥᓲᖅ	Avião
ᐊᑭᕋᖅᑑᑎᔪᑦ	Guerra
ᔅᑏᕕᓐ ᐦᐊᕐᐱᕐ	Stephen Harper
ᕕᓪᓂᐅᔅ/vilnius	Vilnius
ᐊᑯᑭᑦᑐᑦ	Gronelândia
ᖂᐹ/quupaa	Cuba
ᐄᓅᓯᐊ	Indonésia
ᓯᓕ	Chile
ᐱᐅᓕᑦᓯᔨ	Jesus
ᒥᕐᑰᕆ	Mercúrio (planeta)
ᖃᐅᔨᓴᕐᓂᖅ ᑎᑎᖅᑲᑎᒍᑦ ᖃᓄᐃᓕᐅᖅᑕᐅᖃᑦᑕᕐᓂᑯᓂᒃ	História
ᕖᓄᔅ	Vénus (planeta)
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ	Amor
ᐅᕌᓄᔅ	Urano (planeta)
ᓂᑉᑑᓐ	Netuno (planeta)
ᓯᓚᓯᐅᕐᓂᖅ	Astronomia
ᑉᓘᑐ	Plutão
ᒧᕆᐊᓪ	Montreal
ᑕᖅᑭᖅ	Lua
ᐊᔅᑦᕌᓕᐊ	Austrália
ᐆᒫᑦᓱᓕᕆᓂᖅ/umatsuliriniq	Física
ᐱᕉ	Peru
ᐆᒪᔅᓱᓯᖃᕐᑐᓕᕆᓂᖅ	Biologia
ᐊᖏᐋᕐᓂᖅ	Fezes
ᐃᑎᖅ	Ânus
ᐱᕈᖅᑐᓴᔭᖅ/piruqtusajaq	Flor
ᓄᓇᓖᑦ	Cidade
ᐅᓪᓗᕆᐊᖅ	Estrela
ᓯᕿᓂᖅ	Sol
ᕿᓚᒃ	Céu
ᐅᓯᐋᓂᐊ	Oceania
ᕿᒥᕐᕈᐊᑦ/qimirruat	Livro
ᖃᐅ	Dia
ᐅᑭᐅᖅ	Ano
ᑕᑯᑦᓱᒍᓱᑉᐳᖅ ᐊᑯᓐᓂᖓᓐᓂ ᒪᒡᒎᒃ ᐊᖑᑦ	Gay
ᒨᔅᑯ	Moscovo
ᐃᓐᑎᐊ	Índia
ᓂᕐᔪᑦ	Animalia
ᐱᕈᖅᑐᖅ	Plantae
ᒫᓵᓲᓰᑦᔅ	Massachusetts
ᐊ'ᐊ'ᐋᒃ	Gallus gallus domesticus
ᐃᕉᒃ	Iraque
ᐊᓛᓯᑲ	Alasca
ᑉᓘᕇᑖ	Flórida
ᐋᕇᓲᓈ	Arizona
ᐆᕇᕇᓐ	Oregon
ᐸᑭᔅᑕᓐ	Paquistão
ᔪᓚᐃᐅᔅ	Júlio César
ᓄᓇᓕᕆᓂᖅ	Geologia
ᓄᓇᐅᔪᖅ	Geografia
ᐄᓚᓄᐃᔅ	Illinois
ᑖᑰᑖ ᑐᓄᕕᐊᖅ	Dakota do Norte
ᑖᑰᑖ ᓂᒋᖅ	Dakota do Sul
ᐄᑖᓲ	Idaho
ᓂᕚᑖ	Nevada
ᑰᓘᕌᑑ	Colorado
ᓰᖄᑯ	Chicago
ᓯᐸᐃᓂᑎᑐᑦ	Língua castelhana
ᐋᓯᕙᖅ	Aranha
ᒪᒪᖅᑐᖅ, ᓰᕐᓇᖅᑐᖅ ᐱᕈᖅᑐᖅ	Fruto
ᓂᐅ ᐃᐅᕐᒃ	Nova Iorque (estado)
ᐅᓵᐃᐅ	Ohio
ᐃᐊᐃᑖᓯᓐ/iaitaatsin	Uetersen
ᐊᐅᒍᔅᒻᐅᔅ	Augusto
ᐃᓐᑎᐋᓈ	Indiana
ᑖᒃᓵᔅ	Texas
ᑳᕉᓖᓈ ᑐᓄᕕᐊᖅ	Carolina do Norte
ᑳᕉᓖᓈ ᓂᒋᖅ	Carolina do Sul
ᑑᑭᐅ	Tóquio
ᒦᓰᓰᐲ (ᐃᓗᐊᓂ)	Mississippi
ᒦᓃᓲᑖ	Minnesota
ᐃᐅᕙ	Iowa
ᐦᐃᓐᑏ	Língua hindi
ᓗᐄᓰᐋᓈ	Luisiana
ᐆᑳᓛᓲᒫ	Oklahoma
ᔅᑑᒃᓱᓪᒻ/stuukhulm	Estocolmo
ᖃᓪᓗᓈᑎᑐᑦ	Língua inglesa
ᐋᓐᑎᐅᕆᔪ	Ontário
ᐊᑐᕚ/atavaa	Ottawa
ᓄᓇᑦᓯᐊᖅ	Territórios do Noroeste
ᓄᓇᕗᑦ	Nunavut
2007	2007
ᐃᖃᓗᐃᑦ	Iqaluit
1999	1999
ᓂᕿ	Alimento
ᖃᓂᖅ ᖁᐊᔪᖅ	Sexo oral
ᒪᓪᒧ/malmu	Malmö
ᐊᔪᒃᑕᖅ	Futebol
ᖂᖄ ᑰᓛ	Coca-Cola
ᒫᑭᓐᓯ ᑰᒃ	Rio Mackenzie
ᓯᕿᓃᖅᓯᖅᑐᖅ	Eclipse solar
ᐃᓕᓐᓂᐊᕈᑎᒃᓴᓕᐅᕐᕕᒃ	Escola
ᑎᒥ	Anatomia humana
ᑰᒃ	Rio
Kunpusiusi	Confúcio
ᑮᓱᐊ	Língua quíchua
ᐊᒥᖅ	Wikipédia:Página principal
ᐊᓇᐅᓕᒐᖅ	Basebol
ᐃᓄᒃᑕᐅᑦ	Ônibus
ᐅᓪᓕᐸᑲ	Cobertor
ᓴᓂᓕᐊᖅᑐᖅ	Relação sexual
ᐅᑦᓱᒃ	Vagina
ᐃᓱᒪᓕᐅᕐᓂᖅ	Filosofia
ᐃᓅᖃᑎᒌᑦ ᐃᓕᖅᑯᓯᖃᑎᒌᒃᑐᑦ	Nação
ᑲᐅ ᓂᕿ ᑭᒻᒥᐊᒐᖅ ᕿᖂᔭᖅ	Hambúrguer
ᑯᓂᑉᐳᖅ	Beijo
ᕿᖓᖅ	Nariz
ᐃᔨ	Olho
ᑭᒃᑐᕆᐊᖅ	Culicidae
ᐱᓱᒃᑎ	Mamíferos
ᐊᕿᑦᑐᖅ ᖃᕆᑕᐅᔭᐅᑉ ᑎᑎᕋᕐᕕᖓ	Software
ᒥᑎᖅ	Anatidae
ᐊᐳᑦ	Neve
